age,sex,key
52,1,7145897
61,1,7146986
62,0,7146986
70,1,7147411
12,1,7147412
43,1,7147412
35,0,7147412
40,1,7147608
19,1,7147608
54,0,7147608
57,1,7147609
61,0,7147609
58,1,7147630
12,0,7147630
8,0,7147630
36,0,7147630
66,0,7147630
34,1,7147630
29,0,7147672
28,0,7147672
50,1,7147673
54,0,7147673
83,1,7147673
65,1,7147744
39,0,7147744
43,0,7147748
19,1,7147748
44,1,7147748
27,0,7148154
4,1,7148155
11,0,7148155
37,0,7148155
35,1,7148155
22,1,7148156
10,0,7148638
32,0,7148638
29,1,7148638
29,0,7148639
57,0,7148639
47,0,7148639
57,0,7148640
84,1,7148640
52,1,7149132
55,0,7149132
50,0,7149132
32,0,7149132
76,1,7149134
42,0,7149135
61,0,7149820
64,0,7149820
75,1,7150338
36,1,7150339
63,1,7150339
3,0,7150339
50,0,7150339
71,0,7150339
12,1,7150340
78,1,7150340
36,0,7150340
6,0,7150340
36,1,7150340
12,1,7150341
14,1,7150341
34,1,7150341
38,0,7150341
9,0,7150341
63,0,7150342
59,1,7150342
60,0,7150343
65,0,7150343
50,1,7150343
58,0,7150344
28,1,7150344
53,1,7150344
17,0,7150344
83,1,7150345
59,0,7150346
57,1,7150346
78,0,7150347
75,1,7150347
24,0,7152247
56,0,7152247
28,0,7152247
54,1,7152247
31,1,7152279
28,0,7152279
62,1,7152280
64,0,7152280
40,0,7152285
8,1,7152285
36,1,7152285
3,1,7152285
31,0,7152537
5,0,7152537
30,1,7152537
2,1,7152537
47,0,7152538
45,1,7152639
18,0,7152639
47,0,7152639
25,0,7152639
49,0,7152741
12,0,7152741
39,1,7152741
37,0,7154195
67,1,7154195
30,1,7154195
2,0,7154195
69,0,7154195
38,1,7154947
42,0,7154947
1,0,7154947
23,0,7155012
20,0,7155012
53,0,7155012
48,1,7155012
22,0,7155419
44,1,7155419
49,0,7155419
47,0,7155675
41,1,7155675
20,0,7155675
18,1,7155675
16,0,7155676
68,1,7155676
39,1,7155676
12,0,7155677
22,0,7155677
47,0,7155677
52,1,7155677
13,0,7155678
41,1,7155678
60,0,7155679
61,1,7155679
8,1,7155680
30,0,7155680
34,1,7155680
34,1,7155681
4,1,7155681
34,0,7155681
25,1,7155682
22,1,7155682
48,1,7155682
53,0,7155682
53,0,7155683
52,1,7155683
43,1,7156218
17,0,7156218
9,1,7156218
43,0,7156218
51,0,7156734
18,1,7156734
23,0,7156734
41,1,7156734
19,0,7156741
53,0,7156741
10,0,7156741
52,1,7156741
21,1,7156741
27,0,7156793
49,0,7156793
21,1,7156793
48,1,7156793
51,0,7158711
30,0,7159010
64,1,7159235
71,0,7159235
32,0,7159413
38,0,7159414
19,1,7159415
43,1,7159415
21,0,7159416
23,1,7159416
81,1,7159580
55,0,7159580
70,1,7159581
30,1,7159582
83,0,7159583
57,0,7159583
81,0,7159584
79,1,7159584
21,1,7160978
0,1,7160979
39,0,7160979
34,1,7160979
42,0,7163893
71,0,7163893
19,1,7163893
72,1,7163893
62,0,7163965
63,1,7163965
32,0,7163965
39,1,7164095
19,1,7164095
15,1,7164095
19,1,7164096
17,1,7164096
60,1,7164096
62,0,7164096
59,0,7164097
23,0,7164097
61,1,7164097
49,0,7164098
40,1,7164099
21,0,7164099
37,1,7164100
48,0,7164101
35,0,7164102
50,1,7164102
52,0,7164103
67,1,7164104
65,0,7164105
24,0,7164106
21,1,7164106
0,0,7164106
52,1,7164107
