type,zuj,lat,lon,x,y,par
shop,592005,49.0558214872,17.4672317965,1182547.82,537358.25,m
shop,541176,49.7506879182,13.6251636242,1071996.10,804703.66,m
shop,574198,50.0243357701,15.8340250092,1062823.79,643357.51,m
shop,500496,49.5942757701,17.2831854857,1121649.92,544839.86,s
shop,554782,50.0652040182,14.5009180139,1046240.26,737496.75,m
shop,555134,50.0366102778,15.7869297222,1061070.06,646547.10,m
shop,574279,50.3497922222,16.1290594444,1029304.21,618240.52,m
shop,539520,50.054945,14.3651825,1046047.25,747280.22,s
pub,559431,49.9104681308,13.3744432222,1051743.96,819901.55,
shop,554782,50.10603,14.4489030556,1041236.72,740568.86,h
shop,586846,49.4105507887,15.5979623071,1128568.77,668396.93,h
pub,557676,49.6563383333,13.2892019444,1078759.32,830230.48,
shop,568236,49.8387104179,18.1907424036,1100644.24,477155.01,s
pub,583251,49.2978925,16.5386422222,1148845.01,601947.92,
pub,552445,49.5801488889,17.4613875,1124468.99,532169.67,
shop,554782,50.1040833333,14.4329347222,1041295.80,741729.96,s
pub,554782,50.0846460946,14.4224252383,1043335.02,742769.41,
shop,533670,50.0036240859,14.1635804501,1049701.11,762375.03,m
shop,538299,49.8966801515,14.584145807,1065616.44,734107.39,m
shop,554782,50.084923206,14.3789190023,1042879.20,745849.45,m
shop,582786,49.2050236111,16.6198997222,1159750.19,597181.24,m
shop,598810,49.6881411111,18.6472291667,1120085.18,445782.93,m
shop,532452,50.1293830556,14.0234572222,1034442.25,770339.24,m
shop,573248,50.4928472222,15.5199163889,1008404.15,659356.30,s
shop,582786,49.1915914706,16.6193495704,1161230.95,597381.42,m
shop,547492,49.4356811111,15.219225,1122408.19,695317.60,m
shop,523704,49.9664613889,16.9728147222,1078216.07,562913.10,m
shop,573761,50.3357797195,15.3945541798,1024651.46,670341.52,m
shop,585068,49.2199313864,17.6347468113,1165543.62,523455.74,m
shop,574121,50.3577663505,15.9273131982,1026770.88,632401.24,m
shop,563129,50.3841652778,13.1707436111,997460.85,826307.46,m
shop,563510,50.7427306488,15.146505758,977538.58,682126.59,m
shop,512869,50.0010026447,18.0892098028,1082024.22,482842.45,m
pub,554782,50.0466841667,14.4159572222,1047454.57,743803.84,
shop,555134,50.0304203735,15.767382338,1061587.85,648019.17,m
shop,554782,50.0900858333,14.4345991667,1042854.33,741823.96,m
shop,569810,50.2116352778,15.8173430556,1041995.59,642088.92,m
shop,523704,49.9659741133,16.9787708896,1078313.84,562493.59,s
shop,549649,49.2104925,17.5931644444,1166303.00,526570.45,m
shop,550957,49.1678141114,13.802782496,1138004.22,801407.18,m
shop,529516,49.8512825503,14.7038268429,1071767.64,726255.49,m
