zuj,ruian,typ,kapacita,x,y,nazev
554782,21702101,nursary,52,1043712.17,743300.75,Mateřská škola sv. Voršily v Praze
554782,21852201,nursary,70,1051203.47,742102.16,Církevní mateřská škola Studánka
554782,21851018,nursary,6,1051980.28,742037.11,"Modrý klíč - základní škola speciální a mateřská škola speciální, o.p.s."
554782,21851018,elementary,30,1051980.28,742037.11,"Modrý klíč - základní škola speciální a mateřská škola speciální, o.p.s."
554782,22122231,nursary,130,1047010.27,749989.09,Církevní mateřská škola Srdíčko
554782,22119281,nursary,18,1046471.95,751183.79,Bilingvální mateřská škola pro sluchově postižené s.r.o.
554782,22142410,nursary,86,1055620.29,747213.39,"Soukromá mateřská škola OPUS, o.p.s."
554782,22716131,nursary,131,1047992.81,749243.02,"Soukromá mateřská škola "" KORÁLEK "", spol. s r.o."
554782,22306773,nursary,46,1041114.54,740332.75,Katolická mateřská škola sv. Klimenta
554782,22348654,nursary,53,1042894.66,741022.19,Církevní mateřská škola Laura
554782,22516743,nursary,241,1039323.46,736769.70,Mateřská škola - Pro Family s.r.o.
554782,22402519,nursary,22,1045947.51,730354.93,"Mateřská škola BERUŠKA, s.r.o."
530409,14377781,nursary,22,1076777.47,723368.78,"Církevní základní škola a mateřská škola ARCHA, Petroupim, okres Benešov"
530409,14377781,elementary,75,1076777.47,723368.78,"Církevní základní škola a mateřská škola ARCHA, Petroupim, okres Benešov"
533084,3049957,nursary,18,1088446.04,709931.30,Dětský svět - mateřská škola s.r.o.
531057,5923531,nursary,28,1053118.20,769553.80,Katolická mateřská škola
532053,1437101,nursary,60,1035302.34,762863.79,Církevní mateřská škola Radost
535087,6188052,nursary,20,1025911.92,732347.97,"Soukromá mateřská škola, o.p.s."
536580,15538621,nursary,40,1013380.19,700337.13,"Mateřská škola ŘEPOVANKA, o.p.s."
570788,27972518,nursary,40,1007718.43,703308.11,"Soukromá mateřská škola SEDMIKRÁSKA, s.r.o."
544256,25286561,nursary,85,1165988.90,755149.86,"Církevní mateřská škola České Budějovice, Lipenská 3"
544256,23376201,nursary,75,1165910.92,755519.50,"Církevní mateřská škola ""U sv. Josefa"""
544256,23348658,nursary,20,1165399.27,757130.85,"II. soukromá mateřská škola Sluníčko, s.r.o."
548511,23120967,nursary,28,1116993.37,710167.38,Církevní mateřská škola Jonáš
551953,9016562,nursary,50,1144168.46,775144.52,"Mateřská škola ""SLUNÍČKO"" Vodňany s.r.o."
552046,19809930,nursary,84,1119857.84,736373.42,Církevní mateřská škola Rybička
554642,20929048,nursary,30,1038113.05,866806.53,"MATEŘSKÁ ŠKOLA PRAMÍNEK, v.o.s."
559717,20773021,nursary,48,1072988.29,807389.58,Mateřská škola HARMONIE spol. s r.o.
561860,13122878,nursary,25,971298.00,723069.00,Mateřská škola - BERUŠKA v.o.s.
546259,16570677,nursary,50,981021.96,729691.65,"Soukromá mateřská škola KVÍTKO, s.r.o."
561860,13120956,nursary,48,970410.00,723019.00,Soukromá mateřská škola Motýlek v.o.s.
563889,23738821,nursary,48,978440.88,689617.75,"II. mateřská škola Preciosa, o.p.s."
565971,9240594,nursary,75,1007605.82,782877.95,"Soukromá mateřská škola Mateřinka s.r.o. Louny, Holárkovy sady 2386"
554804,17834503,nursary,190,975438.17,761006.42,"Soukromá mateřská škola, obecně prospěšná společnost"
569569,9535691,nursary,36,1098776.33,678772.08,"Soukromá mateřská škola Bambino, o.p.s."
582786,19262906,nursary,165,1157422.69,596537.89,"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o."
582786,19262906,elementary,60,1157422.69,596537.89,"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o."
582786,19167008,nursary,112,1159913.45,598963.67,MATEŘÍDOUŠKA - soukromá mateřská škola s.r.o.
585068,26091968,nursary,18,1165116.46,520082.82,"Mateřská škola ""Sluníčko"", s.r.o."
592889,13924923,nursary,56,1154099.04,568736.89,"Mateřská škola MATEŘINKA, s.r.o."
554821,3288137,nursary,18,1101962.51,478843.97,SOUKROMÁ MATEŘSKÁ ŠKOLA BAMBINO s.r.o.
555088,25796224,nursary,75,1106594.24,462178.98,Mateřská škola MATEŘINKA s.r.o.
