zuj,orp,cnt,x,y,name
567191,4206,307,974390.1649185673,794761.6594462538,Klíny
589675,7108,311,1120521.6166559486,565609.6640514472,Laškov
567442,4213,6477,976027.5657418587,775857.1418403588,Teplice
513415,2110,100,1060967.4366,692764.9055,Kbel
548499,6104,29,1093917.0013793102,653108.1834482759,Sloupno
560626,3112,70,1112971.5675714288,721552.3931428575,Rodná
586897,6105,202,1135038.3868316826,658999.6957920791,Bítovčice
572225,5304,2248,1081757.39840747,659341.0451779364,Seč
542563,2121,268,1043362.4554850748,784270.7560820903,Velká Buková
573981,5209,165,1007972.122545454,612589.6584242424,Česká Metuje
586366,6218,92,1203083.2208695654,539897.8843478264,Malá Vrbka
572390,5302,569,1088524.388471001,648129.2131634447,Trhová Kamenice
594865,6220,90,1189847.6849999998,665689.2915555553,Šafov
573809,5207,380,1025339.9458157888,667357.0928421053,Vysoké Veselí
565989,2103,172,1029375.4556976742,720719.3072093026,Hlavenec
541397,2123,518,1089128.8576447882,759487.2283011585,Svatý Jan
576301,5208,616,1057256.7592370114,612099.634172077,Doudleby nad Orlicí
534315,2112,202,1081085.40910891,683712.015742574,Petrovice I
569569,6111,1771,1098091.962196501,679400.1333766232,Světlá nad Sázavou
586234,6206,157,1203164.8412101916,573114.4075159237,Josefov
586633,6210,170,1184448.3191176471,552509.097764706,Syrovín
593842,6220,244,1194564.0416803288,621344.658852459,Břežany
535770,7113,159,1078387.1441509433,574757.8409433961,Horní Studénky
585521,7209,187,1180650.7487700528,494198.6818716581,Návojná
577006,5107,311,990734.7680064304,670189.6830546624,Bozkov
534072,2108,132,1063744.3630303023,781708.053106061,Kotopeky
593681,6215,402,1164377.738283582,580907.2038059701,Velešovice
593265,6215,319,1176643.5810031341,582052.161661442,Lovčičky
531286,2104,206,1078138.9931067948,674405.5604368926,Bratčice
582191,6202,113,1121950.43159292,591442.7324778759,Pamětice
553972,6219,98,1155436.5846938773,563629.431020408,Rybníček
538612,2122,259,1062644.836023166,731264.1728571423,Petříkov
549347,3108,711,1120994.7648804502,776043.558691983,Čížová
536776,3111,56,1128500.7714285715,789062.118035714,Slaník
594342,6220,107,1186390.4160747656,655380.79953271,Lesná
553158,8117,293,1081297.724641639,503106.6324232082,Neplachovice
594385,6220,50,1180715.3471999997,673561.7286000001,Lubnice
550426,3109,181,1161553.4423204423,782021.7201104974,Mičovice
