datum,I_d
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0.04
2020-03-02,0.04
2020-03-03,0.05333333333333334
2020-03-04,0.06666666666666667
2020-03-05,0.10666666666666667
2020-03-06,0.25333333333333335
2020-03-07,0.3466666666666667
2020-03-08,0.4266666666666667
2020-03-09,0.5066666666666667
2020-03-10,0.84
2020-03-11,1.2533333333333334
2020-03-12,1.52
2020-03-13,1.8266666666666667
2020-03-14,2.44
2020-03-15,3.76
2020-03-16,4.76
2020-03-17,5.573333333333333
2020-03-18,6.906666666666666
2020-03-19,9.52
2020-03-20,11.0
2020-03-21,12.853333333333333
2020-03-22,14.266666666666667
2020-03-23,15.72
2020-03-24,17.986666666666668
2020-03-25,21.493333333333332
2020-03-26,24.64
2020-03-27,29.14666666666667
2020-03-28,32.45333333333333
2020-03-29,34.21333333333333
2020-03-30,36.18666666666667
2020-03-31,39.86666666666667
2020-04-01,42.85333333333333
2020-04-02,45.72
2020-04-03,48.906666666666666
2020-04-04,51.57333333333333
2020-04-05,52.45333333333333
2020-04-06,54.026666666666664
2020-04-07,54.666666666666664
2020-04-08,56.74666666666667
2020-04-09,57.64
2020-04-10,57.733333333333334
2020-04-11,58.026666666666664
2020-04-12,57.6
2020-04-13,56.78666666666667
2020-04-14,55.21333333333333
2020-04-15,54.49333333333333
2020-04-16,52.46666666666667
2020-04-17,49.74666666666667
2020-04-18,49.06666666666667
2020-04-19,48.18666666666667
2020-04-20,46.93333333333333
2020-04-21,45.52
2020-04-22,43.0
2020-04-23,40.53333333333333
2020-04-24,38.10666666666667
2020-04-25,37.22666666666667
2020-04-26,36.74666666666667
2020-04-27,34.89333333333333
2020-04-28,33.49333333333333
2020-04-29,31.72
2020-04-30,29.96
2020-05-01,28.826666666666668
2020-05-02,27.8
2020-05-03,26.386666666666667
2020-05-04,24.626666666666665
2020-05-05,23.32
2020-05-06,21.946666666666665
2020-05-07,20.44
2020-05-08,20.093333333333334
2020-05-09,19.346666666666668
2020-05-10,18.986666666666668
2020-05-11,18.0
2020-05-12,17.266666666666666
2020-05-13,16.093333333333334
2020-05-14,15.826666666666666
2020-05-15,15.48
2020-05-16,15.36
2020-05-17,14.92
2020-05-18,14.6
2020-05-19,14.253333333333334
2020-05-20,13.56
2020-05-21,12.64
2020-05-22,12.426666666666666
2020-05-23,12.293333333333333
2020-05-24,12.12
2020-05-25,11.293333333333333
2020-05-26,10.546666666666667
2020-05-27,9.813333333333333
2020-05-28,9.72
2020-05-29,9.426666666666666
2020-05-30,9.213333333333333
2020-05-31,9.2
2020-06-01,8.613333333333333
2020-06-02,8.386666666666667
2020-06-03,8.093333333333334
2020-06-04,7.973333333333334
2020-06-05,7.533333333333333
2020-06-06,7.72
2020-06-07,7.986666666666666
2020-06-08,7.946666666666666
2020-06-09,7.84
2020-06-10,7.8533333333333335
2020-06-11,7.933333333333334
2020-06-12,8.04
2020-06-13,8.306666666666667
2020-06-14,8.506666666666666
2020-06-15,8.52
2020-06-16,8.586666666666666
2020-06-17,8.466666666666667
2020-06-18,8.493333333333334
2020-06-19,8.893333333333333
2020-06-20,9.013333333333334
2020-06-21,9.44
2020-06-22,9.613333333333333
2020-06-23,9.88
2020-06-24,10.173333333333334
2020-06-25,10.0
2020-06-26,10.2
2020-06-27,10.56
2020-06-28,10.96
2020-06-29,11.04
2020-06-30,11.12
2020-07-01,10.76
2020-07-02,10.853333333333333
2020-07-03,11.2
2020-07-04,11.48
2020-07-05,11.653333333333334
2020-07-06,11.72
2020-07-07,11.773333333333333
2020-07-08,10.453333333333333
2020-07-09,10.053333333333333
2020-07-10,10.026666666666667
2020-07-11,10.026666666666667
2020-07-12,10.0
2020-07-13,9.48
2020-07-14,9.813333333333333
2020-07-15,10.386666666666667
2020-07-16,10.92
2020-07-17,11.413333333333334
2020-07-18,11.733333333333333
2020-07-19,12.28
2020-07-20,12.92
2020-07-21,14.44
2020-07-22,15.946666666666667
2020-07-23,17.786666666666665
2020-07-24,20.386666666666667
2020-07-25,21.44
2020-07-26,22.226666666666667
2020-07-27,23.386666666666667
2020-07-28,25.546666666666667
2020-07-29,27.546666666666667
2020-07-30,29.333333333333332
2020-07-31,29.92
2020-08-01,30.586666666666666
2020-08-02,31.04
2020-08-03,30.866666666666667
2020-08-04,31.746666666666666
2020-08-05,32.373333333333335
2020-08-06,32.306666666666665
