,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,2.0,0.0,0.0,1.031277286054356,0.0,0.0
16,2020-03-17,2.0,0.0,0.0,1.031277286054356,0.0,0.0
17,2020-03-18,2.0,0.0,0.0,1.031277286054356,0.0,0.0
18,2020-03-19,3.0,0.0,0.0,1.5469159290815342,0.0,0.0
19,2020-03-20,3.0,0.0,0.0,1.5469159290815342,0.0,0.0
20,2020-03-21,3.0,0.0,0.0,1.5469159290815342,0.0,0.0
21,2020-03-22,3.0,0.0,0.0,1.5469159290815342,0.0,0.0
22,2020-03-23,3.0,0.0,0.0,1.5469159290815342,0.0,0.0
23,2020-03-24,3.0,0.0,0.0,1.5469159290815342,0.0,0.0
24,2020-03-25,3.0,1.0,0.0,1.5469159290815342,0.515638643027178,0.0
25,2020-03-26,3.0,1.0,0.0,1.5469159290815342,0.515638643027178,0.0
26,2020-03-27,3.0,1.0,0.0,1.5469159290815342,0.515638643027178,0.0
27,2020-03-28,3.0,1.0,0.0,1.5469159290815342,0.515638643027178,0.0
28,2020-03-29,3.0,1.0,0.0,1.5469159290815342,0.515638643027178,0.0
29,2020-03-30,3.0,1.0,0.0,1.5469159290815342,0.515638643027178,0.0
30,2020-03-31,3.0,1.0,0.0,1.5469159290815342,0.515638643027178,0.0
31,2020-04-01,4.0,1.0,0.0,2.062554572108712,0.515638643027178,0.0
32,2020-04-02,5.0,1.0,0.0,2.57819321513589,0.515638643027178,0.0
33,2020-04-03,6.0,2.0,0.0,3.0938318581630684,1.031277286054356,0.0
34,2020-04-04,5.0,3.0,0.0,2.57819321513589,1.5469159290815342,0.0
35,2020-04-05,6.0,3.0,0.0,3.0938318581630684,1.5469159290815342,0.0
36,2020-04-06,6.0,3.0,0.0,3.0938318581630684,1.5469159290815342,0.0
37,2020-04-07,6.0,4.0,0.0,3.0938318581630684,2.062554572108712,0.0
38,2020-04-08,6.0,4.0,0.0,3.0938318581630684,2.062554572108712,0.0
39,2020-04-09,6.0,4.0,0.0,3.0938318581630684,2.062554572108712,0.0
40,2020-04-10,9.0,4.0,0.0,4.640747787244603,2.062554572108712,0.0
41,2020-04-11,9.0,4.0,0.0,4.640747787244603,2.062554572108712,0.0
42,2020-04-12,12.0,4.0,0.0,6.187663716326137,2.062554572108712,0.0
43,2020-04-13,12.0,4.0,0.0,6.187663716326137,2.062554572108712,0.0
44,2020-04-14,12.0,4.0,0.0,6.187663716326137,2.062554572108712,0.0
45,2020-04-15,12.0,4.0,0.0,6.187663716326137,2.062554572108712,0.0
46,2020-04-16,12.0,4.0,0.0,6.187663716326137,2.062554572108712,0.0
47,2020-04-17,11.0,5.0,0.0,5.6720250732989586,2.57819321513589,0.0
48,2020-04-18,11.0,5.0,0.0,5.6720250732989586,2.57819321513589,0.0
49,2020-04-19,9.0,7.0,0.0,4.640747787244603,3.6094705011902466,0.0
50,2020-04-20,8.0,8.0,0.0,4.125109144217424,4.125109144217424,0.0
51,2020-04-21,7.0,9.0,0.0,3.6094705011902466,4.640747787244603,0.0
52,2020-04-22,6.0,10.0,0.0,3.0938318581630684,5.15638643027178,0.0
53,2020-04-23,6.0,10.0,0.0,3.0938318581630684,5.15638643027178,0.0
54,2020-04-24,6.0,10.0,0.0,3.0938318581630684,5.15638643027178,0.0
55,2020-04-25,6.0,10.0,0.0,3.0938318581630684,5.15638643027178,0.0
56,2020-04-26,6.0,10.0,0.0,3.0938318581630684,5.15638643027178,0.0
57,2020-04-27,3.0,13.0,0.0,1.5469159290815342,6.703302359353315,0.0
58,2020-04-28,3.0,13.0,0.0,1.5469159290815342,6.703302359353315,0.0
59,2020-04-29,1.0,15.0,0.0,0.515638643027178,7.734579645407671,0.0
60,2020-04-30,1.0,15.0,0.0,0.515638643027178,7.734579645407671,0.0
61,2020-05-01,1.0,15.0,0.0,0.515638643027178,7.734579645407671,0.0
62,2020-05-02,1.0,15.0,0.0,0.515638643027178,7.734579645407671,0.0
63,2020-05-03,1.0,15.0,0.0,0.515638643027178,7.734579645407671,0.0
64,2020-05-04,0.0,16.0,0.0,0.0,8.250218288434848,0.0
65,2020-05-05,1.0,16.0,0.0,0.515638643027178,8.250218288434848,0.0
66,2020-05-06,4.0,16.0,0.0,2.062554572108712,8.250218288434848,0.0
67,2020-05-07,6.0,16.0,0.0,3.0938318581630684,8.250218288434848,0.0
68,2020-05-08,7.0,16.0,0.0,3.6094705011902466,8.250218288434848,0.0
69,2020-05-09,7.0,16.0,0.0,3.6094705011902466,8.250218288434848,0.0
70,2020-05-10,8.0,16.0,0.0,4.125109144217424,8.250218288434848,0.0
71,2020-05-11,8.0,16.0,0.0,4.125109144217424,8.250218288434848,0.0
72,2020-05-12,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
73,2020-05-13,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
74,2020-05-14,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
75,2020-05-15,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
76,2020-05-16,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
77,2020-05-17,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
78,2020-05-18,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
79,2020-05-19,9.0,16.0,0.0,4.640747787244603,8.250218288434848,0.0
80,2020-05-20,9.0,17.0,0.0,4.640747787244603,8.765856931462027,0.0
81,2020-05-21,7.0,19.0,0.0,3.6094705011902466,9.797134217516383,0.0
82,2020-05-22,7.0,19.0,0.0,3.6094705011902466,9.797134217516383,0.0
83,2020-05-23,8.0,19.0,0.0,4.125109144217424,9.797134217516383,0.0
84,2020-05-24,8.0,19.0,0.0,4.125109144217424,9.797134217516383,0.0
85,2020-05-25,7.0,21.0,0.0,3.6094705011902466,10.828411503570738,0.0
86,2020-05-26,6.0,22.0,0.0,3.0938318581630684,11.344050146597917,0.0
87,2020-05-27,10.0,22.0,0.0,5.15638643027178,11.344050146597917,0.0
88,2020-05-28,10.0,22.0,0.0,5.15638643027178,11.344050146597917,0.0
89,2020-05-29,10.0,22.0,0.0,5.15638643027178,11.344050146597917,0.0
90,2020-05-30,10.0,22.0,0.0,5.15638643027178,11.344050146597917,0.0
91,2020-05-31,10.0,22.0,0.0,5.15638643027178,11.344050146597917,0.0
92,2020-06-01,10.0,22.0,0.0,5.15638643027178,11.344050146597917,0.0
93,2020-06-02,9.0,23.0,0.0,4.640747787244603,11.859688789625096,0.0
94,2020-06-03,8.0,24.0,0.0,4.125109144217424,12.375327432652274,0.0
95,2020-06-04,9.0,24.0,0.0,4.640747787244603,12.375327432652274,0.0
96,2020-06-05,9.0,24.0,0.0,4.640747787244603,12.375327432652274,0.0
97,2020-06-06,9.0,24.0,0.0,4.640747787244603,12.375327432652274,0.0
98,2020-06-07,9.0,24.0,0.0,4.640747787244603,12.375327432652274,0.0
99,2020-06-08,7.0,26.0,0.0,3.6094705011902466,13.40660471870663,0.0
100,2020-06-09,7.0,26.0,0.0,3.6094705011902466,13.40660471870663,0.0
101,2020-06-10,7.0,26.0,0.0,3.6094705011902466,13.40660471870663,0.0
102,2020-06-11,9.0,26.0,0.0,4.640747787244603,13.40660471870663,0.0
103,2020-06-12,9.0,26.0,0.0,4.640747787244603,13.40660471870663,0.0
104,2020-06-13,9.0,26.0,0.0,4.640747787244603,13.40660471870663,0.0
105,2020-06-14,9.0,26.0,0.0,4.640747787244603,13.40660471870663,0.0
106,2020-06-15,9.0,26.0,0.0,4.640747787244603,13.40660471870663,0.0
107,2020-06-16,9.0,26.0,0.0,4.640747787244603,13.40660471870663,0.0
108,2020-06-17,6.0,29.0,0.0,3.0938318581630684,14.953520647788164,0.0
109,2020-06-18,5.0,30.0,0.0,2.57819321513589,15.469159290815343,0.0
110,2020-06-19,5.0,30.0,0.0,2.57819321513589,15.469159290815343,0.0
111,2020-06-20,5.0,30.0,0.0,2.57819321513589,15.469159290815343,0.0
112,2020-06-21,5.0,30.0,0.0,2.57819321513589,15.469159290815343,0.0
113,2020-06-22,5.0,30.0,0.0,2.57819321513589,15.469159290815343,0.0
114,2020-06-23,5.0,30.0,0.0,2.57819321513589,15.469159290815343,0.0
115,2020-06-24,4.0,31.0,0.0,2.062554572108712,15.984797933842522,0.0
116,2020-06-25,4.0,31.0,0.0,2.062554572108712,15.984797933842522,0.0
117,2020-06-26,4.0,31.0,0.0,2.062554572108712,15.984797933842522,0.0
118,2020-06-27,4.0,31.0,0.0,2.062554572108712,15.984797933842522,0.0
119,2020-06-28,4.0,31.0,0.0,2.062554572108712,15.984797933842522,0.0
120,2020-06-29,3.0,32.0,0.0,1.5469159290815342,16.500436576869696,0.0
121,2020-06-30,3.0,32.0,0.0,1.5469159290815342,16.500436576869696,0.0
122,2020-07-01,3.0,32.0,0.0,1.5469159290815342,16.500436576869696,0.0
123,2020-07-02,4.0,32.0,0.0,2.062554572108712,16.500436576869696,0.0
124,2020-07-03,4.0,32.0,0.0,2.062554572108712,16.500436576869696,0.0
125,2020-07-04,4.0,32.0,0.0,2.062554572108712,16.500436576869696,0.0
126,2020-07-05,4.0,32.0,0.0,2.062554572108712,16.500436576869696,0.0
127,2020-07-06,4.0,32.0,0.0,2.062554572108712,16.500436576869696,0.0
128,2020-07-07,4.0,32.0,0.0,2.062554572108712,16.500436576869696,0.0
129,2020-07-08,1.0,35.0,0.0,0.515638643027178,18.04735250595123,0.0
130,2020-07-09,1.0,35.0,0.0,0.515638643027178,18.04735250595123,0.0
131,2020-07-10,1.0,35.0,0.0,0.515638643027178,18.04735250595123,0.0
132,2020-07-11,1.0,35.0,0.0,0.515638643027178,18.04735250595123,0.0
