,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,5.0,0.0,0.0,3.064343456412497,0.0,0.0
14,2020-03-15,10.0,0.0,0.0,6.128686912824994,0.0,0.0
15,2020-03-16,10.0,0.0,0.0,6.128686912824994,0.0,0.0
16,2020-03-17,12.0,0.0,0.0,7.354424295389994,0.0,0.0
17,2020-03-18,12.0,0.0,0.0,7.354424295389994,0.0,0.0
18,2020-03-19,18.0,0.0,0.0,11.03163644308499,0.0,0.0
19,2020-03-20,24.0,0.0,0.0,14.708848590779988,0.0,0.0
20,2020-03-21,25.0,0.0,0.0,15.321717282062487,0.0,0.0
21,2020-03-22,25.0,0.0,0.0,15.321717282062487,0.0,0.0
22,2020-03-23,31.0,0.0,0.0,18.998929429757485,0.0,0.0
23,2020-03-24,34.0,0.0,0.0,20.837535503604983,0.0,0.0
24,2020-03-25,42.0,0.0,0.0,25.740485033864978,0.0,0.0
25,2020-03-26,42.0,0.0,0.0,25.740485033864978,0.0,0.0
26,2020-03-27,50.0,0.0,0.0,30.643434564124973,0.0,0.0
27,2020-03-28,56.0,0.0,1.0,34.32064671181997,0.0,0.6128686912824994
28,2020-03-29,57.0,0.0,1.0,34.93351540310247,0.0,0.6128686912824994
29,2020-03-30,61.0,0.0,1.0,37.38499016823246,0.0,0.6128686912824994
30,2020-03-31,60.0,3.0,2.0,36.77212147694997,1.8386060738474985,1.2257373825649989
31,2020-04-01,63.0,3.0,2.0,38.61072755079746,1.8386060738474985,1.2257373825649989
32,2020-04-02,69.0,3.0,2.0,42.28793969849246,1.8386060738474985,1.2257373825649989
33,2020-04-03,80.0,4.0,2.0,49.029495302599955,2.4514747651299977,1.2257373825649989
34,2020-04-04,88.0,4.0,2.0,53.93244483285995,2.4514747651299977,1.2257373825649989
35,2020-04-05,85.0,9.0,2.0,52.093838759012456,5.515818221542495,1.2257373825649989
36,2020-04-06,93.0,9.0,3.0,56.99678828927245,5.515818221542495,1.8386060738474985
37,2020-04-07,93.0,10.0,4.0,56.99678828927245,6.128686912824994,2.4514747651299977
38,2020-04-08,95.0,10.0,4.0,58.222525671837445,6.128686912824994,2.4514747651299977
39,2020-04-09,90.0,17.0,5.0,55.15818221542495,10.418767751802491,3.064343456412497
40,2020-04-10,86.0,22.0,5.0,52.70670745029495,13.483111208214988,3.064343456412497
41,2020-04-11,85.0,25.0,5.0,52.093838759012456,15.321717282062487,3.064343456412497
42,2020-04-12,80.0,30.0,6.0,49.029495302599955,18.386060738474985,3.677212147694997
43,2020-04-13,78.0,32.0,8.0,47.803757920034954,19.611798121039982,4.9029495302599955
44,2020-04-14,85.0,34.0,8.0,52.093838759012456,20.837535503604983,4.9029495302599955
45,2020-04-15,87.0,34.0,8.0,53.31957614157745,20.837535503604983,4.9029495302599955
46,2020-04-16,88.0,36.0,8.0,53.93244483285995,22.06327288616998,4.9029495302599955
47,2020-04-17,70.0,52.0,12.0,42.90080838977496,31.86917194668997,7.354424295389994
48,2020-04-18,66.0,58.0,12.0,40.449333624644964,35.54638409438497,7.354424295389994
49,2020-04-19,74.0,59.0,13.0,45.35228315490496,36.15925278566747,7.967292986672493
50,2020-04-20,77.0,62.0,13.0,47.190889228752454,37.99785885951497,7.967292986672493
51,2020-04-21,81.0,66.0,13.0,49.642363993882455,40.449333624644964,7.967292986672493
52,2020-04-22,81.0,71.0,14.0,49.642363993882455,43.513677081057466,8.580161677954992
53,2020-04-23,77.0,77.0,14.0,47.190889228752454,47.190889228752454,8.580161677954992
54,2020-04-24,82.0,82.0,15.0,50.255232685164955,50.255232685164955,9.193030369237492
55,2020-04-25,102.0,83.0,16.0,62.51260651081495,50.868101376447456,9.805899060519991
56,2020-04-26,115.0,86.0,17.0,70.47989949748744,52.70670745029495,10.418767751802491
57,2020-04-27,109.0,94.0,17.0,66.80268734979244,57.609656980554945,10.418767751802491
58,2020-04-28,110.0,96.0,17.0,67.41555604107494,58.83539436311995,10.418767751802491
59,2020-04-29,106.0,103.0,17.0,64.96408127594495,63.12547520209744,10.418767751802491
60,2020-04-30,102.0,108.0,17.0,62.51260651081495,66.18981865850995,10.418767751802491
61,2020-05-01,106.0,112.0,18.0,64.96408127594495,68.64129342363994,11.03163644308499
62,2020-05-02,105.0,116.0,18.0,64.35121258466245,71.09276818876994,11.03163644308499
63,2020-05-03,105.0,120.0,19.0,64.35121258466245,73.54424295389994,11.64450513436749
64,2020-05-04,107.0,123.0,19.0,65.57694996722743,75.38284902774743,11.64450513436749
65,2020-05-05,124.0,124.0,19.0,75.99571771902994,75.99571771902994,11.64450513436749
66,2020-05-06,119.0,131.0,20.0,72.93137426261744,80.28579855800743,12.257373825649989
67,2020-05-07,116.0,137.0,21.0,71.09276818876994,83.96301070570243,12.870242516932489
68,2020-05-08,115.0,140.0,23.0,70.47989949748744,85.80161677954992,14.09597989949749
69,2020-05-09,108.0,147.0,24.0,66.18981865850995,90.09169761852742,14.708848590779988
70,2020-05-10,100.0,158.0,24.0,61.28686912824995,96.83325322263492,14.708848590779988
71,2020-05-11,96.0,166.0,24.0,58.83539436311995,101.73620275289491,14.708848590779988
72,2020-05-12,91.0,169.0,27.0,55.77105090670745,103.5748088267424,16.547454664627487
73,2020-05-13,90.0,171.0,27.0,55.15818221542495,104.80054620930741,16.547454664627487
74,2020-05-14,87.0,175.0,28.0,53.31957614157745,107.2520209744374,17.160323355909984
75,2020-05-15,87.0,175.0,29.0,53.31957614157745,107.2520209744374,17.773192047192484
76,2020-05-16,84.0,178.0,29.0,51.480970067729956,109.0906270482849,17.773192047192484
77,2020-05-17,66.0,196.0,29.0,40.449333624644964,120.12226349136988,17.773192047192484
78,2020-05-18,63.0,200.0,30.0,38.61072755079746,122.5737382564999,18.386060738474985
79,2020-05-19,60.0,204.0,30.0,36.77212147694997,125.0252130216299,18.386060738474985
80,2020-05-20,52.0,213.0,32.0,31.86917194668997,130.54103124317237,19.611798121039982
81,2020-05-21,48.0,217.0,32.0,29.417697181559976,132.9925060083024,19.611798121039982
82,2020-05-22,46.0,221.0,32.0,28.19195979899498,135.44398077343237,19.611798121039982
83,2020-05-23,43.0,225.0,32.0,26.353353725147475,137.89545553856237,19.611798121039982
84,2020-05-24,45.0,227.0,32.0,27.579091107712475,139.12119292112737,19.611798121039982
85,2020-05-25,41.0,230.0,33.0,25.127616342582478,140.95979899497488,20.224666812322482
86,2020-05-26,36.0,235.0,33.0,22.06327288616998,144.02414245138738,20.224666812322482
87,2020-05-27,26.0,245.0,33.0,15.934585973344985,150.15282936421235,20.224666812322482
88,2020-05-28,24.0,246.0,34.0,14.708848590779988,150.76569805549485,20.837535503604983
89,2020-05-29,21.0,249.0,34.0,12.870242516932489,152.60430412934235,20.837535503604983
90,2020-05-30,18.0,252.0,34.0,11.03163644308499,154.44291020318985,20.837535503604983
91,2020-05-31,18.0,252.0,34.0,11.03163644308499,154.44291020318985,20.837535503604983
92,2020-06-01,18.0,252.0,34.0,11.03163644308499,154.44291020318985,20.837535503604983
93,2020-06-02,16.0,255.0,34.0,9.805899060519991,156.28151627703735,20.837535503604983
94,2020-06-03,14.0,259.0,34.0,8.580161677954992,158.73299104216736,20.837535503604983
95,2020-06-04,15.0,262.0,34.0,9.193030369237492,160.57159711601486,20.837535503604983
96,2020-06-05,16.0,263.0,34.0,9.805899060519991,161.18446580729736,20.837535503604983
97,2020-06-06,16.0,265.0,34.0,9.805899060519991,162.41020318986236,20.837535503604983
98,2020-06-07,16.0,265.0,34.0,9.805899060519991,162.41020318986236,20.837535503604983
99,2020-06-08,14.0,268.0,34.0,8.580161677954992,164.24880926370986,20.837535503604983
100,2020-06-09,13.0,268.0,35.0,7.967292986672493,164.24880926370986,21.45040419488748
101,2020-06-10,12.0,269.0,35.0,7.354424295389994,164.86167795499236,21.45040419488748
102,2020-06-11,12.0,269.0,35.0,7.354424295389994,164.86167795499236,21.45040419488748
103,2020-06-12,12.0,269.0,35.0,7.354424295389994,164.86167795499236,21.45040419488748
104,2020-06-13,12.0,269.0,35.0,7.354424295389994,164.86167795499236,21.45040419488748
105,2020-06-14,12.0,269.0,35.0,7.354424295389994,164.86167795499236,21.45040419488748
106,2020-06-15,12.0,269.0,35.0,7.354424295389994,164.86167795499236,21.45040419488748
107,2020-06-16,11.0,270.0,35.0,6.741555604107494,165.47454664627483,21.45040419488748
108,2020-06-17,11.0,270.0,35.0,6.741555604107494,165.47454664627483,21.45040419488748
109,2020-06-18,9.0,272.0,35.0,5.515818221542495,166.70028402883986,21.45040419488748
110,2020-06-19,5.0,276.0,35.0,3.064343456412497,169.15175879396983,21.45040419488748
111,2020-06-20,5.0,276.0,35.0,3.064343456412497,169.15175879396983,21.45040419488748
112,2020-06-21,5.0,276.0,35.0,3.064343456412497,169.15175879396983,21.45040419488748
113,2020-06-22,2.0,279.0,35.0,1.2257373825649989,170.99036486781736,21.45040419488748
114,2020-06-23,1.0,280.0,35.0,0.6128686912824994,171.60323355909983,21.45040419488748
115,2020-06-24,1.0,280.0,35.0,0.6128686912824994,171.60323355909983,21.45040419488748
116,2020-06-25,1.0,280.0,35.0,0.6128686912824994,171.60323355909983,21.45040419488748
117,2020-06-26,1.0,280.0,35.0,0.6128686912824994,171.60323355909983,21.45040419488748
118,2020-06-27,0.0,281.0,35.0,0.0,172.21610225038233,21.45040419488748
119,2020-06-28,1.0,281.0,35.0,0.6128686912824994,172.21610225038233,21.45040419488748
120,2020-06-29,1.0,281.0,35.0,0.6128686912824994,172.21610225038233,21.45040419488748
121,2020-06-30,1.0,281.0,35.0,0.6128686912824994,172.21610225038233,21.45040419488748
122,2020-07-01,1.0,281.0,35.0,0.6128686912824994,172.21610225038233,21.45040419488748
123,2020-07-02,0.0,282.0,35.0,0.0,172.82897094166483,21.45040419488748
124,2020-07-03,0.0,282.0,35.0,0.0,172.82897094166483,21.45040419488748
