,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,1.0,0.0,0.0,0.4321155964292041,0.0,0.0
1,2020-03-02,1.0,0.0,0.0,0.4321155964292041,0.0,0.0
2,2020-03-03,2.0,0.0,0.0,0.8642311928584082,0.0,0.0
3,2020-03-04,2.0,0.0,0.0,0.8642311928584082,0.0,0.0
4,2020-03-05,5.0,0.0,0.0,2.1605779821460205,0.0,0.0
5,2020-03-06,7.0,0.0,0.0,3.0248091750044286,0.0,0.0
6,2020-03-07,9.0,0.0,0.0,3.8890403678628367,0.0,0.0
7,2020-03-08,10.0,0.0,0.0,4.321155964292041,0.0,0.0
8,2020-03-09,10.0,0.0,0.0,4.321155964292041,0.0,0.0
9,2020-03-10,11.0,0.0,0.0,4.753271560721245,0.0,0.0
10,2020-03-11,11.0,0.0,0.0,4.753271560721245,0.0,0.0
11,2020-03-12,11.0,0.0,0.0,4.753271560721245,0.0,0.0
12,2020-03-13,11.0,0.0,0.0,4.753271560721245,0.0,0.0
13,2020-03-14,11.0,0.0,0.0,4.753271560721245,0.0,0.0
14,2020-03-15,9.0,3.0,0.0,3.8890403678628367,1.2963467892876124,0.0
15,2020-03-16,9.0,3.0,0.0,3.8890403678628367,1.2963467892876124,0.0
16,2020-03-17,9.0,3.0,0.0,3.8890403678628367,1.2963467892876124,0.0
17,2020-03-18,9.0,3.0,0.0,3.8890403678628367,1.2963467892876124,0.0
18,2020-03-19,11.0,3.0,0.0,4.753271560721245,1.2963467892876124,0.0
19,2020-03-20,11.0,4.0,0.0,4.753271560721245,1.7284623857168164,0.0
20,2020-03-21,12.0,4.0,0.0,5.1853871571504495,1.7284623857168164,0.0
21,2020-03-22,13.0,4.0,0.0,5.617502753579654,1.7284623857168164,0.0
22,2020-03-23,13.0,4.0,0.0,5.617502753579654,1.7284623857168164,0.0
23,2020-03-24,13.0,4.0,0.0,5.617502753579654,1.7284623857168164,0.0
24,2020-03-25,17.0,4.0,0.0,7.34596513929647,1.7284623857168164,0.0
25,2020-03-26,17.0,4.0,0.0,7.34596513929647,1.7284623857168164,0.0
26,2020-03-27,18.0,4.0,0.0,7.778080735725673,1.7284623857168164,0.0
27,2020-03-28,19.0,4.0,0.0,8.21019633215488,1.7284623857168164,0.0
28,2020-03-29,18.0,5.0,0.0,7.778080735725673,2.1605779821460205,0.0
29,2020-03-30,16.0,9.0,0.0,6.913849542867266,3.8890403678628367,0.0
30,2020-03-31,19.0,9.0,0.0,8.21019633215488,3.8890403678628367,0.0
31,2020-04-01,22.0,9.0,0.0,9.50654312144249,3.8890403678628367,0.0
32,2020-04-02,28.0,9.0,0.0,12.099236700017714,3.8890403678628367,0.0
33,2020-04-03,26.0,11.0,0.0,11.235005507159308,4.753271560721245,0.0
34,2020-04-04,24.0,13.0,0.0,10.370774314300899,5.617502753579654,0.0
35,2020-04-05,24.0,13.0,0.0,10.370774314300899,5.617502753579654,0.0
36,2020-04-06,19.0,18.0,0.0,8.21019633215488,7.778080735725673,0.0
37,2020-04-07,19.0,19.0,0.0,8.21019633215488,8.21019633215488,0.0
38,2020-04-08,18.0,20.0,0.0,7.778080735725673,8.642311928584082,0.0
39,2020-04-09,18.0,20.0,0.0,7.778080735725673,8.642311928584082,0.0
40,2020-04-10,18.0,20.0,0.0,7.778080735725673,8.642311928584082,0.0
41,2020-04-11,18.0,20.0,0.0,7.778080735725673,8.642311928584082,0.0
42,2020-04-12,19.0,20.0,0.0,8.21019633215488,8.642311928584082,0.0
43,2020-04-13,19.0,20.0,0.0,8.21019633215488,8.642311928584082,0.0
44,2020-04-14,16.0,23.0,0.0,6.913849542867266,9.938658717871695,0.0
45,2020-04-15,8.0,31.0,0.0,3.456924771433633,13.395583489305327,0.0
46,2020-04-16,8.0,31.0,0.0,3.456924771433633,13.395583489305327,0.0
47,2020-04-17,8.0,32.0,0.0,3.456924771433633,13.827699085734531,0.0
48,2020-04-18,9.0,32.0,0.0,3.8890403678628367,13.827699085734531,0.0
49,2020-04-19,9.0,32.0,0.0,3.8890403678628367,13.827699085734531,0.0
50,2020-04-20,8.0,33.0,0.0,3.456924771433633,14.259814682163736,0.0
51,2020-04-21,8.0,33.0,0.0,3.456924771433633,14.259814682163736,0.0
52,2020-04-22,8.0,33.0,0.0,3.456924771433633,14.259814682163736,0.0
53,2020-04-23,7.0,34.0,0.0,3.0248091750044286,14.69193027859294,0.0
54,2020-04-24,6.0,35.0,0.0,2.5926935785752248,15.124045875022142,0.0
55,2020-04-25,6.0,35.0,0.0,2.5926935785752248,15.124045875022142,0.0
56,2020-04-26,6.0,35.0,0.0,2.5926935785752248,15.124045875022142,0.0
57,2020-04-27,5.0,36.0,0.0,2.1605779821460205,15.556161471451347,0.0
58,2020-04-28,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
59,2020-04-29,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
60,2020-04-30,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
61,2020-05-01,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
62,2020-05-02,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
63,2020-05-03,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
64,2020-05-04,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
65,2020-05-05,4.0,37.0,0.0,1.7284623857168164,15.988277067880553,0.0
66,2020-05-06,3.0,38.0,0.0,1.2963467892876124,16.42039266430976,0.0
67,2020-05-07,3.0,38.0,0.0,1.2963467892876124,16.42039266430976,0.0
68,2020-05-08,3.0,38.0,0.0,1.2963467892876124,16.42039266430976,0.0
69,2020-05-09,2.0,39.0,0.0,0.8642311928584082,16.85250826073896,0.0
70,2020-05-10,2.0,39.0,0.0,0.8642311928584082,16.85250826073896,0.0
71,2020-05-11,2.0,39.0,0.0,0.8642311928584082,16.85250826073896,0.0
72,2020-05-12,3.0,39.0,0.0,1.2963467892876124,16.85250826073896,0.0
73,2020-05-13,2.0,40.0,0.0,0.8642311928584082,17.284623857168164,0.0
74,2020-05-14,4.0,40.0,0.0,1.7284623857168164,17.284623857168164,0.0
75,2020-05-15,3.0,41.0,0.0,1.2963467892876124,17.71673945359737,0.0
76,2020-05-16,3.0,41.0,0.0,1.2963467892876124,17.71673945359737,0.0
77,2020-05-17,3.0,41.0,0.0,1.2963467892876124,17.71673945359737,0.0
78,2020-05-18,6.0,41.0,0.0,2.5926935785752248,17.71673945359737,0.0
79,2020-05-19,7.0,41.0,0.0,3.0248091750044286,17.71673945359737,0.0
80,2020-05-20,7.0,41.0,0.0,3.0248091750044286,17.71673945359737,0.0
81,2020-05-21,7.0,41.0,0.0,3.0248091750044286,17.71673945359737,0.0
82,2020-05-22,7.0,41.0,0.0,3.0248091750044286,17.71673945359737,0.0
83,2020-05-23,6.0,42.0,0.0,2.5926935785752248,18.148855050026572,0.0
84,2020-05-24,6.0,42.0,0.0,2.5926935785752248,18.148855050026572,0.0
85,2020-05-25,6.0,42.0,0.0,2.5926935785752248,18.148855050026572,0.0
86,2020-05-26,4.0,44.0,0.0,1.7284623857168164,19.01308624288498,0.0
87,2020-05-27,4.0,44.0,0.0,1.7284623857168164,19.01308624288498,0.0
88,2020-05-28,2.0,46.0,0.0,0.8642311928584082,19.87731743574339,0.0
89,2020-05-29,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
90,2020-05-30,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
91,2020-05-31,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
92,2020-06-01,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
93,2020-06-02,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
94,2020-06-03,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
95,2020-06-04,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
96,2020-06-05,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
97,2020-06-06,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
98,2020-06-07,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
99,2020-06-08,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
100,2020-06-09,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
101,2020-06-10,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
102,2020-06-11,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
103,2020-06-12,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
