,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,2.0,0.0,0.0,0.5238599915027523,0.0,0.0
12,2020-03-13,4.0,0.0,0.0,1.0477199830055046,0.0,0.0
13,2020-03-14,4.0,0.0,0.0,1.0477199830055046,0.0,0.0
14,2020-03-15,7.0,0.0,0.0,1.833509970259633,0.0,0.0
15,2020-03-16,13.0,0.0,0.0,3.4050899447678895,0.0,0.0
16,2020-03-17,16.0,0.0,0.0,4.1908799320220185,0.0,0.0
17,2020-03-18,24.0,0.0,0.0,6.286319898033027,0.0,0.0
18,2020-03-19,29.0,0.0,0.0,7.5959698767899075,0.0,0.0
19,2020-03-20,36.0,0.0,0.0,9.429479847049542,0.0,0.0
20,2020-03-21,42.0,0.0,0.0,11.001059821557797,0.0,0.0
21,2020-03-22,48.0,0.0,0.0,12.572639796066055,0.0,0.0
22,2020-03-23,54.0,0.0,0.0,14.144219770574312,0.0,0.0
23,2020-03-24,58.0,0.0,1.0,15.191939753579815,0.0,0.26192999575137615
24,2020-03-25,62.0,0.0,1.0,16.23965973658532,0.0,0.26192999575137615
25,2020-03-26,71.0,0.0,1.0,18.597029698347704,0.0,0.26192999575137615
26,2020-03-27,80.0,0.0,1.0,20.95439966011009,0.0,0.26192999575137615
27,2020-03-28,82.0,0.0,1.0,21.47825965161284,0.0,0.26192999575137615
28,2020-03-29,86.0,0.0,1.0,22.52597963461835,0.0,0.26192999575137615
29,2020-03-30,87.0,2.0,1.0,22.78790963036972,0.5238599915027523,0.26192999575137615
30,2020-03-31,89.0,3.0,1.0,23.31176962187248,0.7857899872541284,0.26192999575137615
31,2020-04-01,93.0,3.0,1.0,24.359489604877982,0.7857899872541284,0.26192999575137615
32,2020-04-02,98.0,3.0,1.0,25.669139583634863,0.7857899872541284,0.26192999575137615
33,2020-04-03,98.0,4.0,2.0,25.669139583634863,1.0477199830055046,0.5238599915027523
34,2020-04-04,107.0,5.0,2.0,28.02650954539725,1.3096499787568807,0.5238599915027523
35,2020-04-05,109.0,6.0,2.0,28.550369536899996,1.5715799745082568,0.5238599915027523
36,2020-04-06,114.0,7.0,3.0,29.86001951565688,1.833509970259633,0.7857899872541284
37,2020-04-07,120.0,9.0,3.0,31.431599490165134,2.3573699617623856,0.7857899872541284
38,2020-04-08,123.0,11.0,3.0,32.21738947741926,2.8812299532651373,0.7857899872541284
39,2020-04-09,124.0,13.0,3.0,32.47931947317064,3.4050899447678895,0.7857899872541284
40,2020-04-10,126.0,13.0,3.0,33.003179464673394,3.4050899447678895,0.7857899872541284
41,2020-04-11,134.0,14.0,3.0,35.0986194306844,3.667019940519266,0.7857899872541284
42,2020-04-12,135.0,16.0,3.0,35.36054942643578,4.1908799320220185,0.7857899872541284
43,2020-04-13,136.0,16.0,3.0,35.622479422187155,4.1908799320220185,0.7857899872541284
44,2020-04-14,134.0,24.0,3.0,35.0986194306844,6.286319898033027,0.7857899872541284
45,2020-04-15,137.0,28.0,3.0,35.88440941793853,7.334039881038532,0.7857899872541284
46,2020-04-16,141.0,28.0,3.0,36.932129400944035,7.334039881038532,0.7857899872541284
47,2020-04-17,138.0,34.0,3.0,36.14633941368991,8.905619855546789,0.7857899872541284
48,2020-04-18,138.0,36.0,3.0,36.14633941368991,9.429479847049542,0.7857899872541284
49,2020-04-19,140.0,37.0,3.0,36.670199405192655,9.691409842800917,0.7857899872541284
50,2020-04-20,133.0,47.0,3.0,34.83668943493302,12.31070980031468,0.7857899872541284
51,2020-04-21,133.0,57.0,4.0,34.83668943493302,14.93000975782844,1.0477199830055046
52,2020-04-22,122.0,69.0,4.0,31.955459481667887,18.073169706844954,1.0477199830055046
53,2020-04-23,121.0,72.0,4.0,31.693529485916514,18.858959694099084,1.0477199830055046
54,2020-04-24,119.0,80.0,4.0,31.16966949441376,20.95439966011009,1.0477199830055046
55,2020-04-25,116.0,83.0,4.0,30.38387950715963,21.740189647364218,1.0477199830055046
56,2020-04-26,120.0,83.0,4.0,31.431599490165134,21.740189647364218,1.0477199830055046
57,2020-04-27,103.0,102.0,4.0,26.978789562391743,26.716859566640366,1.0477199830055046
58,2020-04-28,99.0,110.0,5.0,25.931069579386236,28.812299532651373,1.3096499787568807
59,2020-04-29,101.0,119.0,5.0,26.45492957088899,31.16966949441376,1.3096499787568807
60,2020-04-30,102.0,121.0,5.0,26.716859566640366,31.693529485916514,1.3096499787568807
61,2020-05-01,103.0,127.0,6.0,26.978789562391743,33.265109460424775,1.5715799745082568
62,2020-05-02,103.0,127.0,6.0,26.978789562391743,33.265109460424775,1.5715799745082568
63,2020-05-03,104.0,127.0,6.0,27.240719558143116,33.265109460424775,1.5715799745082568
64,2020-05-04,98.0,133.0,6.0,25.669139583634863,34.83668943493302,1.5715799745082568
65,2020-05-05,88.0,146.0,6.0,23.0498396261211,38.241779379700915,1.5715799745082568
66,2020-05-06,83.0,155.0,6.0,21.740189647364218,40.5991493414633,1.5715799745082568
67,2020-05-07,80.0,163.0,6.0,20.95439966011009,42.69458930747431,1.5715799745082568
68,2020-05-08,75.0,167.0,7.0,19.644749681353208,43.74230929047981,1.833509970259633
69,2020-05-09,74.0,168.0,7.0,19.382819685601834,44.00423928623119,1.833509970259633
70,2020-05-10,74.0,169.0,7.0,19.382819685601834,44.26616928198257,1.833509970259633
71,2020-05-11,63.0,180.0,7.0,16.501589732336697,47.147399235247704,1.833509970259633
72,2020-05-12,62.0,182.0,7.0,16.23965973658532,47.67125922675046,1.833509970259633
73,2020-05-13,53.0,191.0,7.0,13.882289774822935,50.02862918851284,1.833509970259633
74,2020-05-14,54.0,196.0,7.0,14.144219770574312,51.338279167269725,1.833509970259633
75,2020-05-15,50.0,203.0,8.0,13.096499787568806,53.17178913752935,2.0954399660110092
76,2020-05-16,50.0,204.0,8.0,13.096499787568806,53.43371913328073,2.0954399660110092
77,2020-05-17,50.0,204.0,8.0,13.096499787568806,53.43371913328073,2.0954399660110092
78,2020-05-18,47.0,209.0,8.0,12.31070980031468,54.74336911203761,2.0954399660110092
79,2020-05-19,48.0,210.0,8.0,12.572639796066055,55.005299107788986,2.0954399660110092
80,2020-05-20,49.0,211.0,8.0,12.834569791817431,55.267229103540366,2.0954399660110092
81,2020-05-21,48.0,213.0,8.0,12.572639796066055,55.79108909504312,2.0954399660110092
82,2020-05-22,44.0,217.0,8.0,11.52491981306055,56.83880907804863,2.0954399660110092
83,2020-05-23,52.0,219.0,8.0,13.620359779071558,57.36266906955137,2.0954399660110092
84,2020-05-24,52.0,219.0,8.0,13.620359779071558,57.36266906955137,2.0954399660110092
85,2020-05-25,52.0,220.0,8.0,13.620359779071558,57.624599065302746,2.0954399660110092
86,2020-05-26,53.0,225.0,8.0,13.882289774822935,58.934249044059634,2.0954399660110092
87,2020-05-27,46.0,233.0,8.0,12.048779804563301,61.02968901007064,2.0954399660110092
88,2020-05-28,44.0,236.0,8.0,11.52491981306055,61.81547899732477,2.0954399660110092
89,2020-05-29,44.0,237.0,8.0,11.52491981306055,62.07740899307615,2.0954399660110092
90,2020-05-30,44.0,237.0,8.0,11.52491981306055,62.07740899307615,2.0954399660110092
91,2020-05-31,44.0,237.0,8.0,11.52491981306055,62.07740899307615,2.0954399660110092
92,2020-06-01,43.0,238.0,8.0,11.262989817309174,62.33933898882752,2.0954399660110092
93,2020-06-02,44.0,239.0,8.0,11.52491981306055,62.6012689845789,2.0954399660110092
94,2020-06-03,42.0,243.0,8.0,11.001059821557797,63.648988967584394,2.0954399660110092
95,2020-06-04,42.0,244.0,8.0,11.001059821557797,63.910918963335774,2.0954399660110092
96,2020-06-05,37.0,249.0,8.0,9.691409842800917,65.22056894209265,2.0954399660110092
97,2020-06-06,39.0,249.0,8.0,10.215269834303669,65.22056894209265,2.0954399660110092
98,2020-06-07,40.0,249.0,8.0,10.477199830055046,65.22056894209265,2.0954399660110092
99,2020-06-08,41.0,252.0,8.0,10.73912982580642,66.00635892934679,2.0954399660110092
100,2020-06-09,44.0,254.0,8.0,11.52491981306055,66.53021892084955,2.0954399660110092
101,2020-06-10,42.0,256.0,8.0,11.001059821557797,67.0540789123523,2.0954399660110092
102,2020-06-11,46.0,256.0,8.0,12.048779804563301,67.0540789123523,2.0954399660110092
103,2020-06-12,38.0,265.0,8.0,9.953339838552294,69.41144887411468,2.0954399660110092
104,2020-06-13,39.0,265.0,8.0,10.215269834303669,69.41144887411468,2.0954399660110092
105,2020-06-14,40.0,265.0,8.0,10.477199830055046,69.41144887411468,2.0954399660110092
106,2020-06-15,42.0,265.0,8.0,11.001059821557797,69.41144887411468,2.0954399660110092
107,2020-06-16,42.0,265.0,8.0,11.001059821557797,69.41144887411468,2.0954399660110092
108,2020-06-17,41.0,269.0,8.0,10.73912982580642,70.45916885712018,2.0954399660110092
109,2020-06-18,59.0,270.0,8.0,15.453869749331192,70.72109885287156,2.0954399660110092
110,2020-06-19,82.0,273.0,8.0,21.47825965161284,71.50688884012568,2.0954399660110092
111,2020-06-20,83.0,274.0,8.0,21.740189647364218,71.76881883587706,2.0954399660110092
112,2020-06-21,83.0,275.0,8.0,21.740189647364218,72.03074883162843,2.0954399660110092
113,2020-06-22,85.0,276.0,9.0,22.26404963886697,72.29267882737982,2.3573699617623856
114,2020-06-23,92.0,276.0,9.0,24.097559609126602,72.29267882737982,2.3573699617623856
115,2020-06-24,96.0,281.0,9.0,25.14527959213211,73.6023288061367,2.3573699617623856
116,2020-06-25,98.0,283.0,9.0,25.669139583634863,74.12618879763944,2.3573699617623856
117,2020-06-26,101.0,288.0,9.0,26.45492957088899,75.43583877639634,2.3573699617623856
118,2020-06-27,120.0,289.0,9.0,31.431599490165134,75.6977687721477,2.3573699617623856
119,2020-06-28,144.0,289.0,9.0,37.71791938819817,75.6977687721477,2.3573699617623856
120,2020-06-29,148.0,293.0,9.0,38.76563937120367,76.7454887551532,2.3573699617623856
121,2020-06-30,152.0,294.0,10.0,39.813359354209176,77.00741875090458,2.6192999575137614
