,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,1.0,0.0,0.0,0.5521633006574544,0.0,0.0
17,2020-03-18,2.0,0.0,0.0,1.104326601314909,0.0,0.0
18,2020-03-19,4.0,0.0,0.0,2.208653202629818,0.0,0.0
19,2020-03-20,8.0,0.0,0.0,4.417306405259636,0.0,0.0
20,2020-03-21,8.0,0.0,0.0,4.417306405259636,0.0,0.0
21,2020-03-22,9.0,0.0,0.0,4.96946970591709,0.0,0.0
22,2020-03-23,11.0,0.0,0.0,6.073796307231999,0.0,0.0
23,2020-03-24,12.0,0.0,0.0,6.625959607889453,0.0,0.0
24,2020-03-25,14.0,0.0,0.0,7.730286209204361,0.0,0.0
25,2020-03-26,17.0,0.0,0.0,9.386776111176726,0.0,0.0
26,2020-03-27,21.0,0.0,0.0,11.595429313806543,0.0,0.0
27,2020-03-28,21.0,0.0,0.0,11.595429313806543,0.0,0.0
28,2020-03-29,21.0,0.0,0.0,11.595429313806543,0.0,0.0
29,2020-03-30,21.0,0.0,0.0,11.595429313806543,0.0,0.0
30,2020-03-31,22.0,0.0,0.0,12.147592614463997,0.0,0.0
31,2020-04-01,22.0,0.0,0.0,12.147592614463997,0.0,0.0
32,2020-04-02,29.0,1.0,0.0,16.01273571906618,0.5521633006574544,0.0
33,2020-04-03,35.0,1.0,0.0,19.325715523010906,0.5521633006574544,0.0
34,2020-04-04,39.0,1.0,0.0,21.53436872564072,0.5521633006574544,0.0
35,2020-04-05,39.0,2.0,0.0,21.53436872564072,1.104326601314909,0.0
36,2020-04-06,39.0,2.0,0.0,21.53436872564072,1.104326601314909,0.0
37,2020-04-07,38.0,3.0,0.0,20.982205424983267,1.6564899019723633,0.0
38,2020-04-08,37.0,3.0,1.0,20.430042124325816,1.6564899019723633,0.5521633006574544
39,2020-04-09,32.0,9.0,1.0,17.669225621038542,4.96946970591709,0.5521633006574544
40,2020-04-10,35.0,9.0,1.0,19.325715523010906,4.96946970591709,0.5521633006574544
41,2020-04-11,35.0,11.0,1.0,19.325715523010906,6.073796307231999,0.5521633006574544
42,2020-04-12,37.0,11.0,1.0,20.430042124325816,6.073796307231999,0.5521633006574544
43,2020-04-13,37.0,11.0,1.0,20.430042124325816,6.073796307231999,0.5521633006574544
44,2020-04-14,36.0,12.0,1.0,19.87787882366836,6.625959607889453,0.5521633006574544
45,2020-04-15,34.0,15.0,1.0,18.77355222235345,8.282449509861816,0.5521633006574544
46,2020-04-16,32.0,17.0,1.0,17.669225621038542,9.386776111176726,0.5521633006574544
47,2020-04-17,24.0,25.0,1.0,13.251919215778907,13.80408251643636,0.5521633006574544
48,2020-04-18,24.0,25.0,1.0,13.251919215778907,13.80408251643636,0.5521633006574544
49,2020-04-19,21.0,29.0,1.0,11.595429313806543,16.01273571906618,0.5521633006574544
50,2020-04-20,22.0,30.0,1.0,12.147592614463997,16.564899019723633,0.5521633006574544
51,2020-04-21,19.0,33.0,1.0,10.491102712491633,18.221388921695997,0.5521633006574544
52,2020-04-22,17.0,36.0,1.0,9.386776111176726,19.87787882366836,0.5521633006574544
53,2020-04-23,12.0,41.0,1.0,6.625959607889453,22.63869532695563,0.5521633006574544
54,2020-04-24,9.0,44.0,1.0,4.96946970591709,24.295185228927995,0.5521633006574544
55,2020-04-25,13.0,44.0,1.0,7.178122908546907,24.295185228927995,0.5521633006574544
56,2020-04-26,13.0,44.0,1.0,7.178122908546907,24.295185228927995,0.5521633006574544
57,2020-04-27,13.0,44.0,1.0,7.178122908546907,24.295185228927995,0.5521633006574544
58,2020-04-28,13.0,44.0,1.0,7.178122908546907,24.295185228927995,0.5521633006574544
59,2020-04-29,11.0,46.0,1.0,6.073796307231999,25.399511830242904,0.5521633006574544
60,2020-04-30,11.0,47.0,1.0,6.073796307231999,25.951675130900355,0.5521633006574544
61,2020-05-01,11.0,47.0,1.0,6.073796307231999,25.951675130900355,0.5521633006574544
62,2020-05-02,11.0,48.0,1.0,6.073796307231999,26.503838431557813,0.5521633006574544
63,2020-05-03,12.0,48.0,1.0,6.625959607889453,26.503838431557813,0.5521633006574544
64,2020-05-04,11.0,49.0,1.0,6.073796307231999,27.056001732215268,0.5521633006574544
65,2020-05-05,11.0,49.0,1.0,6.073796307231999,27.056001732215268,0.5521633006574544
66,2020-05-06,11.0,50.0,1.0,6.073796307231999,27.60816503287272,0.5521633006574544
67,2020-05-07,10.0,51.0,1.0,5.521633006574544,28.160328333530174,0.5521633006574544
68,2020-05-08,10.0,51.0,1.0,5.521633006574544,28.160328333530174,0.5521633006574544
69,2020-05-09,10.0,51.0,1.0,5.521633006574544,28.160328333530174,0.5521633006574544
70,2020-05-10,11.0,51.0,1.0,6.073796307231999,28.160328333530174,0.5521633006574544
71,2020-05-11,11.0,51.0,1.0,6.073796307231999,28.160328333530174,0.5521633006574544
72,2020-05-12,9.0,53.0,1.0,4.96946970591709,29.264654934845083,0.5521633006574544
73,2020-05-13,8.0,54.0,1.0,4.417306405259636,29.816818235502538,0.5521633006574544
74,2020-05-14,7.0,55.0,1.0,3.8651431046021805,30.368981536159993,0.5521633006574544
75,2020-05-15,10.0,56.0,1.0,5.521633006574544,30.921144836817444,0.5521633006574544
76,2020-05-16,10.0,56.0,1.0,5.521633006574544,30.921144836817444,0.5521633006574544
77,2020-05-17,8.0,58.0,1.0,4.417306405259636,32.02547143813236,0.5521633006574544
78,2020-05-18,9.0,58.0,1.0,4.96946970591709,32.02547143813236,0.5521633006574544
79,2020-05-19,9.0,58.0,1.0,4.96946970591709,32.02547143813236,0.5521633006574544
80,2020-05-20,9.0,59.0,1.0,4.96946970591709,32.57763473878981,0.5521633006574544
81,2020-05-21,9.0,59.0,1.0,4.96946970591709,32.57763473878981,0.5521633006574544
82,2020-05-22,10.0,59.0,1.0,5.521633006574544,32.57763473878981,0.5521633006574544
83,2020-05-23,12.0,59.0,1.0,6.625959607889453,32.57763473878981,0.5521633006574544
84,2020-05-24,12.0,59.0,1.0,6.625959607889453,32.57763473878981,0.5521633006574544
85,2020-05-25,12.0,59.0,1.0,6.625959607889453,32.57763473878981,0.5521633006574544
86,2020-05-26,12.0,59.0,1.0,6.625959607889453,32.57763473878981,0.5521633006574544
87,2020-05-27,12.0,59.0,1.0,6.625959607889453,32.57763473878981,0.5521633006574544
88,2020-05-28,12.0,59.0,1.0,6.625959607889453,32.57763473878981,0.5521633006574544
89,2020-05-29,9.0,62.0,1.0,4.96946970591709,34.234124640762175,0.5521633006574544
90,2020-05-30,9.0,62.0,1.0,4.96946970591709,34.234124640762175,0.5521633006574544
91,2020-05-31,9.0,62.0,1.0,4.96946970591709,34.234124640762175,0.5521633006574544
92,2020-06-01,9.0,62.0,1.0,4.96946970591709,34.234124640762175,0.5521633006574544
93,2020-06-02,8.0,63.0,1.0,4.417306405259636,34.78628794141963,0.5521633006574544
94,2020-06-03,8.0,63.0,1.0,4.417306405259636,34.78628794141963,0.5521633006574544
95,2020-06-04,8.0,63.0,1.0,4.417306405259636,34.78628794141963,0.5521633006574544
96,2020-06-05,7.0,64.0,1.0,3.8651431046021805,35.338451242077085,0.5521633006574544
97,2020-06-06,7.0,64.0,1.0,3.8651431046021805,35.338451242077085,0.5521633006574544
98,2020-06-07,5.0,66.0,1.0,2.760816503287272,36.442777843391994,0.5521633006574544
99,2020-06-08,5.0,66.0,1.0,2.760816503287272,36.442777843391994,0.5521633006574544
100,2020-06-09,5.0,66.0,1.0,2.760816503287272,36.442777843391994,0.5521633006574544
101,2020-06-10,5.0,66.0,1.0,2.760816503287272,36.442777843391994,0.5521633006574544
102,2020-06-11,4.0,67.0,1.0,2.208653202629818,36.99494114404945,0.5521633006574544
103,2020-06-12,4.0,67.0,1.0,2.208653202629818,36.99494114404945,0.5521633006574544
104,2020-06-13,4.0,67.0,1.0,2.208653202629818,36.99494114404945,0.5521633006574544
105,2020-06-14,4.0,67.0,1.0,2.208653202629818,36.99494114404945,0.5521633006574544
106,2020-06-15,4.0,67.0,1.0,2.208653202629818,36.99494114404945,0.5521633006574544
107,2020-06-16,2.0,69.0,1.0,1.104326601314909,38.09926774536436,0.5521633006574544
108,2020-06-17,2.0,69.0,1.0,1.104326601314909,38.09926774536436,0.5521633006574544
109,2020-06-18,2.0,69.0,1.0,1.104326601314909,38.09926774536436,0.5521633006574544
110,2020-06-19,2.0,69.0,1.0,1.104326601314909,38.09926774536436,0.5521633006574544
111,2020-06-20,3.0,69.0,1.0,1.6564899019723633,38.09926774536436,0.5521633006574544
112,2020-06-21,3.0,69.0,1.0,1.6564899019723633,38.09926774536436,0.5521633006574544
113,2020-06-22,3.0,69.0,1.0,1.6564899019723633,38.09926774536436,0.5521633006574544
114,2020-06-23,4.0,69.0,1.0,2.208653202629818,38.09926774536436,0.5521633006574544
115,2020-06-24,6.0,69.0,1.0,3.3129798039447267,38.09926774536436,0.5521633006574544
116,2020-06-25,6.0,69.0,1.0,3.3129798039447267,38.09926774536436,0.5521633006574544
117,2020-06-26,8.0,69.0,1.0,4.417306405259636,38.09926774536436,0.5521633006574544
118,2020-06-27,9.0,69.0,1.0,4.96946970591709,38.09926774536436,0.5521633006574544
119,2020-06-28,10.0,69.0,1.0,5.521633006574544,38.09926774536436,0.5521633006574544
120,2020-06-29,10.0,69.0,1.0,5.521633006574544,38.09926774536436,0.5521633006574544
121,2020-06-30,10.0,69.0,1.0,5.521633006574544,38.09926774536436,0.5521633006574544
122,2020-07-01,11.0,69.0,1.0,6.073796307231999,38.09926774536436,0.5521633006574544
123,2020-07-02,12.0,69.0,1.0,6.625959607889453,38.09926774536436,0.5521633006574544
