,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.7443545177126178,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.7443545177126178,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.7443545177126178,0.0,0.0
13,2020-03-14,1.0,0.0,0.0,0.7443545177126178,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.7443545177126178,0.0,0.0
15,2020-03-16,1.0,0.0,0.0,0.7443545177126178,0.0,0.0
16,2020-03-17,2.0,0.0,0.0,1.4887090354252357,0.0,0.0
17,2020-03-18,2.0,0.0,0.0,1.4887090354252357,0.0,0.0
18,2020-03-19,4.0,0.0,0.0,2.9774180708504714,0.0,0.0
19,2020-03-20,4.0,0.0,0.0,2.9774180708504714,0.0,0.0
20,2020-03-21,4.0,0.0,0.0,2.9774180708504714,0.0,0.0
21,2020-03-22,4.0,0.0,0.0,2.9774180708504714,0.0,0.0
22,2020-03-23,4.0,0.0,0.0,2.9774180708504714,0.0,0.0
23,2020-03-24,4.0,0.0,0.0,2.9774180708504714,0.0,0.0
24,2020-03-25,4.0,0.0,0.0,2.9774180708504714,0.0,0.0
25,2020-03-26,6.0,0.0,0.0,4.466127106275707,0.0,0.0
26,2020-03-27,6.0,0.0,0.0,4.466127106275707,0.0,0.0
27,2020-03-28,6.0,0.0,0.0,4.466127106275707,0.0,0.0
28,2020-03-29,6.0,0.0,0.0,4.466127106275707,0.0,0.0
29,2020-03-30,6.0,0.0,0.0,4.466127106275707,0.0,0.0
30,2020-03-31,6.0,0.0,0.0,4.466127106275707,0.0,0.0
31,2020-04-01,6.0,0.0,0.0,4.466127106275707,0.0,0.0
32,2020-04-02,5.0,1.0,0.0,3.7217725885630886,0.7443545177126178,0.0
33,2020-04-03,7.0,1.0,0.0,5.210481623988324,0.7443545177126178,0.0
34,2020-04-04,9.0,1.0,0.0,6.69919065941356,0.7443545177126178,0.0
35,2020-04-05,11.0,1.0,0.0,8.187899694838796,0.7443545177126178,0.0
36,2020-04-06,10.0,2.0,0.0,7.443545177126177,1.4887090354252357,0.0
37,2020-04-07,11.0,2.0,0.0,8.187899694838796,1.4887090354252357,0.0
38,2020-04-08,15.0,2.0,0.0,11.165317765689267,1.4887090354252357,0.0
39,2020-04-09,16.0,3.0,0.0,11.909672283401886,2.2330635531378533,0.0
40,2020-04-10,16.0,3.0,0.0,11.909672283401886,2.2330635531378533,0.0
41,2020-04-11,15.0,5.0,0.0,11.165317765689267,3.7217725885630886,0.0
42,2020-04-12,14.0,6.0,0.0,10.420963247976648,4.466127106275707,0.0
43,2020-04-13,14.0,6.0,0.0,10.420963247976648,4.466127106275707,0.0
44,2020-04-14,14.0,6.0,0.0,10.420963247976648,4.466127106275707,0.0
45,2020-04-15,16.0,6.0,0.0,11.909672283401886,4.466127106275707,0.0
46,2020-04-16,17.0,6.0,0.0,12.654026801114501,4.466127106275707,0.0
47,2020-04-17,19.0,7.0,0.0,14.142735836539739,5.210481623988324,0.0
48,2020-04-18,21.0,7.0,0.0,15.631444871964973,5.210481623988324,0.0
49,2020-04-19,20.0,8.0,0.0,14.887090354252354,5.954836141700943,0.0
50,2020-04-20,18.0,11.0,0.0,13.39838131882712,8.187899694838796,0.0
51,2020-04-21,22.0,11.0,0.0,16.375799389677592,8.187899694838796,0.0
52,2020-04-22,22.0,11.0,0.0,16.375799389677592,8.187899694838796,0.0
53,2020-04-23,21.0,12.0,0.0,15.631444871964973,8.932254212551413,0.0
54,2020-04-24,15.0,19.0,0.0,11.165317765689267,14.142735836539739,0.0
55,2020-04-25,15.0,19.0,0.0,11.165317765689267,14.142735836539739,0.0
56,2020-04-26,15.0,19.0,0.0,11.165317765689267,14.142735836539739,0.0
57,2020-04-27,14.0,20.0,0.0,10.420963247976648,14.887090354252354,0.0
58,2020-04-28,14.0,20.0,0.0,10.420963247976648,14.887090354252354,0.0
59,2020-04-29,12.0,22.0,0.0,8.932254212551413,16.375799389677592,0.0
60,2020-04-30,8.0,26.0,0.0,5.954836141700943,19.35321746052806,0.0
61,2020-05-01,8.0,26.0,0.0,5.954836141700943,19.35321746052806,0.0
62,2020-05-02,8.0,26.0,0.0,5.954836141700943,19.35321746052806,0.0
63,2020-05-03,8.0,26.0,0.0,5.954836141700943,19.35321746052806,0.0
64,2020-05-04,6.0,28.0,0.0,4.466127106275707,20.841926495953295,0.0
65,2020-05-05,5.0,29.0,0.0,3.7217725885630886,21.586281013665914,0.0
66,2020-05-06,3.0,31.0,0.0,2.2330635531378533,23.074990049091152,0.0
67,2020-05-07,3.0,31.0,0.0,2.2330635531378533,23.074990049091152,0.0
68,2020-05-08,3.0,31.0,0.0,2.2330635531378533,23.074990049091152,0.0
69,2020-05-09,3.0,31.0,0.0,2.2330635531378533,23.074990049091152,0.0
70,2020-05-10,3.0,31.0,0.0,2.2330635531378533,23.074990049091152,0.0
71,2020-05-11,2.0,32.0,0.0,1.4887090354252357,23.81934456680377,0.0
72,2020-05-12,1.0,33.0,0.0,0.7443545177126178,24.563699084516387,0.0
73,2020-05-13,1.0,33.0,0.0,0.7443545177126178,24.563699084516387,0.0
74,2020-05-14,0.0,34.0,0.0,0.0,25.308053602229002,0.0
75,2020-05-15,0.0,34.0,0.0,0.0,25.308053602229002,0.0
76,2020-05-16,0.0,34.0,0.0,0.0,25.308053602229002,0.0
77,2020-05-17,0.0,34.0,0.0,0.0,25.308053602229002,0.0
78,2020-05-18,0.0,34.0,0.0,0.0,25.308053602229002,0.0
79,2020-05-19,0.0,34.0,0.0,0.0,25.308053602229002,0.0
80,2020-05-20,2.0,34.0,0.0,1.4887090354252357,25.308053602229002,0.0
81,2020-05-21,2.0,34.0,0.0,1.4887090354252357,25.308053602229002,0.0
82,2020-05-22,2.0,34.0,0.0,1.4887090354252357,25.308053602229002,0.0
83,2020-05-23,1.0,35.0,0.0,0.7443545177126178,26.05240811994162,0.0
84,2020-05-24,1.0,35.0,0.0,0.7443545177126178,26.05240811994162,0.0
85,2020-05-25,0.0,36.0,0.0,0.0,26.79676263765424,0.0
86,2020-05-26,0.0,36.0,0.0,0.0,26.79676263765424,0.0
87,2020-05-27,0.0,36.0,0.0,0.0,26.79676263765424,0.0
88,2020-05-28,0.0,36.0,0.0,0.0,26.79676263765424,0.0
89,2020-05-29,0.0,36.0,0.0,0.0,26.79676263765424,0.0
90,2020-05-30,0.0,36.0,0.0,0.0,26.79676263765424,0.0
91,2020-05-31,0.0,36.0,0.0,0.0,26.79676263765424,0.0
92,2020-06-01,0.0,36.0,0.0,0.0,26.79676263765424,0.0
93,2020-06-02,0.0,36.0,0.0,0.0,26.79676263765424,0.0
94,2020-06-03,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
95,2020-06-04,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
96,2020-06-05,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
97,2020-06-06,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
98,2020-06-07,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
99,2020-06-08,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
100,2020-06-09,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
101,2020-06-10,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
102,2020-06-11,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
103,2020-06-12,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
104,2020-06-13,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
105,2020-06-14,1.0,36.0,0.0,0.7443545177126178,26.79676263765424,0.0
106,2020-06-15,2.0,36.0,0.0,1.4887090354252357,26.79676263765424,0.0
107,2020-06-16,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
108,2020-06-17,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
109,2020-06-18,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
110,2020-06-19,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
111,2020-06-20,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
112,2020-06-21,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
113,2020-06-22,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
114,2020-06-23,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
115,2020-06-24,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
116,2020-06-25,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
117,2020-06-26,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
118,2020-06-27,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
119,2020-06-28,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
120,2020-06-29,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
121,2020-06-30,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
122,2020-07-01,1.0,37.0,0.0,0.7443545177126178,27.541117155366855,0.0
123,2020-07-02,2.0,37.0,0.0,1.4887090354252357,27.541117155366855,0.0
124,2020-07-03,7.0,37.0,0.0,5.210481623988324,27.541117155366855,0.0
125,2020-07-04,18.0,37.0,0.0,13.39838131882712,27.541117155366855,0.0
126,2020-07-05,20.0,37.0,0.0,14.887090354252354,27.541117155366855,0.0
127,2020-07-06,20.0,37.0,0.0,14.887090354252354,27.541117155366855,0.0
128,2020-07-07,27.0,37.0,0.0,20.09757197824068,27.541117155366855,0.0
129,2020-07-08,34.0,37.0,0.0,25.308053602229002,27.541117155366855,0.0
130,2020-07-09,43.0,37.0,0.0,32.00724426164256,27.541117155366855,0.0
131,2020-07-10,47.0,37.0,0.0,34.98466233249304,27.541117155366855,0.0
132,2020-07-11,47.0,37.0,0.0,34.98466233249304,27.541117155366855,0.0
133,2020-07-12,47.0,37.0,0.0,34.98466233249304,27.541117155366855,0.0
