,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.34924814721436287,0.0,0.0
14,2020-03-15,3.0,0.0,0.0,0.5238722208215443,0.0,0.0
15,2020-03-16,6.0,0.0,0.0,1.0477444416430886,0.0,0.0
16,2020-03-17,7.0,0.0,0.0,1.2223685152502701,0.0,0.0
17,2020-03-18,10.0,0.0,0.0,1.7462407360718144,0.0,0.0
18,2020-03-19,14.0,0.0,0.0,2.4447370305005403,0.0,0.0
19,2020-03-20,22.0,0.0,0.0,3.8417296193579915,0.0,0.0
20,2020-03-21,24.0,0.0,0.0,4.190977766572354,0.0,0.0
21,2020-03-22,32.0,0.0,0.0,5.587970355429806,0.0,0.0
22,2020-03-23,34.0,0.0,0.0,5.937218502644169,0.0,0.0
23,2020-03-24,37.0,0.0,0.0,6.461090723465713,0.0,0.0
24,2020-03-25,49.0,0.0,0.0,8.55657960675189,0.0,0.0
25,2020-03-26,59.0,0.0,0.0,10.302820342823704,0.0,0.0
26,2020-03-27,71.0,0.0,0.0,12.398309226109882,0.0,0.0
27,2020-03-28,75.0,0.0,0.0,13.096805520538608,0.0,0.0
28,2020-03-29,77.0,1.0,0.0,13.44605366775297,0.17462407360718143,0.0
29,2020-03-30,82.0,2.0,0.0,14.319174035788878,0.34924814721436287,0.0
30,2020-03-31,92.0,2.0,0.0,16.06541477186069,0.34924814721436287,0.0
31,2020-04-01,97.0,2.0,0.0,16.9385351398966,0.34924814721436287,0.0
32,2020-04-02,97.0,4.0,0.0,16.9385351398966,0.6984962944287257,0.0
33,2020-04-03,104.0,4.0,0.0,18.160903655146868,0.6984962944287257,0.0
34,2020-04-04,132.0,7.0,0.0,23.05037771614795,1.2223685152502701,0.0
35,2020-04-05,136.0,7.0,0.0,23.748874010576674,1.2223685152502701,0.0
36,2020-04-06,159.0,7.0,1.0,27.76522770354185,1.2223685152502701,0.17462407360718143
37,2020-04-07,165.0,13.0,1.0,28.812972145184936,2.2701129568933585,0.17462407360718143
38,2020-04-08,173.0,17.0,3.0,30.20996473404239,2.9686092513220843,0.5238722208215443
39,2020-04-09,207.0,20.0,4.0,36.14718323668655,3.492481472143629,0.6984962944287257
40,2020-04-10,207.0,23.0,4.0,36.14718323668655,4.016353692965173,0.6984962944287257
41,2020-04-11,216.0,25.0,4.0,37.718799899151186,4.365601840179536,0.6984962944287257
42,2020-04-12,224.0,27.0,5.0,39.115792488008644,4.714849987393898,0.8731203680359072
43,2020-04-13,225.0,30.0,5.0,39.29041656161582,5.238722208215443,0.8731203680359072
44,2020-04-14,220.0,43.0,5.0,38.417296193579915,7.508835165108802,0.8731203680359072
45,2020-04-15,220.0,49.0,5.0,38.417296193579915,8.55657960675189,0.8731203680359072
46,2020-04-16,227.0,50.0,6.0,39.63966470883018,8.731203680359071,1.0477444416430886
47,2020-04-17,231.0,56.0,8.0,40.33816100325891,9.778948122002161,1.3969925888574515
48,2020-04-18,232.0,60.0,9.0,40.51278507686609,10.477444416430886,1.5716166624646328
49,2020-04-19,227.0,66.0,11.0,39.63966470883018,11.525188858073975,1.9208648096789958
50,2020-04-20,226.0,74.0,12.0,39.465040635223005,12.922181446931425,2.095488883286177
51,2020-04-21,223.0,90.0,12.0,38.94116841440145,15.71616662464633,2.095488883286177
52,2020-04-22,213.0,105.0,12.0,37.19492767832964,18.33552772875405,2.095488883286177
53,2020-04-23,209.0,116.0,14.0,36.49643138390092,20.256392538433044,2.4447370305005403
54,2020-04-24,208.0,125.0,15.0,36.321807310293735,21.82800920089768,2.6193611041077216
55,2020-04-25,206.0,128.0,16.0,35.972559163079374,22.351881421719224,2.793985177714903
56,2020-04-26,206.0,131.0,16.0,35.972559163079374,22.87575364254077,2.793985177714903
57,2020-04-27,202.0,137.0,16.0,35.274062868650645,23.92349808418386,2.793985177714903
58,2020-04-28,188.0,155.0,17.0,32.829325838150105,27.066731409113125,2.9686092513220843
59,2020-04-29,186.0,161.0,18.0,32.480077690935744,28.114475850756207,3.1432333249292657
60,2020-04-30,189.0,171.0,19.0,33.003949911757296,29.860716586828026,3.3178573985364475
61,2020-05-01,182.0,181.0,19.0,31.781581396507022,31.606957322899838,3.3178573985364475
62,2020-05-02,181.0,182.0,19.0,31.606957322899838,31.781581396507022,3.3178573985364475
63,2020-05-03,183.0,186.0,19.0,31.956205470114202,32.480077690935744,3.3178573985364475
64,2020-05-04,172.0,200.0,20.0,30.035340660435207,34.924814721436285,3.492481472143629
65,2020-05-05,148.0,229.0,21.0,25.84436289386285,39.98891285604455,3.6671055457508097
66,2020-05-06,141.0,241.0,22.0,24.62199437861258,42.08440173933072,3.8417296193579915
67,2020-05-07,135.0,252.0,23.0,23.574249936969494,44.00526654900972,4.016353692965173
68,2020-05-08,135.0,256.0,24.0,23.574249936969494,44.70376284343845,4.190977766572354
69,2020-05-09,133.0,259.0,24.0,23.22500178975513,45.22763506425999,4.190977766572354
70,2020-05-10,131.0,260.0,25.0,22.87575364254077,45.402259137867176,4.365601840179536
71,2020-05-11,124.0,269.0,25.0,21.653385127290495,46.973875800331804,4.365601840179536
72,2020-05-12,118.0,276.0,25.0,20.60564068564741,48.19624431558208,4.365601840179536
73,2020-05-13,116.0,279.0,26.0,20.256392538433044,48.72011653640362,4.540225913786717
74,2020-05-14,118.0,284.0,26.0,20.60564068564741,49.59323690443953,4.540225913786717
75,2020-05-15,119.0,287.0,26.0,20.78026475925459,50.11710912526107,4.540225913786717
76,2020-05-16,116.0,290.0,26.0,20.256392538433044,50.64098134608262,4.540225913786717
77,2020-05-17,114.0,291.0,27.0,19.907144391218683,50.815605419689795,4.714849987393898
78,2020-05-18,114.0,296.0,29.0,19.907144391218683,51.6887257877257,5.064098134608261
79,2020-05-19,110.0,306.0,29.0,19.208648096789958,53.43496652379752,5.064098134608261
80,2020-05-20,110.0,311.0,30.0,19.208648096789958,54.308086891833426,5.238722208215443
81,2020-05-21,100.0,321.0,30.0,17.462407360718142,56.054327627905245,5.238722208215443
82,2020-05-22,97.0,323.0,32.0,16.9385351398966,56.4035757751196,5.587970355429806
83,2020-05-23,105.0,323.0,32.0,18.33552772875405,56.4035757751196,5.587970355429806
84,2020-05-24,105.0,326.0,33.0,18.33552772875405,56.927447995941144,5.762594429036987
85,2020-05-25,100.0,334.0,33.0,17.462407360718142,58.324440584798595,5.762594429036987
86,2020-05-26,92.0,343.0,34.0,16.06541477186069,59.89605724726322,5.937218502644169
87,2020-05-27,84.0,351.0,34.0,14.668422183003239,61.29304983612068,5.937218502644169
88,2020-05-28,80.0,357.0,34.0,13.969925888574515,62.34079427776378,5.937218502644169
89,2020-05-29,76.0,363.0,34.0,13.27142959414579,63.38853871940686,5.937218502644169
90,2020-05-30,72.0,367.0,34.0,12.572933299717063,64.08703501383559,5.937218502644169
91,2020-05-31,69.0,370.0,34.0,12.04906107889552,64.61090723465713,5.937218502644169
92,2020-06-01,69.0,372.0,34.0,12.04906107889552,64.96015538187149,5.937218502644169
93,2020-06-02,67.0,374.0,34.0,11.699812931681155,65.30940352908586,5.937218502644169
94,2020-06-03,66.0,377.0,34.0,11.525188858073975,65.8332757499074,5.937218502644169
95,2020-06-04,65.0,379.0,34.0,11.350564784466794,66.18252389712175,5.937218502644169
96,2020-06-05,61.0,383.0,34.0,10.652068490038069,66.88102019155049,5.937218502644169
97,2020-06-06,61.0,383.0,34.0,10.652068490038069,66.88102019155049,5.937218502644169
98,2020-06-07,67.0,383.0,34.0,11.699812931681155,66.88102019155049,5.937218502644169
99,2020-06-08,66.0,386.0,34.0,11.525188858073975,67.40489241237202,5.937218502644169
100,2020-06-09,62.0,391.0,34.0,10.826692563645247,68.27801278040793,5.937218502644169
101,2020-06-10,60.0,395.0,34.0,10.477444416430886,68.97650907483667,5.937218502644169
102,2020-06-11,60.0,396.0,34.0,10.477444416430886,69.15113314844385,5.937218502644169
103,2020-06-12,58.0,400.0,34.0,10.128196269216522,69.84962944287257,5.937218502644169
104,2020-06-13,52.0,406.0,34.0,9.080451827573434,70.89737388451566,5.937218502644169
105,2020-06-14,50.0,408.0,34.0,8.731203680359071,71.24662203173003,5.937218502644169
106,2020-06-15,48.0,410.0,34.0,8.381955533144708,71.5958701789444,5.937218502644169
107,2020-06-16,43.0,415.0,34.0,7.508835165108802,72.4689905469803,5.937218502644169
108,2020-06-17,38.0,421.0,34.0,6.635714797072895,73.51673498862338,5.937218502644169
109,2020-06-18,38.0,421.0,34.0,6.635714797072895,73.51673498862338,5.937218502644169
110,2020-06-19,36.0,427.0,34.0,6.286466649858531,74.56447943026647,5.937218502644169
111,2020-06-20,39.0,427.0,34.0,6.810338870680075,74.56447943026647,5.937218502644169
112,2020-06-21,42.0,428.0,34.0,7.334211091501619,74.73910350387366,5.937218502644169
113,2020-06-22,43.0,430.0,34.0,7.508835165108802,75.08835165108802,5.937218502644169
114,2020-06-23,39.0,436.0,34.0,6.810338870680075,76.1360960927311,5.937218502644169
115,2020-06-24,39.0,438.0,34.0,6.810338870680075,76.48534423994548,5.937218502644169
116,2020-06-25,33.0,445.0,34.0,5.762594429036987,77.70771275519574,5.937218502644169
117,2020-06-26,44.0,449.0,35.0,7.683459238715983,78.40620904962447,6.11184257625135
118,2020-06-27,57.0,449.0,35.0,9.953572195609341,78.40620904962447,6.11184257625135
119,2020-06-28,76.0,451.0,35.0,13.27142959414579,78.75545719683882,6.11184257625135
120,2020-06-29,92.0,452.0,35.0,16.06541477186069,78.93008127044601,6.11184257625135
121,2020-06-30,101.0,454.0,35.0,17.637031434325323,79.27932941766036,6.11184257625135
122,2020-07-01,110.0,455.0,35.0,19.208648096789958,79.45395349126755,6.11184257625135
123,2020-07-02,125.0,455.0,35.0,21.82800920089768,79.45395349126755,6.11184257625135
124,2020-07-03,138.0,458.0,35.0,24.09812215779104,79.9778257120891,6.11184257625135
