,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,3.0,0.0,0.0,0.44211820395554285,0.0,0.0
11,2020-03-12,3.0,0.0,0.0,0.44211820395554285,0.0,0.0
12,2020-03-13,3.0,0.0,0.0,0.44211820395554285,0.0,0.0
13,2020-03-14,5.0,0.0,0.0,0.736863673259238,0.0,0.0
14,2020-03-15,10.0,0.0,0.0,1.473727346518476,0.0,0.0
15,2020-03-16,11.0,0.0,0.0,1.6211000811703238,0.0,0.0
16,2020-03-17,15.0,0.0,0.0,2.210591019777714,0.0,0.0
17,2020-03-18,17.0,0.0,0.0,2.5053364890814094,0.0,0.0
18,2020-03-19,24.0,0.0,0.0,3.536945631644343,0.0,0.0
19,2020-03-20,31.0,0.0,0.0,4.568554774207276,0.0,0.0
20,2020-03-21,43.0,0.0,0.0,6.337027590029447,0.0,0.0
21,2020-03-22,47.0,0.0,0.0,6.926518528636838,0.0,0.0
22,2020-03-23,50.0,0.0,0.0,7.36863673259238,0.0,0.0
23,2020-03-24,54.0,0.0,0.0,7.9581276711997715,0.0,0.0
24,2020-03-25,57.0,0.0,0.0,8.400245875155314,0.0,0.0
25,2020-03-26,61.0,0.0,0.0,8.989736813762704,0.0,0.0
26,2020-03-27,65.0,1.0,0.0,9.579227752370095,0.1473727346518476,0.0
27,2020-03-28,69.0,1.0,0.0,10.168718690977485,0.1473727346518476,0.0
28,2020-03-29,77.0,2.0,0.0,11.347700568192266,0.2947454693036952,0.0
29,2020-03-30,78.0,3.0,0.0,11.495073302844114,0.44211820395554285,0.0
30,2020-03-31,81.0,5.0,0.0,11.937191506799657,0.736863673259238,0.0
31,2020-04-01,84.0,7.0,0.0,12.3793097107552,1.0316091425629332,0.0
32,2020-04-02,90.0,7.0,0.0,13.263546118666286,1.0316091425629332,0.0
33,2020-04-03,95.0,7.0,0.0,14.000409791925522,1.0316091425629332,0.0
34,2020-04-04,96.0,12.0,0.0,14.147782526577371,1.7684728158221714,0.0
35,2020-04-05,94.0,16.0,0.0,13.853037057273676,2.3579637544295617,0.0
36,2020-04-06,93.0,20.0,1.0,13.705664322621828,2.947454693036952,0.1473727346518476
37,2020-04-07,92.0,25.0,1.0,13.558291587969979,3.68431836629619,0.1473727346518476
38,2020-04-08,89.0,29.0,1.0,13.116173384014438,4.273809304903581,0.1473727346518476
39,2020-04-09,89.0,33.0,1.0,13.116173384014438,4.863300243510971,0.1473727346518476
40,2020-04-10,89.0,36.0,1.0,13.116173384014438,5.305418447466514,0.1473727346518476
41,2020-04-11,88.0,39.0,1.0,12.96880064936259,5.747536651422057,0.1473727346518476
42,2020-04-12,89.0,39.0,1.0,13.116173384014438,5.747536651422057,0.1473727346518476
43,2020-04-13,89.0,40.0,1.0,13.116173384014438,5.894909386073904,0.1473727346518476
44,2020-04-14,86.0,44.0,1.0,12.674055180058893,6.484400324681295,0.1473727346518476
45,2020-04-15,82.0,48.0,1.0,12.084564241451504,7.073891263288686,0.1473727346518476
46,2020-04-16,78.0,53.0,1.0,11.495073302844114,7.810754936547923,0.1473727346518476
47,2020-04-17,74.0,58.0,1.0,10.905582364236723,8.547618609807161,0.1473727346518476
48,2020-04-18,74.0,59.0,2.0,10.905582364236723,8.694991344459009,0.2947454693036952
49,2020-04-19,74.0,61.0,2.0,10.905582364236723,8.989736813762704,0.2947454693036952
50,2020-04-20,72.0,63.0,3.0,10.610836894933028,9.2844822830664,0.44211820395554285
51,2020-04-21,66.0,72.0,3.0,9.726600487021942,10.610836894933028,0.44211820395554285
52,2020-04-22,66.0,76.0,3.0,9.726600487021942,11.200327833540419,0.44211820395554285
53,2020-04-23,64.0,80.0,3.0,9.431855017718247,11.789818772147807,0.44211820395554285
54,2020-04-24,50.0,95.0,3.0,7.36863673259238,14.000409791925522,0.44211820395554285
55,2020-04-25,49.0,98.0,3.0,7.221263997940533,14.442527995881067,0.44211820395554285
56,2020-04-26,46.0,101.0,3.0,6.7791457939849895,14.88464619983661,0.44211820395554285
57,2020-04-27,43.0,105.0,3.0,6.337027590029447,15.474137138444,0.44211820395554285
58,2020-04-28,40.0,109.0,3.0,5.894909386073904,16.06362807705139,0.44211820395554285
59,2020-04-29,40.0,111.0,3.0,5.894909386073904,16.358373546355086,0.44211820395554285
60,2020-04-30,42.0,111.0,3.0,6.1896548553776,16.358373546355086,0.44211820395554285
61,2020-05-01,42.0,111.0,3.0,6.1896548553776,16.358373546355086,0.44211820395554285
62,2020-05-02,38.0,115.0,3.0,5.600163916770209,16.947864484962476,0.44211820395554285
63,2020-05-03,38.0,118.0,3.0,5.600163916770209,17.389982688918018,0.44211820395554285
64,2020-05-04,41.0,119.0,3.0,6.042282120725752,17.537355423569863,0.44211820395554285
65,2020-05-05,39.0,121.0,3.0,5.747536651422057,17.83210089287356,0.44211820395554285
66,2020-05-06,33.0,128.0,3.0,4.863300243510971,18.863710035436494,0.44211820395554285
67,2020-05-07,37.0,129.0,3.0,5.452791182118362,19.011082770088343,0.44211820395554285
68,2020-05-08,38.0,130.0,3.0,5.600163916770209,19.15845550474019,0.44211820395554285
69,2020-05-09,36.0,133.0,3.0,5.305418447466514,19.60057370869573,0.44211820395554285
70,2020-05-10,36.0,134.0,3.0,5.305418447466514,19.74794644334758,0.44211820395554285
71,2020-05-11,42.0,135.0,3.0,6.1896548553776,19.895319177999426,0.44211820395554285
72,2020-05-12,44.0,136.0,3.0,6.484400324681295,20.042691912651275,0.44211820395554285
73,2020-05-13,41.0,139.0,3.0,6.042282120725752,20.48481011660682,0.44211820395554285
74,2020-05-14,43.0,140.0,3.0,6.337027590029447,20.632182851258666,0.44211820395554285
75,2020-05-15,40.0,144.0,3.0,5.894909386073904,21.221673789866056,0.44211820395554285
76,2020-05-16,39.0,145.0,3.0,5.747536651422057,21.369046524517902,0.44211820395554285
77,2020-05-17,40.0,145.0,3.0,5.894909386073904,21.369046524517902,0.44211820395554285
78,2020-05-18,38.0,147.0,3.0,5.600163916770209,21.663791993821597,0.44211820395554285
79,2020-05-19,37.0,148.0,3.0,5.452791182118362,21.811164728473447,0.44211820395554285
80,2020-05-20,33.0,153.0,3.0,4.863300243510971,22.548028401732683,0.44211820395554285
81,2020-05-21,30.0,156.0,3.0,4.421182039555428,22.990146605688228,0.44211820395554285
82,2020-05-22,30.0,158.0,3.0,4.421182039555428,23.284892074991923,0.44211820395554285
83,2020-05-23,30.0,158.0,3.0,4.421182039555428,23.284892074991923,0.44211820395554285
84,2020-05-24,30.0,158.0,3.0,4.421182039555428,23.284892074991923,0.44211820395554285
85,2020-05-25,30.0,158.0,3.0,4.421182039555428,23.284892074991923,0.44211820395554285
86,2020-05-26,28.0,160.0,3.0,4.126436570251733,23.579637544295615,0.44211820395554285
87,2020-05-27,28.0,162.0,3.0,4.126436570251733,23.874383013599314,0.44211820395554285
88,2020-05-28,31.0,162.0,3.0,4.568554774207276,23.874383013599314,0.44211820395554285
89,2020-05-29,39.0,163.0,3.0,5.747536651422057,24.021755748251163,0.44211820395554285
90,2020-05-30,42.0,163.0,3.0,6.1896548553776,24.021755748251163,0.44211820395554285
91,2020-05-31,42.0,165.0,3.0,6.1896548553776,24.316501217554855,0.44211820395554285
92,2020-06-01,44.0,166.0,3.0,6.484400324681295,24.463873952206704,0.44211820395554285
93,2020-06-02,46.0,168.0,3.0,6.7791457939849895,24.7586194215104,0.44211820395554285
94,2020-06-03,45.0,169.0,3.0,6.631773059333143,24.905992156162245,0.44211820395554285
95,2020-06-04,46.0,170.0,3.0,6.7791457939849895,25.053364890814095,0.44211820395554285
96,2020-06-05,45.0,174.0,3.0,6.631773059333143,25.642855829421485,0.44211820395554285
97,2020-06-06,45.0,175.0,3.0,6.631773059333143,25.790228564073335,0.44211820395554285
98,2020-06-07,48.0,175.0,3.0,7.073891263288686,25.790228564073335,0.44211820395554285
99,2020-06-08,47.0,176.0,3.0,6.926518528636838,25.93760129872518,0.44211820395554285
100,2020-06-09,47.0,177.0,3.0,6.926518528636838,26.084974033377026,0.44211820395554285
101,2020-06-10,48.0,177.0,4.0,7.073891263288686,26.084974033377026,0.5894909386073904
102,2020-06-11,47.0,179.0,4.0,6.926518528636838,26.37971950268072,0.5894909386073904
103,2020-06-12,48.0,180.0,4.0,7.073891263288686,26.52709223733257,0.5894909386073904
104,2020-06-13,51.0,180.0,4.0,7.516009467244228,26.52709223733257,0.5894909386073904
105,2020-06-14,51.0,180.0,4.0,7.516009467244228,26.52709223733257,0.5894909386073904
106,2020-06-15,47.0,185.0,5.0,6.926518528636838,27.263955910591807,0.736863673259238
107,2020-06-16,47.0,185.0,5.0,6.926518528636838,27.263955910591807,0.736863673259238
108,2020-06-17,51.0,186.0,5.0,7.516009467244228,27.411328645243657,0.736863673259238
109,2020-06-18,50.0,188.0,5.0,7.36863673259238,27.706074114547352,0.736863673259238
110,2020-06-19,53.0,190.0,5.0,7.810754936547923,28.000819583851044,0.736863673259238
111,2020-06-20,52.0,192.0,5.0,7.663382201896075,28.295565053154743,0.736863673259238
112,2020-06-21,53.0,192.0,5.0,7.810754936547923,28.295565053154743,0.736863673259238
113,2020-06-22,52.0,195.0,5.0,7.663382201896075,28.73768325711028,0.736863673259238
114,2020-06-23,53.0,197.0,5.0,7.810754936547923,29.03242872641398,0.736863673259238
115,2020-06-24,62.0,200.0,5.0,9.137109548414552,29.47454693036952,0.736863673259238
116,2020-06-25,63.0,202.0,5.0,9.2844822830664,29.76929239967322,0.736863673259238
117,2020-06-26,62.0,205.0,5.0,9.137109548414552,30.211410603628764,0.736863673259238
118,2020-06-27,62.0,205.0,5.0,9.137109548414552,30.211410603628764,0.736863673259238
119,2020-06-28,62.0,205.0,5.0,9.137109548414552,30.211410603628764,0.736863673259238
120,2020-06-29,57.0,210.0,5.0,8.400245875155314,30.948274276888,0.736863673259238
121,2020-06-30,55.0,212.0,5.0,8.105500405851618,31.243019746191692,0.736863673259238
122,2020-07-01,52.0,215.0,5.0,7.663382201896075,31.68513795014724,0.736863673259238
