,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.2522912263344876,0.0,0.0
13,2020-03-14,1.0,0.0,0.0,0.2522912263344876,0.0,0.0
14,2020-03-15,3.0,0.0,0.0,0.7568736790034627,0.0,0.0
15,2020-03-16,4.0,0.0,0.0,1.0091649053379503,0.0,0.0
16,2020-03-17,7.0,0.0,0.0,1.766038584341413,0.0,0.0
17,2020-03-18,8.0,0.0,0.0,2.0183298106759007,0.0,0.0
18,2020-03-19,10.0,0.0,0.0,2.5229122633448755,0.0,0.0
19,2020-03-20,11.0,0.0,0.0,2.7752034896793636,0.0,0.0
20,2020-03-21,13.0,0.0,0.0,3.2797859423483384,0.0,0.0
21,2020-03-22,14.0,0.0,0.0,3.532077168682826,0.0,0.0
22,2020-03-23,14.0,0.0,0.0,3.532077168682826,0.0,0.0
23,2020-03-24,17.0,0.0,0.0,4.288950847686288,0.0,0.0
24,2020-03-25,17.0,0.0,0.0,4.288950847686288,0.0,0.0
25,2020-03-26,18.0,0.0,0.0,4.541242074020776,0.0,0.0
26,2020-03-27,21.0,1.0,0.0,5.2981157530242395,0.2522912263344876,0.0
27,2020-03-28,23.0,1.0,0.0,5.802698205693214,0.2522912263344876,0.0
28,2020-03-29,22.0,3.0,0.0,5.550406979358727,0.7568736790034627,0.0
29,2020-03-30,26.0,3.0,0.0,6.559571884696677,0.7568736790034627,0.0
30,2020-03-31,27.0,3.0,0.0,6.8118631110311645,0.7568736790034627,0.0
31,2020-04-01,30.0,4.0,0.0,7.5687367900346265,1.0091649053379503,0.0
32,2020-04-02,31.0,4.0,0.0,7.821028016369115,1.0091649053379503,0.0
33,2020-04-03,33.0,4.0,0.0,8.32561046903809,1.0091649053379503,0.0
34,2020-04-04,35.0,5.0,0.0,8.830192921707065,1.2614561316724378,0.0
35,2020-04-05,35.0,5.0,0.0,8.830192921707065,1.2614561316724378,0.0
36,2020-04-06,32.0,8.0,0.0,8.073319242703603,2.0183298106759007,0.0
37,2020-04-07,34.0,9.0,0.0,8.577901695372576,2.270621037010388,0.0
38,2020-04-08,34.0,9.0,1.0,8.577901695372576,2.270621037010388,0.2522912263344876
39,2020-04-09,31.0,12.0,1.0,7.821028016369115,3.027494716013851,0.2522912263344876
40,2020-04-10,30.0,13.0,1.0,7.5687367900346265,3.2797859423483384,0.2522912263344876
41,2020-04-11,28.0,17.0,1.0,7.064154337365652,4.288950847686288,0.2522912263344876
42,2020-04-12,28.0,17.0,1.0,7.064154337365652,4.288950847686288,0.2522912263344876
43,2020-04-13,27.0,18.0,1.0,6.8118631110311645,4.541242074020776,0.2522912263344876
44,2020-04-14,27.0,18.0,1.0,6.8118631110311645,4.541242074020776,0.2522912263344876
45,2020-04-15,29.0,18.0,1.0,7.31644556370014,4.541242074020776,0.2522912263344876
46,2020-04-16,27.0,21.0,1.0,6.8118631110311645,5.2981157530242395,0.2522912263344876
47,2020-04-17,30.0,21.0,1.0,7.5687367900346265,5.2981157530242395,0.2522912263344876
48,2020-04-18,31.0,21.0,1.0,7.821028016369115,5.2981157530242395,0.2522912263344876
49,2020-04-19,25.0,27.0,1.0,6.307280658362189,6.8118631110311645,0.2522912263344876
50,2020-04-20,24.0,29.0,1.0,6.054989432027702,7.31644556370014,0.2522912263344876
51,2020-04-21,24.0,30.0,1.0,6.054989432027702,7.5687367900346265,0.2522912263344876
52,2020-04-22,22.0,34.0,1.0,5.550406979358727,8.577901695372576,0.2522912263344876
53,2020-04-23,21.0,37.0,1.0,5.2981157530242395,9.33477537437604,0.2522912263344876
54,2020-04-24,20.0,39.0,1.0,5.045824526689751,9.839357827045015,0.2522912263344876
55,2020-04-25,19.0,40.0,1.0,4.793533300355263,10.091649053379502,0.2522912263344876
56,2020-04-26,19.0,40.0,1.0,4.793533300355263,10.091649053379502,0.2522912263344876
57,2020-04-27,18.0,41.0,1.0,4.541242074020776,10.34394027971399,0.2522912263344876
58,2020-04-28,19.0,41.0,1.0,4.793533300355263,10.34394027971399,0.2522912263344876
59,2020-04-29,17.0,43.0,1.0,4.288950847686288,10.848522732382966,0.2522912263344876
60,2020-04-30,17.0,44.0,1.0,4.288950847686288,11.100813958717454,0.2522912263344876
61,2020-05-01,16.0,46.0,1.0,4.036659621351801,11.605396411386428,0.2522912263344876
62,2020-05-02,16.0,46.0,1.0,4.036659621351801,11.605396411386428,0.2522912263344876
63,2020-05-03,14.0,48.0,1.0,3.532077168682826,12.109978864055403,0.2522912263344876
64,2020-05-04,13.0,49.0,1.0,3.2797859423483384,12.36227009038989,0.2522912263344876
65,2020-05-05,11.0,51.0,1.0,2.7752034896793636,12.866852543058865,0.2522912263344876
66,2020-05-06,9.0,53.0,1.0,2.270621037010388,13.37143499572784,0.2522912263344876
67,2020-05-07,9.0,53.0,1.0,2.270621037010388,13.37143499572784,0.2522912263344876
68,2020-05-08,10.0,53.0,1.0,2.5229122633448755,13.37143499572784,0.2522912263344876
69,2020-05-09,9.0,54.0,1.0,2.270621037010388,13.623726222062329,0.2522912263344876
70,2020-05-10,9.0,54.0,1.0,2.270621037010388,13.623726222062329,0.2522912263344876
71,2020-05-11,9.0,54.0,1.0,2.270621037010388,13.623726222062329,0.2522912263344876
72,2020-05-12,5.0,58.0,1.0,1.2614561316724378,14.63289112740028,0.2522912263344876
73,2020-05-13,2.0,61.0,1.0,0.5045824526689752,15.38976480640374,0.2522912263344876
74,2020-05-14,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
75,2020-05-15,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
76,2020-05-16,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
77,2020-05-17,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
78,2020-05-18,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
79,2020-05-19,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
80,2020-05-20,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
81,2020-05-21,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
82,2020-05-22,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
83,2020-05-23,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
84,2020-05-24,6.0,61.0,1.0,1.5137473580069254,15.38976480640374,0.2522912263344876
85,2020-05-25,7.0,61.0,1.0,1.766038584341413,15.38976480640374,0.2522912263344876
86,2020-05-26,7.0,61.0,1.0,1.766038584341413,15.38976480640374,0.2522912263344876
87,2020-05-27,6.0,62.0,1.0,1.5137473580069254,15.64205603273823,0.2522912263344876
88,2020-05-28,7.0,62.0,1.0,1.766038584341413,15.64205603273823,0.2522912263344876
89,2020-05-29,7.0,62.0,1.0,1.766038584341413,15.64205603273823,0.2522912263344876
90,2020-05-30,8.0,63.0,1.0,2.0183298106759007,15.894347259072717,0.2522912263344876
91,2020-05-31,8.0,63.0,1.0,2.0183298106759007,15.894347259072717,0.2522912263344876
92,2020-06-01,8.0,63.0,2.0,2.0183298106759007,15.894347259072717,0.5045824526689752
93,2020-06-02,10.0,63.0,2.0,2.5229122633448755,15.894347259072717,0.5045824526689752
94,2020-06-03,8.0,64.0,3.0,2.0183298106759007,16.146638485407205,0.7568736790034627
95,2020-06-04,9.0,64.0,3.0,2.270621037010388,16.146638485407205,0.7568736790034627
96,2020-06-05,9.0,64.0,3.0,2.270621037010388,16.146638485407205,0.7568736790034627
97,2020-06-06,9.0,65.0,3.0,2.270621037010388,16.39892971174169,0.7568736790034627
98,2020-06-07,14.0,65.0,3.0,3.532077168682826,16.39892971174169,0.7568736790034627
99,2020-06-08,14.0,65.0,3.0,3.532077168682826,16.39892971174169,0.7568736790034627
100,2020-06-09,14.0,65.0,3.0,3.532077168682826,16.39892971174169,0.7568736790034627
101,2020-06-10,13.0,66.0,3.0,3.2797859423483384,16.65122093807618,0.7568736790034627
102,2020-06-11,12.0,67.0,3.0,3.027494716013851,16.903512164410667,0.7568736790034627
103,2020-06-12,12.0,67.0,3.0,3.027494716013851,16.903512164410667,0.7568736790034627
104,2020-06-13,14.0,67.0,3.0,3.532077168682826,16.903512164410667,0.7568736790034627
105,2020-06-14,14.0,67.0,3.0,3.532077168682826,16.903512164410667,0.7568736790034627
106,2020-06-15,14.0,67.0,3.0,3.532077168682826,16.903512164410667,0.7568736790034627
107,2020-06-16,16.0,67.0,3.0,4.036659621351801,16.903512164410667,0.7568736790034627
108,2020-06-17,17.0,67.0,3.0,4.288950847686288,16.903512164410667,0.7568736790034627
109,2020-06-18,18.0,67.0,3.0,4.541242074020776,16.903512164410667,0.7568736790034627
110,2020-06-19,18.0,68.0,3.0,4.541242074020776,17.155803390745152,0.7568736790034627
111,2020-06-20,18.0,68.0,3.0,4.541242074020776,17.155803390745152,0.7568736790034627
112,2020-06-21,18.0,68.0,3.0,4.541242074020776,17.155803390745152,0.7568736790034627
113,2020-06-22,18.0,68.0,3.0,4.541242074020776,17.155803390745152,0.7568736790034627
114,2020-06-23,18.0,68.0,3.0,4.541242074020776,17.155803390745152,0.7568736790034627
115,2020-06-24,19.0,68.0,3.0,4.793533300355263,17.155803390745152,0.7568736790034627
116,2020-06-25,19.0,68.0,3.0,4.793533300355263,17.155803390745152,0.7568736790034627
117,2020-06-26,18.0,69.0,3.0,4.541242074020776,17.408094617079644,0.7568736790034627
118,2020-06-27,20.0,69.0,3.0,5.045824526689751,17.408094617079644,0.7568736790034627
119,2020-06-28,20.0,69.0,3.0,5.045824526689751,17.408094617079644,0.7568736790034627
120,2020-06-29,20.0,69.0,3.0,5.045824526689751,17.408094617079644,0.7568736790034627
121,2020-06-30,21.0,69.0,3.0,5.2981157530242395,17.408094617079644,0.7568736790034627
