,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,3.0,0.0,0.0,1.8290551848551373,0.0,0.0
18,2020-03-19,8.0,0.0,0.0,4.877480492947032,0.0,0.0
19,2020-03-20,9.0,0.0,0.0,5.487165554565411,0.0,0.0
20,2020-03-21,11.0,0.0,0.0,6.706535677802169,0.0,0.0
21,2020-03-22,12.0,0.0,0.0,7.316220739420549,0.0,0.0
22,2020-03-23,13.0,0.0,0.0,7.925905801038927,0.0,0.0
23,2020-03-24,17.0,0.0,0.0,10.364646047512442,0.0,0.0
24,2020-03-25,18.0,0.0,0.0,10.974331109130823,0.0,0.0
25,2020-03-26,19.0,0.0,0.0,11.5840161707492,0.0,0.0
26,2020-03-27,20.0,0.0,0.0,12.19370123236758,0.0,0.0
27,2020-03-28,20.0,0.0,0.0,12.19370123236758,0.0,0.0
28,2020-03-29,20.0,0.0,0.0,12.19370123236758,0.0,0.0
29,2020-03-30,20.0,0.0,0.0,12.19370123236758,0.0,0.0
30,2020-03-31,19.0,0.0,1.0,11.5840161707492,0.0,0.609685061618379
31,2020-04-01,19.0,0.0,1.0,11.5840161707492,0.0,0.609685061618379
32,2020-04-02,19.0,0.0,1.0,11.5840161707492,0.0,0.609685061618379
33,2020-04-03,19.0,0.0,1.0,11.5840161707492,0.0,0.609685061618379
34,2020-04-04,19.0,0.0,1.0,11.5840161707492,0.0,0.609685061618379
35,2020-04-05,19.0,0.0,1.0,11.5840161707492,0.0,0.609685061618379
36,2020-04-06,16.0,3.0,1.0,9.754960985894064,1.8290551848551373,0.609685061618379
37,2020-04-07,16.0,3.0,1.0,9.754960985894064,1.8290551848551373,0.609685061618379
38,2020-04-08,17.0,3.0,1.0,10.364646047512442,1.8290551848551373,0.609685061618379
39,2020-04-09,18.0,4.0,1.0,10.974331109130823,2.438740246473516,0.609685061618379
40,2020-04-10,18.0,4.0,1.0,10.974331109130823,2.438740246473516,0.609685061618379
41,2020-04-11,18.0,4.0,1.0,10.974331109130823,2.438740246473516,0.609685061618379
42,2020-04-12,18.0,4.0,1.0,10.974331109130823,2.438740246473516,0.609685061618379
43,2020-04-13,18.0,4.0,1.0,10.974331109130823,2.438740246473516,0.609685061618379
44,2020-04-14,15.0,7.0,1.0,9.145275924275685,4.267795431328653,0.609685061618379
45,2020-04-15,14.0,8.0,1.0,8.535590862657306,4.877480492947032,0.609685061618379
46,2020-04-16,15.0,8.0,1.0,9.145275924275685,4.877480492947032,0.609685061618379
47,2020-04-17,13.0,10.0,1.0,7.925905801038927,6.09685061618379,0.609685061618379
48,2020-04-18,13.0,10.0,1.0,7.925905801038927,6.09685061618379,0.609685061618379
49,2020-04-19,13.0,10.0,1.0,7.925905801038927,6.09685061618379,0.609685061618379
50,2020-04-20,14.0,10.0,1.0,8.535590862657306,6.09685061618379,0.609685061618379
51,2020-04-21,10.0,14.0,1.0,6.09685061618379,8.535590862657306,0.609685061618379
52,2020-04-22,10.0,14.0,1.0,6.09685061618379,8.535590862657306,0.609685061618379
53,2020-04-23,9.0,16.0,1.0,5.487165554565411,9.754960985894064,0.609685061618379
54,2020-04-24,8.0,17.0,1.0,4.877480492947032,10.364646047512442,0.609685061618379
55,2020-04-25,7.0,18.0,1.0,4.267795431328653,10.974331109130823,0.609685061618379
56,2020-04-26,7.0,18.0,1.0,4.267795431328653,10.974331109130823,0.609685061618379
57,2020-04-27,7.0,18.0,1.0,4.267795431328653,10.974331109130823,0.609685061618379
58,2020-04-28,7.0,18.0,1.0,4.267795431328653,10.974331109130823,0.609685061618379
59,2020-04-29,7.0,18.0,1.0,4.267795431328653,10.974331109130823,0.609685061618379
60,2020-04-30,5.0,20.0,1.0,3.048425308091895,12.19370123236758,0.609685061618379
61,2020-05-01,5.0,20.0,1.0,3.048425308091895,12.19370123236758,0.609685061618379
62,2020-05-02,5.0,20.0,1.0,3.048425308091895,12.19370123236758,0.609685061618379
63,2020-05-03,5.0,20.0,1.0,3.048425308091895,12.19370123236758,0.609685061618379
64,2020-05-04,5.0,20.0,1.0,3.048425308091895,12.19370123236758,0.609685061618379
65,2020-05-05,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
66,2020-05-06,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
67,2020-05-07,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
68,2020-05-08,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
69,2020-05-09,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
70,2020-05-10,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
71,2020-05-11,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
72,2020-05-12,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
73,2020-05-13,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
74,2020-05-14,4.0,21.0,1.0,2.438740246473516,12.803386293985959,0.609685061618379
75,2020-05-15,1.0,24.0,1.0,0.609685061618379,14.632441478841098,0.609685061618379
76,2020-05-16,1.0,24.0,1.0,0.609685061618379,14.632441478841098,0.609685061618379
77,2020-05-17,1.0,24.0,1.0,0.609685061618379,14.632441478841098,0.609685061618379
78,2020-05-18,1.0,24.0,1.0,0.609685061618379,14.632441478841098,0.609685061618379
79,2020-05-19,1.0,24.0,1.0,0.609685061618379,14.632441478841098,0.609685061618379
80,2020-05-20,1.0,24.0,1.0,0.609685061618379,14.632441478841098,0.609685061618379
81,2020-05-21,0.0,25.0,1.0,0.0,15.242126540459475,0.609685061618379
82,2020-05-22,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
83,2020-05-23,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
84,2020-05-24,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
85,2020-05-25,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
86,2020-05-26,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
87,2020-05-27,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
88,2020-05-28,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
89,2020-05-29,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
90,2020-05-30,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
91,2020-05-31,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
92,2020-06-01,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
93,2020-06-02,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
94,2020-06-03,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
95,2020-06-04,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
96,2020-06-05,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
97,2020-06-06,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
98,2020-06-07,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
99,2020-06-08,1.0,25.0,1.0,0.609685061618379,15.242126540459475,0.609685061618379
100,2020-06-09,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
101,2020-06-10,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
102,2020-06-11,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
103,2020-06-12,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
104,2020-06-13,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
105,2020-06-14,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
106,2020-06-15,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
107,2020-06-16,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
108,2020-06-17,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
109,2020-06-18,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
110,2020-06-19,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
111,2020-06-20,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
112,2020-06-21,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
113,2020-06-22,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
114,2020-06-23,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
115,2020-06-24,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
116,2020-06-25,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
117,2020-06-26,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
118,2020-06-27,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
119,2020-06-28,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
120,2020-06-29,0.0,26.0,1.0,0.0,15.851811602077854,0.609685061618379
121,2020-06-30,1.0,26.0,1.0,0.609685061618379,15.851811602077854,0.609685061618379
122,2020-07-01,1.0,26.0,1.0,0.609685061618379,15.851811602077854,0.609685061618379
123,2020-07-02,1.0,26.0,1.0,0.609685061618379,15.851811602077854,0.609685061618379
124,2020-07-03,1.0,26.0,1.0,0.609685061618379,15.851811602077854,0.609685061618379
125,2020-07-04,1.0,26.0,1.0,0.609685061618379,15.851811602077854,0.609685061618379
126,2020-07-05,1.0,26.0,1.0,0.609685061618379,15.851811602077854,0.609685061618379
127,2020-07-06,1.0,26.0,1.0,0.609685061618379,15.851811602077854,0.609685061618379
