,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,2.0,0.0,0.0,0.8994236519146138,0.0,0.0
19,2020-03-20,3.0,0.0,0.0,1.349135477871921,0.0,0.0
20,2020-03-21,3.0,0.0,0.0,1.349135477871921,0.0,0.0
21,2020-03-22,3.0,0.0,0.0,1.349135477871921,0.0,0.0
22,2020-03-23,3.0,0.0,0.0,1.349135477871921,0.0,0.0
23,2020-03-24,3.0,0.0,0.0,1.349135477871921,0.0,0.0
24,2020-03-25,3.0,0.0,0.0,1.349135477871921,0.0,0.0
25,2020-03-26,5.0,0.0,0.0,2.248559129786535,0.0,0.0
26,2020-03-27,7.0,0.0,0.0,3.1479827817011485,0.0,0.0
27,2020-03-28,9.0,0.0,0.0,4.0474064336157625,0.0,0.0
28,2020-03-29,9.0,0.0,0.0,4.0474064336157625,0.0,0.0
29,2020-03-30,10.0,0.0,0.0,4.49711825957307,0.0,0.0
30,2020-03-31,10.0,0.0,0.0,4.49711825957307,0.0,0.0
31,2020-04-01,11.0,1.0,0.0,4.946830085530377,0.4497118259573069,0.0
32,2020-04-02,11.0,1.0,0.0,4.946830085530377,0.4497118259573069,0.0
33,2020-04-03,12.0,1.0,0.0,5.396541911487684,0.4497118259573069,0.0
34,2020-04-04,12.0,1.0,0.0,5.396541911487684,0.4497118259573069,0.0
35,2020-04-05,10.0,3.0,0.0,4.49711825957307,1.349135477871921,0.0
36,2020-04-06,13.0,3.0,0.0,5.84625373744499,1.349135477871921,0.0
37,2020-04-07,13.0,3.0,0.0,5.84625373744499,1.349135477871921,0.0
38,2020-04-08,13.0,3.0,0.0,5.84625373744499,1.349135477871921,0.0
39,2020-04-09,12.0,4.0,0.0,5.396541911487684,1.7988473038292276,0.0
40,2020-04-10,12.0,4.0,0.0,5.396541911487684,1.7988473038292276,0.0
41,2020-04-11,13.0,4.0,0.0,5.84625373744499,1.7988473038292276,0.0
42,2020-04-12,13.0,4.0,0.0,5.84625373744499,1.7988473038292276,0.0
43,2020-04-13,12.0,5.0,0.0,5.396541911487684,2.248559129786535,0.0
44,2020-04-14,11.0,6.0,0.0,4.946830085530377,2.698270955743842,0.0
45,2020-04-15,12.0,6.0,0.0,5.396541911487684,2.698270955743842,0.0
46,2020-04-16,14.0,7.0,0.0,6.295965563402297,3.1479827817011485,0.0
47,2020-04-17,13.0,8.0,0.0,5.84625373744499,3.5976946076584553,0.0
48,2020-04-18,12.0,9.0,0.0,5.396541911487684,4.0474064336157625,0.0
49,2020-04-19,13.0,9.0,0.0,5.84625373744499,4.0474064336157625,0.0
50,2020-04-20,13.0,10.0,0.0,5.84625373744499,4.49711825957307,0.0
51,2020-04-21,12.0,11.0,0.0,5.396541911487684,4.946830085530377,0.0
52,2020-04-22,9.0,14.0,0.0,4.0474064336157625,6.295965563402297,0.0
53,2020-04-23,8.0,15.0,0.0,3.5976946076584553,6.745677389359604,0.0
54,2020-04-24,8.0,15.0,0.0,3.5976946076584553,6.745677389359604,0.0
55,2020-04-25,8.0,15.0,0.0,3.5976946076584553,6.745677389359604,0.0
56,2020-04-26,7.0,16.0,0.0,3.1479827817011485,7.195389215316911,0.0
57,2020-04-27,7.0,16.0,0.0,3.1479827817011485,7.195389215316911,0.0
58,2020-04-28,7.0,16.0,0.0,3.1479827817011485,7.195389215316911,0.0
59,2020-04-29,5.0,18.0,0.0,2.248559129786535,8.094812867231525,0.0
60,2020-04-30,5.0,18.0,0.0,2.248559129786535,8.094812867231525,0.0
61,2020-05-01,4.0,19.0,0.0,1.7988473038292276,8.544524693188833,0.0
62,2020-05-02,3.0,20.0,0.0,1.349135477871921,8.99423651914614,0.0
63,2020-05-03,2.0,21.0,0.0,0.8994236519146138,9.443948345103447,0.0
64,2020-05-04,1.0,22.0,0.0,0.4497118259573069,9.893660171060754,0.0
65,2020-05-05,1.0,22.0,0.0,0.4497118259573069,9.893660171060754,0.0
66,2020-05-06,1.0,22.0,0.0,0.4497118259573069,9.893660171060754,0.0
67,2020-05-07,0.0,23.0,0.0,0.0,10.34337199701806,0.0
68,2020-05-08,0.0,23.0,0.0,0.0,10.34337199701806,0.0
69,2020-05-09,0.0,23.0,0.0,0.0,10.34337199701806,0.0
70,2020-05-10,0.0,23.0,0.0,0.0,10.34337199701806,0.0
71,2020-05-11,1.0,23.0,0.0,0.4497118259573069,10.34337199701806,0.0
72,2020-05-12,1.0,23.0,0.0,0.4497118259573069,10.34337199701806,0.0
73,2020-05-13,1.0,23.0,0.0,0.4497118259573069,10.34337199701806,0.0
74,2020-05-14,1.0,23.0,0.0,0.4497118259573069,10.34337199701806,0.0
75,2020-05-15,1.0,23.0,0.0,0.4497118259573069,10.34337199701806,0.0
76,2020-05-16,2.0,23.0,0.0,0.8994236519146138,10.34337199701806,0.0
77,2020-05-17,2.0,23.0,0.0,0.8994236519146138,10.34337199701806,0.0
78,2020-05-18,5.0,23.0,0.0,2.248559129786535,10.34337199701806,0.0
79,2020-05-19,5.0,23.0,0.0,2.248559129786535,10.34337199701806,0.0
80,2020-05-20,5.0,23.0,0.0,2.248559129786535,10.34337199701806,0.0
81,2020-05-21,4.0,23.0,1.0,1.7988473038292276,10.34337199701806,0.4497118259573069
82,2020-05-22,4.0,23.0,1.0,1.7988473038292276,10.34337199701806,0.4497118259573069
83,2020-05-23,4.0,23.0,1.0,1.7988473038292276,10.34337199701806,0.4497118259573069
84,2020-05-24,4.0,23.0,1.0,1.7988473038292276,10.34337199701806,0.4497118259573069
85,2020-05-25,3.0,24.0,1.0,1.349135477871921,10.793083822975367,0.4497118259573069
86,2020-05-26,3.0,24.0,1.0,1.349135477871921,10.793083822975367,0.4497118259573069
87,2020-05-27,3.0,24.0,1.0,1.349135477871921,10.793083822975367,0.4497118259573069
88,2020-05-28,3.0,24.0,1.0,1.349135477871921,10.793083822975367,0.4497118259573069
89,2020-05-29,3.0,24.0,1.0,1.349135477871921,10.793083822975367,0.4497118259573069
90,2020-05-30,3.0,24.0,1.0,1.349135477871921,10.793083822975367,0.4497118259573069
91,2020-05-31,3.0,24.0,1.0,1.349135477871921,10.793083822975367,0.4497118259573069
92,2020-06-01,2.0,25.0,1.0,0.8994236519146138,11.242795648932674,0.4497118259573069
93,2020-06-02,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
94,2020-06-03,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
95,2020-06-04,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
96,2020-06-05,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
97,2020-06-06,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
98,2020-06-07,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
99,2020-06-08,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
100,2020-06-09,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
101,2020-06-10,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
102,2020-06-11,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
103,2020-06-12,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
104,2020-06-13,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
105,2020-06-14,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
106,2020-06-15,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
107,2020-06-16,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
108,2020-06-17,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
109,2020-06-18,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
110,2020-06-19,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
111,2020-06-20,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
112,2020-06-21,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
113,2020-06-22,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
114,2020-06-23,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
115,2020-06-24,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
116,2020-06-25,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
117,2020-06-26,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
118,2020-06-27,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
119,2020-06-28,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
120,2020-06-29,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
121,2020-06-30,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
122,2020-07-01,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
123,2020-07-02,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
124,2020-07-03,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
125,2020-07-04,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
126,2020-07-05,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
127,2020-07-06,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
128,2020-07-07,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
129,2020-07-08,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
130,2020-07-09,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
131,2020-07-10,0.0,27.0,1.0,0.0,12.142219300847287,0.4497118259573069
