,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,1.0,0.0,0.0,0.48778409584920096,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.48778409584920096,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.48778409584920096,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.48778409584920096,0.0,0.0
13,2020-03-14,3.0,0.0,0.0,1.4633522875476028,0.0,0.0
14,2020-03-15,3.0,0.0,0.0,1.4633522875476028,0.0,0.0
15,2020-03-16,3.0,0.0,0.0,1.4633522875476028,0.0,0.0
16,2020-03-17,4.0,0.0,0.0,1.9511363833968038,0.0,0.0
17,2020-03-18,4.0,0.0,0.0,1.9511363833968038,0.0,0.0
18,2020-03-19,6.0,0.0,0.0,2.9267045750952057,0.0,0.0
19,2020-03-20,9.0,0.0,0.0,4.390056862642808,0.0,0.0
20,2020-03-21,10.0,0.0,0.0,4.877840958492009,0.0,0.0
21,2020-03-22,12.0,0.0,0.0,5.853409150190411,0.0,0.0
22,2020-03-23,12.0,0.0,0.0,5.853409150190411,0.0,0.0
23,2020-03-24,16.0,0.0,0.0,7.804545533587215,0.0,0.0
24,2020-03-25,18.0,0.0,0.0,8.780113725285617,0.0,0.0
25,2020-03-26,18.0,0.0,0.0,8.780113725285617,0.0,0.0
26,2020-03-27,21.0,0.0,0.0,10.243466012833219,0.0,0.0
27,2020-03-28,23.0,1.0,0.0,11.219034204531622,0.48778409584920096,0.0
28,2020-03-29,24.0,3.0,0.0,11.706818300380823,1.4633522875476028,0.0
29,2020-03-30,24.0,5.0,0.0,11.706818300380823,2.4389204792460046,0.0
30,2020-03-31,25.0,5.0,0.0,12.194602396230025,2.4389204792460046,0.0
31,2020-04-01,27.0,5.0,1.0,13.170170587928427,2.4389204792460046,0.48778409584920096
32,2020-04-02,28.0,6.0,1.0,13.657954683777628,2.9267045750952057,0.48778409584920096
33,2020-04-03,29.0,7.0,1.0,14.145738779626829,3.414488670944407,0.48778409584920096
34,2020-04-04,33.0,7.0,1.0,16.09687516302363,3.414488670944407,0.48778409584920096
35,2020-04-05,32.0,7.0,3.0,15.60909106717443,3.414488670944407,1.4633522875476028
36,2020-04-06,34.0,8.0,3.0,16.584659258872833,3.9022727667936077,1.4633522875476028
37,2020-04-07,35.0,8.0,3.0,17.072443354722033,3.9022727667936077,1.4633522875476028
38,2020-04-08,36.0,8.0,3.0,17.560227450571233,3.9022727667936077,1.4633522875476028
39,2020-04-09,36.0,12.0,3.0,17.560227450571233,5.853409150190411,1.4633522875476028
40,2020-04-10,35.0,13.0,3.0,17.072443354722033,6.341193246039612,1.4633522875476028
41,2020-04-11,33.0,15.0,3.0,16.09687516302363,7.316761437738015,1.4633522875476028
42,2020-04-12,33.0,15.0,3.0,16.09687516302363,7.316761437738015,1.4633522875476028
43,2020-04-13,33.0,15.0,3.0,16.09687516302363,7.316761437738015,1.4633522875476028
44,2020-04-14,33.0,17.0,3.0,16.09687516302363,8.292329629436416,1.4633522875476028
45,2020-04-15,33.0,17.0,3.0,16.09687516302363,8.292329629436416,1.4633522875476028
46,2020-04-16,33.0,19.0,3.0,16.09687516302363,9.267897821134818,1.4633522875476028
47,2020-04-17,31.0,21.0,3.0,15.12130697132523,10.243466012833219,1.4633522875476028
48,2020-04-18,35.0,22.0,3.0,17.072443354722033,10.73125010868242,1.4633522875476028
49,2020-04-19,34.0,24.0,3.0,16.584659258872833,11.706818300380823,1.4633522875476028
50,2020-04-20,32.0,30.0,3.0,15.60909106717443,14.63352287547603,1.4633522875476028
51,2020-04-21,35.0,30.0,3.0,17.072443354722033,14.63352287547603,1.4633522875476028
52,2020-04-22,33.0,33.0,3.0,16.09687516302363,16.09687516302363,1.4633522875476028
53,2020-04-23,28.0,38.0,3.0,13.657954683777628,18.535795642269637,1.4633522875476028
54,2020-04-24,26.0,40.0,3.0,12.682386492079225,19.511363833968037,1.4633522875476028
55,2020-04-25,30.0,41.0,3.0,14.63352287547603,19.999147929817237,1.4633522875476028
56,2020-04-26,28.0,43.0,3.0,13.657954683777628,20.97471612151564,1.4633522875476028
57,2020-04-27,26.0,45.0,3.0,12.682386492079225,21.95028431321404,1.4633522875476028
58,2020-04-28,21.0,50.0,3.0,10.243466012833219,24.38920479246005,1.4633522875476028
59,2020-04-29,18.0,53.0,3.0,8.780113725285617,25.852557080007653,1.4633522875476028
60,2020-04-30,19.0,53.0,3.0,9.267897821134818,25.852557080007653,1.4633522875476028
61,2020-05-01,17.0,55.0,3.0,8.292329629436416,26.828125271706053,1.4633522875476028
62,2020-05-02,16.0,57.0,3.0,7.804545533587215,27.803693463404453,1.4633522875476028
63,2020-05-03,16.0,57.0,3.0,7.804545533587215,27.803693463404453,1.4633522875476028
64,2020-05-04,8.0,65.0,3.0,3.9022727667936077,31.70596623019806,1.4633522875476028
65,2020-05-05,11.0,65.0,3.0,5.36562505434121,31.70596623019806,1.4633522875476028
66,2020-05-06,10.0,66.0,3.0,4.877840958492009,32.19375032604726,1.4633522875476028
67,2020-05-07,8.0,68.0,3.0,3.9022727667936077,33.169318517745666,1.4633522875476028
68,2020-05-08,8.0,68.0,3.0,3.9022727667936077,33.169318517745666,1.4633522875476028
69,2020-05-09,8.0,68.0,3.0,3.9022727667936077,33.169318517745666,1.4633522875476028
70,2020-05-10,6.0,70.0,3.0,2.9267045750952057,34.144886709444066,1.4633522875476028
71,2020-05-11,3.0,73.0,3.0,1.4633522875476028,35.608238996991666,1.4633522875476028
72,2020-05-12,3.0,73.0,3.0,1.4633522875476028,35.608238996991666,1.4633522875476028
73,2020-05-13,3.0,73.0,3.0,1.4633522875476028,35.608238996991666,1.4633522875476028
74,2020-05-14,3.0,73.0,3.0,1.4633522875476028,35.608238996991666,1.4633522875476028
75,2020-05-15,3.0,73.0,3.0,1.4633522875476028,35.608238996991666,1.4633522875476028
76,2020-05-16,3.0,73.0,3.0,1.4633522875476028,35.608238996991666,1.4633522875476028
77,2020-05-17,1.0,75.0,3.0,0.48778409584920096,36.583807188690066,1.4633522875476028
78,2020-05-18,1.0,75.0,3.0,0.48778409584920096,36.583807188690066,1.4633522875476028
79,2020-05-19,1.0,75.0,3.0,0.48778409584920096,36.583807188690066,1.4633522875476028
80,2020-05-20,2.0,75.0,3.0,0.9755681916984019,36.583807188690066,1.4633522875476028
81,2020-05-21,0.0,77.0,3.0,0.0,37.559375380388474,1.4633522875476028
82,2020-05-22,0.0,77.0,3.0,0.0,37.559375380388474,1.4633522875476028
83,2020-05-23,0.0,77.0,3.0,0.0,37.559375380388474,1.4633522875476028
84,2020-05-24,0.0,77.0,3.0,0.0,37.559375380388474,1.4633522875476028
85,2020-05-25,0.0,77.0,3.0,0.0,37.559375380388474,1.4633522875476028
86,2020-05-26,0.0,77.0,3.0,0.0,37.559375380388474,1.4633522875476028
87,2020-05-27,1.0,77.0,3.0,0.48778409584920096,37.559375380388474,1.4633522875476028
88,2020-05-28,0.0,78.0,3.0,0.0,38.047159476237674,1.4633522875476028
89,2020-05-29,0.0,78.0,3.0,0.0,38.047159476237674,1.4633522875476028
90,2020-05-30,0.0,78.0,3.0,0.0,38.047159476237674,1.4633522875476028
91,2020-05-31,0.0,78.0,3.0,0.0,38.047159476237674,1.4633522875476028
92,2020-06-01,0.0,78.0,3.0,0.0,38.047159476237674,1.4633522875476028
93,2020-06-02,0.0,78.0,3.0,0.0,38.047159476237674,1.4633522875476028
94,2020-06-03,0.0,78.0,3.0,0.0,38.047159476237674,1.4633522875476028
95,2020-06-04,-1.0,80.0,3.0,-0.48778409584920096,39.022727667936074,1.4633522875476028
96,2020-06-05,0.0,80.0,3.0,0.0,39.022727667936074,1.4633522875476028
97,2020-06-06,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
98,2020-06-07,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
99,2020-06-08,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
100,2020-06-09,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
101,2020-06-10,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
102,2020-06-11,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
103,2020-06-12,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
104,2020-06-13,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
105,2020-06-14,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
106,2020-06-15,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
107,2020-06-16,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
108,2020-06-17,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
109,2020-06-18,1.0,80.0,3.0,0.48778409584920096,39.022727667936074,1.4633522875476028
110,2020-06-19,0.0,81.0,3.0,0.0,39.510511763785274,1.4633522875476028
111,2020-06-20,0.0,81.0,3.0,0.0,39.510511763785274,1.4633522875476028
112,2020-06-21,0.0,81.0,3.0,0.0,39.510511763785274,1.4633522875476028
113,2020-06-22,0.0,81.0,3.0,0.0,39.510511763785274,1.4633522875476028
114,2020-06-23,1.0,81.0,3.0,0.48778409584920096,39.510511763785274,1.4633522875476028
115,2020-06-24,1.0,81.0,3.0,0.48778409584920096,39.510511763785274,1.4633522875476028
116,2020-06-25,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
117,2020-06-26,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
118,2020-06-27,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
119,2020-06-28,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
120,2020-06-29,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
121,2020-06-30,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
122,2020-07-01,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
123,2020-07-02,0.0,82.0,3.0,0.0,39.998295859634474,1.4633522875476028
