,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,3.0,0.0,0.0,1.52672351233672,0.0,0.0
12,2020-03-13,3.0,0.0,0.0,1.52672351233672,0.0,0.0
13,2020-03-14,3.0,0.0,0.0,1.52672351233672,0.0,0.0
14,2020-03-15,3.0,0.0,0.0,1.52672351233672,0.0,0.0
15,2020-03-16,3.0,0.0,0.0,1.52672351233672,0.0,0.0
16,2020-03-17,3.0,0.0,0.0,1.52672351233672,0.0,0.0
17,2020-03-18,3.0,0.0,0.0,1.52672351233672,0.0,0.0
18,2020-03-19,3.0,0.0,0.0,1.52672351233672,0.0,0.0
19,2020-03-20,3.0,0.0,0.0,1.52672351233672,0.0,0.0
20,2020-03-21,3.0,0.0,0.0,1.52672351233672,0.0,0.0
21,2020-03-22,3.0,0.0,0.0,1.52672351233672,0.0,0.0
22,2020-03-23,3.0,0.0,0.0,1.52672351233672,0.0,0.0
23,2020-03-24,10.0,0.0,0.0,5.089078374455733,0.0,0.0
24,2020-03-25,12.0,0.0,0.0,6.10689404934688,0.0,0.0
25,2020-03-26,16.0,0.0,0.0,8.142525399129172,0.0,0.0
26,2020-03-27,25.0,0.0,0.0,12.722695936139333,0.0,0.0
27,2020-03-28,36.0,1.0,0.0,18.32068214804064,0.5089078374455732,0.0
28,2020-03-29,38.0,1.0,0.0,19.338497822931785,0.5089078374455732,0.0
29,2020-03-30,43.0,1.0,0.0,21.88303701015965,0.5089078374455732,0.0
30,2020-03-31,44.0,1.0,0.0,22.391944847605224,0.5089078374455732,0.0
31,2020-04-01,46.0,1.0,0.0,23.40976052249637,0.5089078374455732,0.0
32,2020-04-02,47.0,1.0,0.0,23.918668359941943,0.5089078374455732,0.0
33,2020-04-03,49.0,1.0,0.0,24.93648403483309,0.5089078374455732,0.0
34,2020-04-04,53.0,1.0,0.0,26.972115384615385,0.5089078374455732,0.0
35,2020-04-05,54.0,2.0,0.0,27.481023222060962,1.0178156748911464,0.0
36,2020-04-06,54.0,2.0,0.0,27.481023222060962,1.0178156748911464,0.0
37,2020-04-07,56.0,2.0,0.0,28.498838896952105,1.0178156748911464,0.0
38,2020-04-08,56.0,3.0,0.0,28.498838896952105,1.52672351233672,0.0
39,2020-04-09,56.0,6.0,0.0,28.498838896952105,3.05344702467344,0.0
40,2020-04-10,58.0,6.0,0.0,29.516654571843254,3.05344702467344,0.0
41,2020-04-11,57.0,7.0,0.0,29.007746734397678,3.562354862119013,0.0
42,2020-04-12,57.0,7.0,0.0,29.007746734397678,3.562354862119013,0.0
43,2020-04-13,57.0,7.0,0.0,29.007746734397678,3.562354862119013,0.0
44,2020-04-14,55.0,9.0,0.0,27.989931059506528,4.58017053701016,0.0
45,2020-04-15,53.0,11.0,0.0,26.972115384615385,5.597986211901306,0.0
46,2020-04-16,42.0,22.0,0.0,21.374129172714078,11.195972423802612,0.0
47,2020-04-17,26.0,38.0,0.0,13.231603773584906,19.338497822931785,0.0
48,2020-04-18,24.0,40.0,0.0,12.21378809869376,20.35631349782293,0.0
49,2020-04-19,23.0,41.0,0.0,11.704880261248185,20.865221335268505,0.0
50,2020-04-20,19.0,45.0,0.0,9.669248911465893,22.900852685050797,0.0
51,2020-04-21,19.0,45.0,0.0,9.669248911465893,22.900852685050797,0.0
52,2020-04-22,17.0,47.0,0.0,8.651433236574746,23.918668359941943,0.0
53,2020-04-23,16.0,48.0,0.0,8.142525399129172,24.42757619738752,0.0
54,2020-04-24,11.0,53.0,0.0,5.597986211901306,26.972115384615385,0.0
55,2020-04-25,9.0,55.0,0.0,4.58017053701016,27.989931059506528,0.0
56,2020-04-26,9.0,55.0,0.0,4.58017053701016,27.989931059506528,0.0
57,2020-04-27,9.0,55.0,0.0,4.58017053701016,27.989931059506528,0.0
58,2020-04-28,9.0,56.0,0.0,4.58017053701016,28.498838896952105,0.0
59,2020-04-29,8.0,57.0,0.0,4.071262699564586,29.007746734397678,0.0
60,2020-04-30,7.0,58.0,0.0,3.562354862119013,29.516654571843254,0.0
61,2020-05-01,7.0,58.0,0.0,3.562354862119013,29.516654571843254,0.0
62,2020-05-02,6.0,59.0,0.0,3.05344702467344,30.02556240928882,0.0
63,2020-05-03,6.0,59.0,0.0,3.05344702467344,30.02556240928882,0.0
64,2020-05-04,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
65,2020-05-05,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
66,2020-05-06,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
67,2020-05-07,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
68,2020-05-08,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
69,2020-05-09,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
70,2020-05-10,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
71,2020-05-11,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
72,2020-05-12,5.0,61.0,0.0,2.5445391872278664,31.04337808417997,0.0
73,2020-05-13,3.0,63.0,0.0,1.52672351233672,32.06119375907112,0.0
74,2020-05-14,3.0,63.0,0.0,1.52672351233672,32.06119375907112,0.0
75,2020-05-15,3.0,63.0,0.0,1.52672351233672,32.06119375907112,0.0
76,2020-05-16,3.0,63.0,0.0,1.52672351233672,32.06119375907112,0.0
77,2020-05-17,3.0,63.0,0.0,1.52672351233672,32.06119375907112,0.0
78,2020-05-18,3.0,63.0,0.0,1.52672351233672,32.06119375907112,0.0
79,2020-05-19,3.0,63.0,0.0,1.52672351233672,32.06119375907112,0.0
80,2020-05-20,4.0,63.0,0.0,2.035631349782293,32.06119375907112,0.0
81,2020-05-21,4.0,63.0,0.0,2.035631349782293,32.06119375907112,0.0
82,2020-05-22,4.0,63.0,0.0,2.035631349782293,32.06119375907112,0.0
83,2020-05-23,4.0,63.0,0.0,2.035631349782293,32.06119375907112,0.0
84,2020-05-24,4.0,63.0,0.0,2.035631349782293,32.06119375907112,0.0
85,2020-05-25,3.0,64.0,0.0,1.52672351233672,32.570101596516686,0.0
86,2020-05-26,3.0,64.0,0.0,1.52672351233672,32.570101596516686,0.0
87,2020-05-27,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
88,2020-05-28,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
89,2020-05-29,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
90,2020-05-30,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
91,2020-05-31,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
92,2020-06-01,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
93,2020-06-02,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
94,2020-06-03,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
95,2020-06-04,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
96,2020-06-05,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
97,2020-06-06,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
98,2020-06-07,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
99,2020-06-08,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
100,2020-06-09,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
101,2020-06-10,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
102,2020-06-11,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
103,2020-06-12,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
104,2020-06-13,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
105,2020-06-14,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
106,2020-06-15,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
107,2020-06-16,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
108,2020-06-17,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
109,2020-06-18,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
110,2020-06-19,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
111,2020-06-20,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
112,2020-06-21,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
113,2020-06-22,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
114,2020-06-23,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
115,2020-06-24,2.0,65.0,0.0,1.0178156748911464,33.07900943396226,0.0
116,2020-06-25,3.0,65.0,0.0,1.52672351233672,33.07900943396226,0.0
117,2020-06-26,3.0,65.0,0.0,1.52672351233672,33.07900943396226,0.0
118,2020-06-27,3.0,65.0,0.0,1.52672351233672,33.07900943396226,0.0
119,2020-06-28,3.0,65.0,0.0,1.52672351233672,33.07900943396226,0.0
120,2020-06-29,3.0,65.0,0.0,1.52672351233672,33.07900943396226,0.0
121,2020-06-30,4.0,65.0,0.0,2.035631349782293,33.07900943396226,0.0
122,2020-07-01,4.0,65.0,0.0,2.035631349782293,33.07900943396226,0.0
123,2020-07-02,4.0,65.0,0.0,2.035631349782293,33.07900943396226,0.0
124,2020-07-03,5.0,65.0,0.0,2.5445391872278664,33.07900943396226,0.0
125,2020-07-04,5.0,65.0,0.0,2.5445391872278664,33.07900943396226,0.0
126,2020-07-05,5.0,65.0,0.0,2.5445391872278664,33.07900943396226,0.0
127,2020-07-06,5.0,65.0,0.0,2.5445391872278664,33.07900943396226,0.0
128,2020-07-07,5.0,65.0,0.0,2.5445391872278664,33.07900943396226,0.0
129,2020-07-08,5.0,66.0,0.0,2.5445391872278664,33.58791727140784,0.0
130,2020-07-09,4.0,67.0,0.0,2.035631349782293,34.09682510885341,0.0
131,2020-07-10,4.0,67.0,0.0,2.035631349782293,34.09682510885341,0.0
132,2020-07-11,4.0,67.0,0.0,2.035631349782293,34.09682510885341,0.0
