,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
13,2020-03-14,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
15,2020-03-16,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
16,2020-03-17,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
17,2020-03-18,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
18,2020-03-19,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
19,2020-03-20,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
20,2020-03-21,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
21,2020-03-22,1.0,0.0,0.0,0.43180296324802775,0.0,0.0
22,2020-03-23,2.0,0.0,0.0,0.8636059264960555,0.0,0.0
23,2020-03-24,3.0,0.0,0.0,1.295408889744083,0.0,0.0
24,2020-03-25,5.0,0.0,0.0,2.1590148162401386,0.0,0.0
25,2020-03-26,6.0,0.0,0.0,2.590817779488166,0.0,0.0
26,2020-03-27,7.0,0.0,0.0,3.022620742736194,0.0,0.0
27,2020-03-28,10.0,0.0,0.0,4.318029632480277,0.0,0.0
28,2020-03-29,11.0,0.0,0.0,4.749832595728305,0.0,0.0
29,2020-03-30,11.0,0.0,0.0,4.749832595728305,0.0,0.0
30,2020-03-31,11.0,0.0,0.0,4.749832595728305,0.0,0.0
31,2020-04-01,11.0,0.0,0.0,4.749832595728305,0.0,0.0
32,2020-04-02,11.0,0.0,0.0,4.749832595728305,0.0,0.0
33,2020-04-03,11.0,1.0,0.0,4.749832595728305,0.43180296324802775,0.0
34,2020-04-04,11.0,1.0,0.0,4.749832595728305,0.43180296324802775,0.0
35,2020-04-05,11.0,1.0,0.0,4.749832595728305,0.43180296324802775,0.0
36,2020-04-06,13.0,1.0,0.0,5.61343852222436,0.43180296324802775,0.0
37,2020-04-07,16.0,1.0,0.0,6.908847411968444,0.43180296324802775,0.0
38,2020-04-08,19.0,1.0,0.0,8.204256301712526,0.43180296324802775,0.0
39,2020-04-09,19.0,3.0,0.0,8.204256301712526,1.295408889744083,0.0
40,2020-04-10,20.0,3.0,0.0,8.636059264960554,1.295408889744083,0.0
41,2020-04-11,27.0,4.0,0.0,11.658680007696749,1.727211852992111,0.0
42,2020-04-12,27.0,4.0,0.0,11.658680007696749,1.727211852992111,0.0
43,2020-04-13,27.0,4.0,0.0,11.658680007696749,1.727211852992111,0.0
44,2020-04-14,27.0,4.0,0.0,11.658680007696749,1.727211852992111,0.0
45,2020-04-15,31.0,4.0,0.0,13.385891860688858,1.727211852992111,0.0
46,2020-04-16,32.0,5.0,0.0,13.817694823936888,2.1590148162401386,0.0
47,2020-04-17,31.0,6.0,0.0,13.385891860688858,2.590817779488166,0.0
48,2020-04-18,32.0,6.0,0.0,13.817694823936888,2.590817779488166,0.0
49,2020-04-19,31.0,7.0,0.0,13.385891860688858,3.022620742736194,0.0
50,2020-04-20,32.0,10.0,0.0,13.817694823936888,4.318029632480277,0.0
51,2020-04-21,32.0,12.0,0.0,13.817694823936888,5.181635558976332,0.0
52,2020-04-22,33.0,13.0,0.0,14.249497787184913,5.61343852222436,0.0
53,2020-04-23,33.0,14.0,0.0,14.249497787184913,6.045241485472388,0.0
54,2020-04-24,29.0,19.0,0.0,12.522285934192805,8.204256301712526,0.0
55,2020-04-25,30.0,19.0,0.0,12.954088897440831,8.204256301712526,0.0
56,2020-04-26,31.0,19.0,0.0,13.385891860688858,8.204256301712526,0.0
57,2020-04-27,31.0,19.0,0.0,13.385891860688858,8.204256301712526,0.0
58,2020-04-28,30.0,20.0,0.0,12.954088897440831,8.636059264960554,0.0
59,2020-04-29,27.0,23.0,0.0,11.658680007696749,9.931468154704637,0.0
60,2020-04-30,24.0,25.0,1.0,10.363271117952664,10.795074081200692,0.43180296324802775
61,2020-05-01,24.0,26.0,1.0,10.363271117952664,11.22687704444872,0.43180296324802775
62,2020-05-02,23.0,27.0,1.0,9.931468154704637,11.658680007696749,0.43180296324802775
63,2020-05-03,22.0,28.0,1.0,9.49966519145661,12.090482970944777,0.43180296324802775
64,2020-05-04,19.0,31.0,1.0,8.204256301712526,13.385891860688858,0.43180296324802775
65,2020-05-05,18.0,33.0,1.0,7.772453338464499,14.249497787184913,0.43180296324802775
66,2020-05-06,15.0,36.0,1.0,6.477044448720416,15.544906676928997,0.43180296324802775
67,2020-05-07,12.0,39.0,1.0,5.181635558976332,16.84031556667308,0.43180296324802775
68,2020-05-08,12.0,39.0,1.0,5.181635558976332,16.84031556667308,0.43180296324802775
69,2020-05-09,11.0,40.0,1.0,4.749832595728305,17.27211852992111,0.43180296324802775
70,2020-05-10,10.0,41.0,1.0,4.318029632480277,17.703921493169137,0.43180296324802775
71,2020-05-11,10.0,41.0,1.0,4.318029632480277,17.703921493169137,0.43180296324802775
72,2020-05-12,10.0,41.0,1.0,4.318029632480277,17.703921493169137,0.43180296324802775
73,2020-05-13,7.0,44.0,1.0,3.022620742736194,18.99933038291322,0.43180296324802775
74,2020-05-14,6.0,45.0,1.0,2.590817779488166,19.43113334616125,0.43180296324802775
75,2020-05-15,4.0,47.0,1.0,1.727211852992111,20.2947392726573,0.43180296324802775
76,2020-05-16,4.0,47.0,1.0,1.727211852992111,20.2947392726573,0.43180296324802775
77,2020-05-17,4.0,47.0,1.0,1.727211852992111,20.2947392726573,0.43180296324802775
78,2020-05-18,4.0,47.0,1.0,1.727211852992111,20.2947392726573,0.43180296324802775
79,2020-05-19,2.0,49.0,1.0,0.8636059264960555,21.158345199153356,0.43180296324802775
80,2020-05-20,2.0,49.0,1.0,0.8636059264960555,21.158345199153356,0.43180296324802775
81,2020-05-21,2.0,49.0,1.0,0.8636059264960555,21.158345199153356,0.43180296324802775
82,2020-05-22,2.0,49.0,1.0,0.8636059264960555,21.158345199153356,0.43180296324802775
83,2020-05-23,3.0,49.0,1.0,1.295408889744083,21.158345199153356,0.43180296324802775
84,2020-05-24,3.0,49.0,1.0,1.295408889744083,21.158345199153356,0.43180296324802775
85,2020-05-25,2.0,50.0,1.0,0.8636059264960555,21.590148162401384,0.43180296324802775
86,2020-05-26,2.0,50.0,1.0,0.8636059264960555,21.590148162401384,0.43180296324802775
87,2020-05-27,2.0,50.0,1.0,0.8636059264960555,21.590148162401384,0.43180296324802775
88,2020-05-28,2.0,50.0,1.0,0.8636059264960555,21.590148162401384,0.43180296324802775
89,2020-05-29,1.0,51.0,1.0,0.43180296324802775,22.021951125649412,0.43180296324802775
90,2020-05-30,1.0,51.0,1.0,0.43180296324802775,22.021951125649412,0.43180296324802775
91,2020-05-31,1.0,51.0,1.0,0.43180296324802775,22.021951125649412,0.43180296324802775
92,2020-06-01,1.0,51.0,1.0,0.43180296324802775,22.021951125649412,0.43180296324802775
93,2020-06-02,1.0,51.0,1.0,0.43180296324802775,22.021951125649412,0.43180296324802775
94,2020-06-03,1.0,51.0,1.0,0.43180296324802775,22.021951125649412,0.43180296324802775
95,2020-06-04,2.0,51.0,1.0,0.8636059264960555,22.021951125649412,0.43180296324802775
96,2020-06-05,2.0,51.0,1.0,0.8636059264960555,22.021951125649412,0.43180296324802775
97,2020-06-06,2.0,51.0,1.0,0.8636059264960555,22.021951125649412,0.43180296324802775
98,2020-06-07,2.0,51.0,1.0,0.8636059264960555,22.021951125649412,0.43180296324802775
99,2020-06-08,2.0,51.0,1.0,0.8636059264960555,22.021951125649412,0.43180296324802775
100,2020-06-09,1.0,52.0,1.0,0.43180296324802775,22.45375408889744,0.43180296324802775
101,2020-06-10,1.0,52.0,1.0,0.43180296324802775,22.45375408889744,0.43180296324802775
102,2020-06-11,1.0,52.0,1.0,0.43180296324802775,22.45375408889744,0.43180296324802775
103,2020-06-12,1.0,52.0,1.0,0.43180296324802775,22.45375408889744,0.43180296324802775
104,2020-06-13,1.0,52.0,1.0,0.43180296324802775,22.45375408889744,0.43180296324802775
105,2020-06-14,1.0,52.0,1.0,0.43180296324802775,22.45375408889744,0.43180296324802775
106,2020-06-15,1.0,52.0,1.0,0.43180296324802775,22.45375408889744,0.43180296324802775
107,2020-06-16,0.0,53.0,1.0,0.0,22.88555705214547,0.43180296324802775
108,2020-06-17,0.0,53.0,1.0,0.0,22.88555705214547,0.43180296324802775
109,2020-06-18,0.0,53.0,1.0,0.0,22.88555705214547,0.43180296324802775
110,2020-06-19,5.0,53.0,1.0,2.1590148162401386,22.88555705214547,0.43180296324802775
111,2020-06-20,5.0,53.0,1.0,2.1590148162401386,22.88555705214547,0.43180296324802775
112,2020-06-21,7.0,53.0,1.0,3.022620742736194,22.88555705214547,0.43180296324802775
113,2020-06-22,7.0,53.0,1.0,3.022620742736194,22.88555705214547,0.43180296324802775
114,2020-06-23,16.0,53.0,1.0,6.908847411968444,22.88555705214547,0.43180296324802775
115,2020-06-24,20.0,53.0,1.0,8.636059264960554,22.88555705214547,0.43180296324802775
116,2020-06-25,20.0,53.0,1.0,8.636059264960554,22.88555705214547,0.43180296324802775
117,2020-06-26,24.0,54.0,1.0,10.363271117952664,23.317360015393497,0.43180296324802775
118,2020-06-27,27.0,54.0,1.0,11.658680007696749,23.317360015393497,0.43180296324802775
119,2020-06-28,29.0,54.0,1.0,12.522285934192805,23.317360015393497,0.43180296324802775
120,2020-06-29,29.0,54.0,1.0,12.522285934192805,23.317360015393497,0.43180296324802775
121,2020-06-30,29.0,54.0,1.0,12.522285934192805,23.317360015393497,0.43180296324802775
122,2020-07-01,32.0,54.0,1.0,13.817694823936888,23.317360015393497,0.43180296324802775
123,2020-07-02,32.0,54.0,1.0,13.817694823936888,23.317360015393497,0.43180296324802775
124,2020-07-03,32.0,54.0,1.0,13.817694823936888,23.317360015393497,0.43180296324802775
125,2020-07-04,32.0,54.0,1.0,13.817694823936888,23.317360015393497,0.43180296324802775
