,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,1.0,0.0,0.0,1.0096643570593,0.0,0.0
18,2020-03-19,1.0,0.0,0.0,1.0096643570593,0.0,0.0
19,2020-03-20,2.0,0.0,0.0,2.0193287141186,0.0,0.0
20,2020-03-21,2.0,0.0,0.0,2.0193287141186,0.0,0.0
21,2020-03-22,3.0,0.0,0.0,3.0289930711778994,0.0,0.0
22,2020-03-23,3.0,0.0,0.0,3.0289930711778994,0.0,0.0
23,2020-03-24,3.0,0.0,0.0,3.0289930711778994,0.0,0.0
24,2020-03-25,3.0,0.0,0.0,3.0289930711778994,0.0,0.0
25,2020-03-26,4.0,0.0,0.0,4.0386574282372,0.0,0.0
26,2020-03-27,4.0,0.0,0.0,4.0386574282372,0.0,0.0
27,2020-03-28,7.0,0.0,0.0,7.067650499415099,0.0,0.0
28,2020-03-29,7.0,0.0,0.0,7.067650499415099,0.0,0.0
29,2020-03-30,7.0,0.0,0.0,7.067650499415099,0.0,0.0
30,2020-03-31,7.0,0.0,0.0,7.067650499415099,0.0,0.0
31,2020-04-01,8.0,0.0,0.0,8.0773148564744,0.0,0.0
32,2020-04-02,8.0,0.0,0.0,8.0773148564744,0.0,0.0
33,2020-04-03,8.0,0.0,0.0,8.0773148564744,0.0,0.0
34,2020-04-04,9.0,0.0,0.0,9.086979213533699,0.0,0.0
35,2020-04-05,9.0,0.0,0.0,9.086979213533699,0.0,0.0
36,2020-04-06,9.0,0.0,0.0,9.086979213533699,0.0,0.0
37,2020-04-07,8.0,1.0,0.0,8.0773148564744,1.0096643570593,0.0
38,2020-04-08,8.0,1.0,0.0,8.0773148564744,1.0096643570593,0.0
39,2020-04-09,8.0,2.0,0.0,8.0773148564744,2.0193287141186,0.0
40,2020-04-10,8.0,2.0,0.0,8.0773148564744,2.0193287141186,0.0
41,2020-04-11,8.0,2.0,0.0,8.0773148564744,2.0193287141186,0.0
42,2020-04-12,8.0,2.0,0.0,8.0773148564744,2.0193287141186,0.0
43,2020-04-13,8.0,2.0,0.0,8.0773148564744,2.0193287141186,0.0
44,2020-04-14,8.0,2.0,0.0,8.0773148564744,2.0193287141186,0.0
45,2020-04-15,8.0,2.0,0.0,8.0773148564744,2.0193287141186,0.0
46,2020-04-16,11.0,2.0,0.0,11.1063079276523,2.0193287141186,0.0
47,2020-04-17,9.0,4.0,0.0,9.086979213533699,4.0386574282372,0.0
48,2020-04-18,9.0,4.0,0.0,9.086979213533699,4.0386574282372,0.0
49,2020-04-19,9.0,4.0,0.0,9.086979213533699,4.0386574282372,0.0
50,2020-04-20,6.0,7.0,0.0,6.057986142355799,7.067650499415099,0.0
51,2020-04-21,6.0,7.0,0.0,6.057986142355799,7.067650499415099,0.0
52,2020-04-22,6.0,7.0,0.0,6.057986142355799,7.067650499415099,0.0
53,2020-04-23,5.0,8.0,0.0,5.048321785296499,8.0773148564744,0.0
54,2020-04-24,5.0,8.0,0.0,5.048321785296499,8.0773148564744,0.0
55,2020-04-25,4.0,9.0,0.0,4.0386574282372,9.086979213533699,0.0
56,2020-04-26,4.0,9.0,0.0,4.0386574282372,9.086979213533699,0.0
57,2020-04-27,4.0,9.0,0.0,4.0386574282372,9.086979213533699,0.0
58,2020-04-28,4.0,9.0,0.0,4.0386574282372,9.086979213533699,0.0
59,2020-04-29,4.0,9.0,0.0,4.0386574282372,9.086979213533699,0.0
60,2020-04-30,4.0,9.0,0.0,4.0386574282372,9.086979213533699,0.0
61,2020-05-01,4.0,9.0,0.0,4.0386574282372,9.086979213533699,0.0
62,2020-05-02,3.0,10.0,0.0,3.0289930711778994,10.096643570592999,0.0
63,2020-05-03,3.0,10.0,0.0,3.0289930711778994,10.096643570592999,0.0
64,2020-05-04,3.0,10.0,0.0,3.0289930711778994,10.096643570592999,0.0
65,2020-05-05,2.0,11.0,0.0,2.0193287141186,11.1063079276523,0.0
66,2020-05-06,0.0,13.0,0.0,0.0,13.1256366417709,0.0
67,2020-05-07,0.0,13.0,0.0,0.0,13.1256366417709,0.0
68,2020-05-08,0.0,13.0,0.0,0.0,13.1256366417709,0.0
69,2020-05-09,0.0,13.0,0.0,0.0,13.1256366417709,0.0
70,2020-05-10,0.0,13.0,0.0,0.0,13.1256366417709,0.0
71,2020-05-11,0.0,13.0,0.0,0.0,13.1256366417709,0.0
72,2020-05-12,0.0,13.0,0.0,0.0,13.1256366417709,0.0
73,2020-05-13,0.0,13.0,0.0,0.0,13.1256366417709,0.0
74,2020-05-14,0.0,13.0,0.0,0.0,13.1256366417709,0.0
75,2020-05-15,0.0,13.0,0.0,0.0,13.1256366417709,0.0
76,2020-05-16,0.0,13.0,0.0,0.0,13.1256366417709,0.0
77,2020-05-17,0.0,13.0,0.0,0.0,13.1256366417709,0.0
78,2020-05-18,0.0,13.0,0.0,0.0,13.1256366417709,0.0
79,2020-05-19,0.0,13.0,0.0,0.0,13.1256366417709,0.0
80,2020-05-20,0.0,13.0,0.0,0.0,13.1256366417709,0.0
81,2020-05-21,0.0,13.0,0.0,0.0,13.1256366417709,0.0
82,2020-05-22,0.0,13.0,0.0,0.0,13.1256366417709,0.0
83,2020-05-23,0.0,13.0,0.0,0.0,13.1256366417709,0.0
84,2020-05-24,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
85,2020-05-25,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
86,2020-05-26,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
87,2020-05-27,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
88,2020-05-28,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
89,2020-05-29,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
90,2020-05-30,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
91,2020-05-31,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
92,2020-06-01,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
93,2020-06-02,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
94,2020-06-03,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
95,2020-06-04,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
96,2020-06-05,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
97,2020-06-06,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
98,2020-06-07,1.0,13.0,0.0,1.0096643570593,13.1256366417709,0.0
99,2020-06-08,2.0,13.0,0.0,2.0193287141186,13.1256366417709,0.0
100,2020-06-09,2.0,13.0,0.0,2.0193287141186,13.1256366417709,0.0
101,2020-06-10,2.0,13.0,0.0,2.0193287141186,13.1256366417709,0.0
102,2020-06-11,2.0,13.0,0.0,2.0193287141186,13.1256366417709,0.0
103,2020-06-12,3.0,13.0,0.0,3.0289930711778994,13.1256366417709,0.0
104,2020-06-13,4.0,13.0,0.0,4.0386574282372,13.1256366417709,0.0
105,2020-06-14,7.0,13.0,0.0,7.067650499415099,13.1256366417709,0.0
106,2020-06-15,7.0,13.0,0.0,7.067650499415099,13.1256366417709,0.0
107,2020-06-16,7.0,13.0,0.0,7.067650499415099,13.1256366417709,0.0
108,2020-06-17,7.0,13.0,0.0,7.067650499415099,13.1256366417709,0.0
109,2020-06-18,7.0,13.0,0.0,7.067650499415099,13.1256366417709,0.0
110,2020-06-19,6.0,14.0,0.0,6.057986142355799,14.135300998830198,0.0
111,2020-06-20,6.0,14.0,0.0,6.057986142355799,14.135300998830198,0.0
112,2020-06-21,7.0,14.0,0.0,7.067650499415099,14.135300998830198,0.0
113,2020-06-22,6.0,15.0,0.0,6.057986142355799,15.144965355889498,0.0
114,2020-06-23,6.0,15.0,0.0,6.057986142355799,15.144965355889498,0.0
115,2020-06-24,6.0,15.0,0.0,6.057986142355799,15.144965355889498,0.0
116,2020-06-25,5.0,16.0,0.0,5.048321785296499,16.1546297129488,0.0
117,2020-06-26,5.0,16.0,0.0,5.048321785296499,16.1546297129488,0.0
118,2020-06-27,5.0,16.0,0.0,5.048321785296499,16.1546297129488,0.0
119,2020-06-28,5.0,16.0,0.0,5.048321785296499,16.1546297129488,0.0
120,2020-06-29,4.0,17.0,0.0,4.0386574282372,17.164294070008097,0.0
121,2020-06-30,4.0,17.0,0.0,4.0386574282372,17.164294070008097,0.0
122,2020-07-01,4.0,17.0,0.0,4.0386574282372,17.164294070008097,0.0
123,2020-07-02,3.0,18.0,0.0,3.0289930711778994,18.173958427067397,0.0
124,2020-07-03,3.0,18.0,0.0,3.0289930711778994,18.173958427067397,0.0
125,2020-07-04,3.0,18.0,0.0,3.0289930711778994,18.173958427067397,0.0
126,2020-07-05,3.0,18.0,0.0,3.0289930711778994,18.173958427067397,0.0
127,2020-07-06,3.0,18.0,0.0,3.0289930711778994,18.173958427067397,0.0
128,2020-07-07,3.0,18.0,0.0,3.0289930711778994,18.173958427067397,0.0
129,2020-07-08,2.0,19.0,0.0,2.0193287141186,19.183622784126698,0.0
130,2020-07-09,2.0,19.0,0.0,2.0193287141186,19.183622784126698,0.0
131,2020-07-10,0.0,21.0,0.0,0.0,21.202951498245298,0.0
132,2020-07-11,0.0,21.0,0.0,0.0,21.202951498245298,0.0
133,2020-07-12,0.0,21.0,0.0,0.0,21.202951498245298,0.0
134,2020-07-13,0.0,21.0,0.0,0.0,21.202951498245298,0.0
135,2020-07-14,0.0,21.0,0.0,0.0,21.202951498245298,0.0
136,2020-07-15,0.0,21.0,0.0,0.0,21.202951498245298,0.0
137,2020-07-16,0.0,21.0,0.0,0.0,21.202951498245298,0.0
