,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-24,2.0,0.0,0.0,2.093866049601582,0.0,0.0
24,2020-03-25,2.0,0.0,0.0,2.093866049601582,0.0,0.0
25,2020-03-26,8.0,0.0,0.0,8.375464198406329,0.0,0.0
26,2020-03-27,10.0,0.0,0.0,10.469330248007912,0.0,0.0
27,2020-03-28,10.0,0.0,0.0,10.469330248007912,0.0,0.0
28,2020-03-29,10.0,0.0,0.0,10.469330248007912,0.0,0.0
29,2020-03-30,10.0,0.0,0.0,10.469330248007912,0.0,0.0
30,2020-03-31,12.0,0.0,0.0,12.563196297609494,0.0,0.0
31,2020-04-01,13.0,0.0,0.0,13.610129322410286,0.0,0.0
32,2020-04-02,13.0,0.0,0.0,13.610129322410286,0.0,0.0
33,2020-04-03,13.0,0.0,0.0,13.610129322410286,0.0,0.0
34,2020-04-04,13.0,0.0,0.0,13.610129322410286,0.0,0.0
35,2020-04-05,13.0,0.0,0.0,13.610129322410286,0.0,0.0
36,2020-04-06,19.0,0.0,0.0,19.89172747121503,0.0,0.0
37,2020-04-07,19.0,0.0,0.0,19.89172747121503,0.0,0.0
38,2020-04-08,22.0,0.0,0.0,23.032526545617408,0.0,0.0
39,2020-04-09,23.0,0.0,0.0,24.079459570418198,0.0,0.0
40,2020-04-10,27.0,0.0,0.0,28.26719166962136,0.0,0.0
41,2020-04-11,32.0,1.0,0.0,33.501856793625315,1.046933024800791,0.0
42,2020-04-12,29.0,4.0,0.0,30.36105771922294,4.187732099203164,0.0
43,2020-04-13,30.0,4.0,0.0,31.407990744023735,4.187732099203164,0.0
44,2020-04-14,29.0,5.0,0.0,30.36105771922294,5.234665124003956,0.0
45,2020-04-15,30.0,5.0,0.0,31.407990744023735,5.234665124003956,0.0
46,2020-04-16,31.0,5.0,0.0,32.45492376882453,5.234665124003956,0.0
47,2020-04-17,31.0,6.0,0.0,32.45492376882453,6.281598148804747,0.0
48,2020-04-18,31.0,6.0,0.0,32.45492376882453,6.281598148804747,0.0
49,2020-04-19,32.0,7.0,0.0,33.501856793625315,7.328531173605538,0.0
50,2020-04-20,32.0,7.0,0.0,33.501856793625315,7.328531173605538,0.0
51,2020-04-21,35.0,7.0,0.0,36.64265586802769,7.328531173605538,0.0
52,2020-04-22,31.0,11.0,0.0,32.45492376882453,11.516263272808704,0.0
53,2020-04-23,30.0,12.0,0.0,31.407990744023735,12.563196297609494,0.0
54,2020-04-24,27.0,15.0,0.0,28.26719166962136,15.703995372011867,0.0
55,2020-04-25,27.0,15.0,0.0,28.26719166962136,15.703995372011867,0.0
56,2020-04-26,27.0,15.0,0.0,28.26719166962136,15.703995372011867,0.0
57,2020-04-27,27.0,16.0,0.0,28.26719166962136,16.750928396812657,0.0
58,2020-04-28,21.0,22.0,0.0,21.985593520816614,23.032526545617408,0.0
59,2020-04-29,20.0,24.0,0.0,20.938660496015824,25.126392595218988,0.0
60,2020-04-30,20.0,24.0,0.0,20.938660496015824,25.126392595218988,0.0
61,2020-05-01,21.0,24.0,0.0,21.985593520816614,25.126392595218988,0.0
62,2020-05-02,21.0,24.0,0.0,21.985593520816614,25.126392595218988,0.0
63,2020-05-03,22.0,24.0,0.0,23.032526545617408,25.126392595218988,0.0
64,2020-05-04,22.0,24.0,0.0,23.032526545617408,25.126392595218988,0.0
65,2020-05-05,23.0,24.0,0.0,24.079459570418198,25.126392595218988,0.0
66,2020-05-06,23.0,25.0,0.0,24.079459570418198,26.17332562001978,0.0
67,2020-05-07,21.0,27.0,0.0,21.985593520816614,28.26719166962136,0.0
68,2020-05-08,24.0,27.0,0.0,25.126392595218988,28.26719166962136,0.0
69,2020-05-09,24.0,27.0,0.0,25.126392595218988,28.26719166962136,0.0
70,2020-05-10,24.0,27.0,0.0,25.126392595218988,28.26719166962136,0.0
71,2020-05-11,24.0,27.0,1.0,25.126392595218988,28.26719166962136,1.046933024800791
72,2020-05-12,20.0,31.0,1.0,20.938660496015824,32.45492376882453,1.046933024800791
73,2020-05-13,19.0,31.0,2.0,19.89172747121503,32.45492376882453,2.093866049601582
74,2020-05-14,17.0,33.0,2.0,17.79786142161345,34.54878981842611,2.093866049601582
75,2020-05-15,17.0,33.0,2.0,17.79786142161345,34.54878981842611,2.093866049601582
76,2020-05-16,14.0,36.0,2.0,14.657062347211076,37.68958889282848,2.093866049601582
77,2020-05-17,13.0,37.0,2.0,13.610129322410286,38.736521917629275,2.093866049601582
78,2020-05-18,13.0,37.0,2.0,13.610129322410286,38.736521917629275,2.093866049601582
79,2020-05-19,12.0,38.0,2.0,12.563196297609494,39.78345494243006,2.093866049601582
80,2020-05-20,11.0,39.0,2.0,11.516263272808704,40.830387967230855,2.093866049601582
81,2020-05-21,10.0,40.0,2.0,10.469330248007912,41.87732099203165,2.093866049601582
82,2020-05-22,6.0,44.0,2.0,6.281598148804747,46.065053091234816,2.093866049601582
83,2020-05-23,4.0,46.0,2.0,4.187732099203164,48.158919140836396,2.093866049601582
84,2020-05-24,3.0,47.0,2.0,3.1407990744023735,49.20585216563719,2.093866049601582
85,2020-05-25,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
86,2020-05-26,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
87,2020-05-27,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
88,2020-05-28,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
89,2020-05-29,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
90,2020-05-30,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
91,2020-05-31,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
92,2020-06-01,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
93,2020-06-02,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
94,2020-06-03,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
95,2020-06-04,1.0,49.0,2.0,1.046933024800791,51.29971821523877,2.093866049601582
96,2020-06-05,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
97,2020-06-06,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
98,2020-06-07,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
99,2020-06-08,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
100,2020-06-09,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
101,2020-06-10,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
102,2020-06-11,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
103,2020-06-12,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
104,2020-06-13,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
105,2020-06-14,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
106,2020-06-15,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
107,2020-06-16,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
108,2020-06-17,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
109,2020-06-18,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
110,2020-06-19,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
111,2020-06-20,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
112,2020-06-21,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
113,2020-06-22,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
114,2020-06-23,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
115,2020-06-24,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
116,2020-06-25,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
117,2020-06-26,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
118,2020-06-27,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
119,2020-06-28,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
120,2020-06-29,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
121,2020-06-30,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
122,2020-07-01,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
123,2020-07-02,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
124,2020-07-03,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
125,2020-07-04,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
126,2020-07-05,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
127,2020-07-06,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
128,2020-07-07,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
129,2020-07-08,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
130,2020-07-09,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
131,2020-07-10,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
132,2020-07-11,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
133,2020-07-12,0.0,50.0,2.0,0.0,52.34665124003956,2.093866049601582
