,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,2.0,0.0,0.0,0.9489512855209744,0.0,0.0
18,2020-03-19,2.0,0.0,0.0,0.9489512855209744,0.0,0.0
19,2020-03-20,2.0,0.0,0.0,0.9489512855209744,0.0,0.0
20,2020-03-21,2.0,0.0,0.0,0.9489512855209744,0.0,0.0
21,2020-03-22,2.0,0.0,0.0,0.9489512855209744,0.0,0.0
22,2020-03-23,2.0,0.0,0.0,0.9489512855209744,0.0,0.0
23,2020-03-24,4.0,0.0,0.0,1.8979025710419488,0.0,0.0
24,2020-03-25,6.0,0.0,0.0,2.8468538565629227,0.0,0.0
25,2020-03-26,6.0,0.0,0.0,2.8468538565629227,0.0,0.0
26,2020-03-27,7.0,0.0,0.0,3.3213294993234097,0.0,0.0
27,2020-03-28,8.0,0.0,0.0,3.7958051420838976,0.0,0.0
28,2020-03-29,8.0,0.0,0.0,3.7958051420838976,0.0,0.0
29,2020-03-30,8.0,0.0,0.0,3.7958051420838976,0.0,0.0
30,2020-03-31,11.0,0.0,0.0,5.219232070365358,0.0,0.0
31,2020-04-01,11.0,0.0,0.0,5.219232070365358,0.0,0.0
32,2020-04-02,11.0,0.0,1.0,5.219232070365358,0.0,0.4744756427604872
33,2020-04-03,11.0,0.0,1.0,5.219232070365358,0.0,0.4744756427604872
34,2020-04-04,12.0,0.0,1.0,5.693707713125845,0.0,0.4744756427604872
35,2020-04-05,12.0,0.0,1.0,5.693707713125845,0.0,0.4744756427604872
36,2020-04-06,16.0,0.0,1.0,7.591610284167795,0.0,0.4744756427604872
37,2020-04-07,17.0,0.0,1.0,8.066085926928281,0.0,0.4744756427604872
38,2020-04-08,16.0,1.0,1.0,7.591610284167795,0.4744756427604872,0.4744756427604872
39,2020-04-09,16.0,1.0,1.0,7.591610284167795,0.4744756427604872,0.4744756427604872
40,2020-04-10,16.0,1.0,1.0,7.591610284167795,0.4744756427604872,0.4744756427604872
41,2020-04-11,14.0,3.0,1.0,6.642658998646819,1.4234269282814613,0.4744756427604872
42,2020-04-12,14.0,3.0,1.0,6.642658998646819,1.4234269282814613,0.4744756427604872
43,2020-04-13,13.0,4.0,1.0,6.168183355886333,1.8979025710419488,0.4744756427604872
44,2020-04-14,14.0,4.0,1.0,6.642658998646819,1.8979025710419488,0.4744756427604872
45,2020-04-15,14.0,4.0,1.0,6.642658998646819,1.8979025710419488,0.4744756427604872
46,2020-04-16,12.0,6.0,1.0,5.693707713125845,2.8468538565629227,0.4744756427604872
47,2020-04-17,12.0,6.0,1.0,5.693707713125845,2.8468538565629227,0.4744756427604872
48,2020-04-18,12.0,6.0,1.0,5.693707713125845,2.8468538565629227,0.4744756427604872
49,2020-04-19,12.0,6.0,1.0,5.693707713125845,2.8468538565629227,0.4744756427604872
50,2020-04-20,12.0,6.0,1.0,5.693707713125845,2.8468538565629227,0.4744756427604872
51,2020-04-21,12.0,6.0,1.0,5.693707713125845,2.8468538565629227,0.4744756427604872
52,2020-04-22,6.0,12.0,1.0,2.8468538565629227,5.693707713125845,0.4744756427604872
53,2020-04-23,5.0,13.0,1.0,2.372378213802436,6.168183355886333,0.4744756427604872
54,2020-04-24,2.0,16.0,1.0,0.9489512855209744,7.591610284167795,0.4744756427604872
55,2020-04-25,2.0,16.0,1.0,0.9489512855209744,7.591610284167795,0.4744756427604872
56,2020-04-26,2.0,16.0,1.0,0.9489512855209744,7.591610284167795,0.4744756427604872
57,2020-04-27,2.0,16.0,1.0,0.9489512855209744,7.591610284167795,0.4744756427604872
58,2020-04-28,2.0,16.0,1.0,0.9489512855209744,7.591610284167795,0.4744756427604872
59,2020-04-29,1.0,17.0,1.0,0.4744756427604872,8.066085926928281,0.4744756427604872
60,2020-04-30,1.0,17.0,1.0,0.4744756427604872,8.066085926928281,0.4744756427604872
61,2020-05-01,1.0,17.0,1.0,0.4744756427604872,8.066085926928281,0.4744756427604872
62,2020-05-02,1.0,17.0,1.0,0.4744756427604872,8.066085926928281,0.4744756427604872
63,2020-05-03,1.0,17.0,1.0,0.4744756427604872,8.066085926928281,0.4744756427604872
64,2020-05-04,1.0,17.0,1.0,0.4744756427604872,8.066085926928281,0.4744756427604872
65,2020-05-05,2.0,17.0,1.0,0.9489512855209744,8.066085926928281,0.4744756427604872
66,2020-05-06,3.0,17.0,1.0,1.4234269282814613,8.066085926928281,0.4744756427604872
67,2020-05-07,3.0,18.0,1.0,1.4234269282814613,8.54056156968877,0.4744756427604872
68,2020-05-08,4.0,18.0,1.0,1.8979025710419488,8.54056156968877,0.4744756427604872
69,2020-05-09,4.0,18.0,1.0,1.8979025710419488,8.54056156968877,0.4744756427604872
70,2020-05-10,6.0,18.0,1.0,2.8468538565629227,8.54056156968877,0.4744756427604872
71,2020-05-11,7.0,18.0,1.0,3.3213294993234097,8.54056156968877,0.4744756427604872
72,2020-05-12,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
73,2020-05-13,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
74,2020-05-14,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
75,2020-05-15,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
76,2020-05-16,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
77,2020-05-17,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
78,2020-05-18,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
79,2020-05-19,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
80,2020-05-20,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
81,2020-05-21,8.0,18.0,1.0,3.7958051420838976,8.54056156968877,0.4744756427604872
82,2020-05-22,5.0,21.0,1.0,2.372378213802436,9.963988497970231,0.4744756427604872
83,2020-05-23,5.0,21.0,1.0,2.372378213802436,9.963988497970231,0.4744756427604872
84,2020-05-24,4.0,22.0,1.0,1.8979025710419488,10.438464140730716,0.4744756427604872
85,2020-05-25,4.0,22.0,1.0,1.8979025710419488,10.438464140730716,0.4744756427604872
86,2020-05-26,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
87,2020-05-27,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
88,2020-05-28,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
89,2020-05-29,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
90,2020-05-30,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
91,2020-05-31,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
92,2020-06-01,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
93,2020-06-02,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
94,2020-06-03,3.0,23.0,1.0,1.4234269282814613,10.912939783491204,0.4744756427604872
95,2020-06-04,1.0,25.0,1.0,0.4744756427604872,11.861891069012179,0.4744756427604872
96,2020-06-05,1.0,25.0,1.0,0.4744756427604872,11.861891069012179,0.4744756427604872
97,2020-06-06,1.0,25.0,1.0,0.4744756427604872,11.861891069012179,0.4744756427604872
98,2020-06-07,1.0,25.0,1.0,0.4744756427604872,11.861891069012179,0.4744756427604872
99,2020-06-08,1.0,25.0,1.0,0.4744756427604872,11.861891069012179,0.4744756427604872
100,2020-06-09,1.0,25.0,1.0,0.4744756427604872,11.861891069012179,0.4744756427604872
101,2020-06-10,0.0,26.0,1.0,0.0,12.336366711772666,0.4744756427604872
102,2020-06-11,1.0,26.0,1.0,0.4744756427604872,12.336366711772666,0.4744756427604872
103,2020-06-12,1.0,26.0,1.0,0.4744756427604872,12.336366711772666,0.4744756427604872
104,2020-06-13,1.0,26.0,1.0,0.4744756427604872,12.336366711772666,0.4744756427604872
105,2020-06-14,1.0,26.0,1.0,0.4744756427604872,12.336366711772666,0.4744756427604872
106,2020-06-15,1.0,26.0,1.0,0.4744756427604872,12.336366711772666,0.4744756427604872
107,2020-06-16,1.0,26.0,1.0,0.4744756427604872,12.336366711772666,0.4744756427604872
108,2020-06-17,1.0,27.0,1.0,0.4744756427604872,12.810842354533152,0.4744756427604872
109,2020-06-18,1.0,27.0,1.0,0.4744756427604872,12.810842354533152,0.4744756427604872
110,2020-06-19,1.0,27.0,1.0,0.4744756427604872,12.810842354533152,0.4744756427604872
111,2020-06-20,1.0,27.0,1.0,0.4744756427604872,12.810842354533152,0.4744756427604872
112,2020-06-21,1.0,27.0,1.0,0.4744756427604872,12.810842354533152,0.4744756427604872
113,2020-06-22,2.0,27.0,1.0,0.9489512855209744,12.810842354533152,0.4744756427604872
114,2020-06-23,2.0,27.0,1.0,0.9489512855209744,12.810842354533152,0.4744756427604872
115,2020-06-24,2.0,27.0,1.0,0.9489512855209744,12.810842354533152,0.4744756427604872
116,2020-06-25,2.0,27.0,1.0,0.9489512855209744,12.810842354533152,0.4744756427604872
117,2020-06-26,3.0,27.0,1.0,1.4234269282814613,12.810842354533152,0.4744756427604872
118,2020-06-27,3.0,27.0,1.0,1.4234269282814613,12.810842354533152,0.4744756427604872
119,2020-06-28,3.0,27.0,1.0,1.4234269282814613,12.810842354533152,0.4744756427604872
120,2020-06-29,4.0,27.0,1.0,1.8979025710419488,12.810842354533152,0.4744756427604872
121,2020-06-30,4.0,27.0,1.0,1.8979025710419488,12.810842354533152,0.4744756427604872
122,2020-07-01,4.0,27.0,1.0,1.8979025710419488,12.810842354533152,0.4744756427604872
