,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-23,1.0,0.0,0.0,0.6121665120846745,0.0,0.0
23,2020-03-24,1.0,0.0,0.0,0.6121665120846745,0.0,0.0
24,2020-03-25,1.0,0.0,0.0,0.6121665120846745,0.0,0.0
25,2020-03-26,1.0,0.0,0.0,0.6121665120846745,0.0,0.0
26,2020-03-27,1.0,0.0,0.0,0.6121665120846745,0.0,0.0
27,2020-03-28,1.0,0.0,0.0,0.6121665120846745,0.0,0.0
28,2020-03-29,1.0,0.0,0.0,0.6121665120846745,0.0,0.0
29,2020-03-30,2.0,0.0,0.0,1.224333024169349,0.0,0.0
30,2020-03-31,2.0,0.0,0.0,1.224333024169349,0.0,0.0
31,2020-04-01,4.0,0.0,0.0,2.448666048338698,0.0,0.0
32,2020-04-02,9.0,0.0,0.0,5.509498608762071,0.0,0.0
33,2020-04-03,10.0,0.0,0.0,6.121665120846746,0.0,0.0
34,2020-04-04,13.0,0.0,0.0,7.9581646571007685,0.0,0.0
35,2020-04-05,14.0,0.0,0.0,8.570331169185444,0.0,0.0
36,2020-04-06,14.0,0.0,0.0,8.570331169185444,0.0,0.0
37,2020-04-07,14.0,1.0,0.0,8.570331169185444,0.6121665120846745,0.0
38,2020-04-08,16.0,1.0,0.0,9.794664193354793,0.6121665120846745,0.0
39,2020-04-09,16.0,1.0,0.0,9.794664193354793,0.6121665120846745,0.0
40,2020-04-10,16.0,1.0,0.0,9.794664193354793,0.6121665120846745,0.0
41,2020-04-11,17.0,1.0,0.0,10.406830705439468,0.6121665120846745,0.0
42,2020-04-12,17.0,1.0,0.0,10.406830705439468,0.6121665120846745,0.0
43,2020-04-13,17.0,1.0,0.0,10.406830705439468,0.6121665120846745,0.0
44,2020-04-14,17.0,1.0,0.0,10.406830705439468,0.6121665120846745,0.0
45,2020-04-15,17.0,1.0,0.0,10.406830705439468,0.6121665120846745,0.0
46,2020-04-16,16.0,3.0,0.0,9.794664193354793,1.836499536254024,0.0
47,2020-04-17,15.0,4.0,0.0,9.182497681270117,2.448666048338698,0.0
48,2020-04-18,14.0,5.0,0.0,8.570331169185444,3.060832560423373,0.0
49,2020-04-19,12.0,7.0,0.0,7.345998145016096,4.285165584592722,0.0
50,2020-04-20,12.0,7.0,0.0,7.345998145016096,4.285165584592722,0.0
51,2020-04-21,12.0,8.0,0.0,7.345998145016096,4.897332096677396,0.0
52,2020-04-22,14.0,8.0,0.0,8.570331169185444,4.897332096677396,0.0
53,2020-04-23,15.0,9.0,0.0,9.182497681270117,5.509498608762071,0.0
54,2020-04-24,16.0,9.0,0.0,9.794664193354793,5.509498608762071,0.0
55,2020-04-25,16.0,9.0,0.0,9.794664193354793,5.509498608762071,0.0
56,2020-04-26,16.0,9.0,0.0,9.794664193354793,5.509498608762071,0.0
57,2020-04-27,13.0,12.0,0.0,7.9581646571007685,7.345998145016096,0.0
58,2020-04-28,13.0,12.0,0.0,7.9581646571007685,7.345998145016096,0.0
59,2020-04-29,10.0,15.0,0.0,6.121665120846746,9.182497681270117,0.0
60,2020-04-30,11.0,15.0,0.0,6.73383163293142,9.182497681270117,0.0
61,2020-05-01,11.0,15.0,0.0,6.73383163293142,9.182497681270117,0.0
62,2020-05-02,10.0,16.0,0.0,6.121665120846746,9.794664193354793,0.0
63,2020-05-03,10.0,16.0,0.0,6.121665120846746,9.794664193354793,0.0
64,2020-05-04,9.0,17.0,0.0,5.509498608762071,10.406830705439468,0.0
65,2020-05-05,10.0,17.0,0.0,6.121665120846746,10.406830705439468,0.0
66,2020-05-06,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
67,2020-05-07,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
68,2020-05-08,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
69,2020-05-09,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
70,2020-05-10,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
71,2020-05-11,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
72,2020-05-12,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
73,2020-05-13,9.0,19.0,0.0,5.509498608762071,11.631163729608817,0.0
74,2020-05-14,8.0,20.0,0.0,4.897332096677396,12.243330241693492,0.0
75,2020-05-15,8.0,20.0,0.0,4.897332096677396,12.243330241693492,0.0
76,2020-05-16,9.0,20.0,0.0,5.509498608762071,12.243330241693492,0.0
77,2020-05-17,9.0,20.0,0.0,5.509498608762071,12.243330241693492,0.0
78,2020-05-18,12.0,20.0,0.0,7.345998145016096,12.243330241693492,0.0
79,2020-05-19,12.0,20.0,0.0,7.345998145016096,12.243330241693492,0.0
80,2020-05-20,9.0,23.0,0.0,5.509498608762071,14.079829777947516,0.0
81,2020-05-21,8.0,24.0,0.0,4.897332096677396,14.691996290032192,0.0
82,2020-05-22,9.0,24.0,0.0,5.509498608762071,14.691996290032192,0.0
83,2020-05-23,9.0,24.0,0.0,5.509498608762071,14.691996290032192,0.0
84,2020-05-24,9.0,24.0,0.0,5.509498608762071,14.691996290032192,0.0
85,2020-05-25,9.0,24.0,0.0,5.509498608762071,14.691996290032192,0.0
86,2020-05-26,6.0,27.0,0.0,3.672999072508048,16.52849582628621,0.0
87,2020-05-27,6.0,27.0,0.0,3.672999072508048,16.52849582628621,0.0
88,2020-05-28,5.0,28.0,0.0,3.060832560423373,17.140662338370888,0.0
89,2020-05-29,5.0,28.0,0.0,3.060832560423373,17.140662338370888,0.0
90,2020-05-30,6.0,28.0,0.0,3.672999072508048,17.140662338370888,0.0
91,2020-05-31,6.0,28.0,0.0,3.672999072508048,17.140662338370888,0.0
92,2020-06-01,5.0,29.0,0.0,3.060832560423373,17.75282885045556,0.0
93,2020-06-02,6.0,30.0,0.0,3.672999072508048,18.364995362540235,0.0
94,2020-06-03,6.0,30.0,0.0,3.672999072508048,18.364995362540235,0.0
95,2020-06-04,5.0,31.0,0.0,3.060832560423373,18.97716187462491,0.0
96,2020-06-05,5.0,31.0,0.0,3.060832560423373,18.97716187462491,0.0
97,2020-06-06,5.0,31.0,0.0,3.060832560423373,18.97716187462491,0.0
98,2020-06-07,5.0,31.0,0.0,3.060832560423373,18.97716187462491,0.0
99,2020-06-08,5.0,31.0,0.0,3.060832560423373,18.97716187462491,0.0
100,2020-06-09,3.0,33.0,0.0,1.836499536254024,20.20149489879426,0.0
101,2020-06-10,3.0,33.0,0.0,1.836499536254024,20.20149489879426,0.0
102,2020-06-11,3.0,33.0,0.0,1.836499536254024,20.20149489879426,0.0
103,2020-06-12,3.0,33.0,0.0,1.836499536254024,20.20149489879426,0.0
104,2020-06-13,3.0,33.0,0.0,1.836499536254024,20.20149489879426,0.0
105,2020-06-14,3.0,33.0,0.0,1.836499536254024,20.20149489879426,0.0
106,2020-06-15,3.0,33.0,0.0,1.836499536254024,20.20149489879426,0.0
107,2020-06-16,5.0,33.0,0.0,3.060832560423373,20.20149489879426,0.0
108,2020-06-17,6.0,33.0,0.0,3.672999072508048,20.20149489879426,0.0
109,2020-06-18,6.0,33.0,0.0,3.672999072508048,20.20149489879426,0.0
110,2020-06-19,6.0,34.0,0.0,3.672999072508048,20.813661410878936,0.0
111,2020-06-20,6.0,34.0,0.0,3.672999072508048,20.813661410878936,0.0
112,2020-06-21,6.0,34.0,0.0,3.672999072508048,20.813661410878936,0.0
113,2020-06-22,6.0,34.0,0.0,3.672999072508048,20.813661410878936,0.0
114,2020-06-23,6.0,34.0,0.0,3.672999072508048,20.813661410878936,0.0
115,2020-06-24,6.0,34.0,0.0,3.672999072508048,20.813661410878936,0.0
116,2020-06-25,3.0,37.0,0.0,1.836499536254024,22.65016094713296,0.0
117,2020-06-26,3.0,37.0,0.0,1.836499536254024,22.65016094713296,0.0
118,2020-06-27,3.0,37.0,0.0,1.836499536254024,22.65016094713296,0.0
119,2020-06-28,3.0,37.0,0.0,1.836499536254024,22.65016094713296,0.0
120,2020-06-29,3.0,37.0,0.0,1.836499536254024,22.65016094713296,0.0
121,2020-06-30,3.0,37.0,0.0,1.836499536254024,22.65016094713296,0.0
122,2020-07-01,3.0,37.0,0.0,1.836499536254024,22.65016094713296,0.0
123,2020-07-02,4.0,37.0,0.0,2.448666048338698,22.65016094713296,0.0
124,2020-07-03,5.0,37.0,0.0,3.060832560423373,22.65016094713296,0.0
125,2020-07-04,5.0,37.0,0.0,3.060832560423373,22.65016094713296,0.0
126,2020-07-05,6.0,37.0,0.0,3.672999072508048,22.65016094713296,0.0
127,2020-07-06,6.0,37.0,0.0,3.672999072508048,22.65016094713296,0.0
128,2020-07-07,6.0,37.0,0.0,3.672999072508048,22.65016094713296,0.0
129,2020-07-08,6.0,37.0,0.0,3.672999072508048,22.65016094713296,0.0
130,2020-07-09,3.0,40.0,0.0,1.836499536254024,24.486660483386984,0.0
131,2020-07-10,3.0,40.0,0.0,1.836499536254024,24.486660483386984,0.0
132,2020-07-11,3.0,40.0,0.0,1.836499536254024,24.486660483386984,0.0
133,2020-07-12,3.0,40.0,0.0,1.836499536254024,24.486660483386984,0.0
134,2020-07-13,3.0,40.0,0.0,1.836499536254024,24.486660483386984,0.0
135,2020-07-14,4.0,40.0,0.0,2.448666048338698,24.486660483386984,0.0
