kraj/okres;počet obyvatel
Hlavní město Praha;1 308 632
Středočeský kraj;1 369 332
Benešov;98 708
Beroun;93 726
Kladno;165 271
Kolín;101 604
Kutná Hora;75 370
Mělník;108 352
Mladá Boleslav;129 136
Nymburk;99 873
Praha-východ;180 945
Praha-západ;146 004
Příbram;114 778
Rakovník;55 565
Jihočeský kraj;642 133
České Budějovice;194 585
Český Krumlov;61 381
Jindřichův Hradec;90 653
Písek;71 308
Prachatice;50 971
Strakonice;70 738
Tábor;102 497
Plzeňský kraj;584 672
Domažlice;61 902
Klatovy;86 336
Plzeň-město;191 599
Plzeň-jih;63 004
Plzeň-sever;79 278
Rokycany;48 966
Tachov;53 587
Karlovarský kraj;294 896
Cheb;91 540
Karlovy Vary;115 014
Sokolov;88 342
Ústecký kraj;820 789
Děčín;129 831
Chomutov;124 751
Litoměřice;119 655
Louny;86 486
Most;112 049
Teplice;128 610
Ústí nad Labem;119 407
Liberecký kraj;442 356
Česká Lípa;103 135
Jablonec nad Nisou;90 528
Liberec;174 811
Semily;73 882
Královéhradecký kraj;551 021
Hradec Králové;163 671
Jičín;79 782
Náchod;110 240
Rychnov nad Kněžnou;79 088
Trutnov;118 240
Pardubický kraj;520 316
Chrudim;104 344
Pardubice;173 329
Svitavy;104 401
Ústí nad Orlicí;138 242
Kraj Vysočina;509 274
Havlíčkův Brod;94 732
Jihlava;113 153
Pelhřimov;72 226
Třebíč;111 069
Žďár nad Sázavou;118 094
Jihomoravský kraj;1 187 667
Blansko;108 801
Brno-město;380 681
Brno-venkov;222 370
Břeclav;115 906
Hodonín;154 160
Vyškov;91 645
Znojmo;114 104
Olomoucký kraj;632 492
Jeseník;38 330
Olomouc;234 939
Prostějov;108 587
Přerov;129 925
Šumperk;120 711
Zlínský kraj;582 921
Kroměříž;105 572
Uherské Hradiště;142 306
Vsetín;143 332
Zlín;191 711
Moravskoslezský kraj;1 203 299
Bruntál;92 018
Frýdek-Místek;214 187
Karviná;247 887
Nový Jičín;151 680
Opava;176 254
Ostrava-město;321 273
