T,datum,I_d,mean_waiting,all_tests
0,2020-02-26,0.0,0.0,0.120663583363
1,2020-02-27,0.0,0.0,0.183618496421
2,2020-02-28,0.0,0.0,0.120663583363
3,2020-02-29,0.0,2.33333333333,0.0367236992842
4,2020-03-01,0.00672541613582,3.0,0.0577086703038
5,2020-03-02,0.00672541613582,0.0,0.267558380499
6,2020-03-03,0.0123373069985,0.0,0.409206934882
7,2020-03-04,0.0128940696351,1.0,0.351498264578
8,2020-03-05,0.0297297422232,2.0,0.398714449372
9,2020-03-06,0.0514967763728,5.5,0.582332945793
10,2020-03-07,0.0700308936234,3.83333333333,1.01252485169
11,2020-03-08,0.105191148986,3.375,0.73972022844
12,2020-03-09,0.116321394388,3.72727272727,1.39025433005
13,2020-03-10,0.189406149803,3.90909090909,0.865630054557
14,2020-03-11,0.342049466989,3.84210526316,2.40277918174
15,2020-03-12,0.401110243246,4.125,2.81723235938
16,2020-03-13,0.488930656077,4.80357142857,4.43307512788
17,2020-03-14,0.643529848819,3.875,5.17279535632
18,2020-03-15,1.00143802246,3.79310344828,5.39313755203
19,2020-03-16,1.3598107951,3.21551724138,6.9197941937
20,2020-03-17,1.59312264542,4.16363636364,6.78863812483
21,2020-03-18,2.02522946942,3.74509803922,9.21240227759
22,2020-03-19,2.73495704771,4.1968503937,11.8512623833
23,2020-03-20,3.24214422158,4.18562874251,11.1272808831
24,2020-03-21,3.72709285741,3.89333333333,9.87342886471
25,2020-03-22,4.17456448201,5.70238095238,9.44848320156
26,2020-03-23,4.63632474664,6.46222222222,12.0191421515
27,2020-03-24,5.34258925283,5.58364312268,16.0639953155
28,2020-03-25,6.57696820709,5.85840707965,21.5463189943
29,2020-03-26,7.78439768862,6.37984496124,24.3058426834
30,2020-03-27,9.28727305867,6.64143426295,28.1146149235
31,2020-03-28,10.5704819761,6.35761589404,22.1601293967
32,2020-03-29,11.1512443477,7.76033057851,14.9412993659
33,2020-03-30,11.9819004303,7.40343347639,27.0653663725
34,2020-03-31,13.429539581,7.34,34.9452229903
35,2020-04-01,14.4001247119,6.96610169492,32.0125732903
36,2020-04-02,15.3303714889,8.27205882353,35.0081779034
37,2020-04-03,16.6387510669,8.06748466258,38.8117039007
38,2020-04-04,17.8944971598,7.07042253521,30.6223189603
39,2020-04-05,18.20126467,7.9,25.2449201365
40,2020-04-06,18.9699875914,7.53125,33.7595721277
41,2020-04-07,19.4818837757,8.13043478261,42.8775420357
42,2020-04-08,20.5631912833,7.15286624204,44.4304298912
43,2020-04-09,20.8729113204,8.5035971223,42.914265735
44,2020-04-10,21.0528793648,8.13186813187,29.9140761884
45,2020-04-11,21.3558457355,6.26785714286,25.6593733142
46,2020-04-12,21.2658486017,5.65957446809,17.0502889534
47,2020-04-13,21.0737366487,6.76666666667,16.866670457
48,2020-04-14,20.7530630589,8.71844660194,32.3850565259
49,2020-04-15,20.6153325679,8.22666666667,44.4671535905
50,2020-04-16,20.1259168111,8.64179104478,43.9687605287
51,2020-04-17,19.125309448,7.26388888889,43.4808599525
52,2020-04-18,18.8553011086,8.73913043478,29.4051906412
53,2020-04-19,18.8312633322,8.44,21.1266195739
54,2020-04-20,18.2229714991,7.72058823529,34.4520761714
55,2020-04-21,17.8548678381,7.44285714286,43.7589108185
56,2020-04-22,16.8839949574,6.64788732394,46.2613686126
57,2020-04-23,15.9654913456,8.79545454545,41.4505640064
58,2020-04-24,15.0343919498,8.05128205128,37.4004645996
59,2020-04-25,14.6182907932,6.13793103448,23.3247952882
60,2020-04-26,14.4333682146,8.57142857143,17.7375467543
61,2020-04-27,13.6715964433,6.41176470588,40.6793663214
62,2020-04-28,13.0893440916,4.61538461538,45.8574079205
63,2020-04-29,12.3106436982,9.73529411765,38.4129894513
64,2020-04-30,11.5842721172,5.70588235294,38.8012114152
65,2020-05-01,11.1880220414,12.1538461538,23.5923536687
66,2020-05-02,10.6919257326,3.33333333333,20.3816531028
67,2020-05-03,10.2191302232,5.29411764706,20.3606681317
68,2020-05-04,9.55365403268,5.09302325581,40.6898588069
69,2020-05-05,9.15614538057,10.3658536585,49.2254957691
70,2020-05-06,8.67773653373,8.9375,42.2427466624
71,2020-05-07,7.98479983478,8.88571428571,39.8661986944
72,2020-05-08,7.81268722259,5.57142857143,23.6605548246
73,2020-05-09,7.43277261869,2.64285714286,19.8727675555
74,2020-05-10,7.26476552834,3.63157894737,21.2577756428
75,2020-05-11,6.8573077981,6.44827586207,40.9679096729
76,2020-05-12,6.50970373169,6.92857142857,45.9308553191
77,2020-05-13,6.01488649926,7.86666666667,40.3278680568
78,2020-05-14,5.92011939704,8.25,36.2095674943
79,2020-05-15,5.77742936768,6.95454545455,35.6219883057
80,2020-05-16,5.70513925607,6.27777777778,22.0184808423
81,2020-05-17,5.4229869527,3.38461538462,18.6399005081
82,2020-05-18,5.38512229876,4.19047619048,39.126478466
83,2020-05-19,5.31531344209,3.74285714286,43.7326796048
84,2020-05-20,5.07030540994,3.73684210526,39.4412530313
85,2020-05-21,4.78295683459,8.2,38.2451096832
86,2020-05-22,4.58357416147,3.14814814815,40.6478888649
87,2020-05-23,4.6584140517,4.05882352941,26.540742097
88,2020-05-24,4.68576956289,4.63636363636,20.1927883636
89,2020-05-25,4.38881125456,6.0,39.3887906037
90,2020-05-26,4.20007621205,3.88235294118,37.9880437882
91,2020-05-27,3.92677773339,3.80769230769,35.9157779
92,2020-05-28,3.88589200993,4.23529411765,31.5456576852
93,2020-05-29,3.73922915826,6.88235294118,32.0702819607
94,2020-05-30,3.67286801369,4.28571428571,18.6136692944
95,2020-05-31,3.69089848011,1.88888888889,11.2322057382
96,2020-06-01,3.56508401412,4.41379310345,30.0137548007
97,2020-06-02,3.45815527214,5.83333333333,33.9851605662
98,2020-06-03,3.31361976957,4.36363636364,27.8732877567
99,2020-06-04,3.30560476851,5.375,26.2889224448
100,2020-06-05,3.15894692545,4.2,21.8925710162
101,2020-06-06,3.23548222194,5.36,11.279421923
102,2020-06-07,3.31731470467,2.33333333333,11.1587583397
103,2020-06-08,3.28135696006,3.89473684211,24.5734010639
104,2020-06-09,3.28849423751,3.42424242424,23.8808970203
105,2020-06-10,3.268480104,5.55555555556,21.3417155269
106,2020-06-11,3.30594342657,4.48275862069,19.6157016605
107,2020-06-12,3.24238307369,5.72727272727,19.5475005047
108,2020-06-13,3.33942570345,2.25,8.66679303108
109,2020-06-14,3.41390200659,5.53333333333,5.88103812823
110,2020-06-15,3.41915710105,6.11764705882,19.2694496387
111,2020-06-16,3.39751526267,4.3023255814,21.1056346029
112,2020-06-17,3.32154217025,3.94736842105,21.1738357587
113,2020-06-18,3.42521831473,4.08823529412,23.0992068498
114,2020-06-19,3.55189966245,3.24324324324,18.750071606
115,2020-06-20,3.64749157803,3.9375,8.91336644056
116,2020-06-21,3.82208066206,3.28571428571,6.88831673717
117,2020-06-22,3.84864740484,4.37931034483,20.5128091716
118,2020-06-23,3.95481622517,4.2641509434,23.9595906616
119,2020-06-24,4.10347730482,3.61016949153,22.4906426902
120,2020-06-25,4.13745808965,4.95744680851,21.231544429
121,2020-06-26,4.3894476165,3.51388888889,23.7812184079
122,2020-06-27,4.94405918983,5.625,13.398903996
123,2020-06-28,5.63736522945,2.84536082474,12.7116461951
124,2020-06-29,6.00576288511,6.08333333333,23.5293987557
125,2020-06-30,6.26223070413,5.54054054054,23.1464230346
126,2020-07-01,6.23126504566,4.59016393443,24.0959929732
127,2020-07-02,6.34404317394,4.40740740741,24.4737224516
128,2020-07-03,6.57048989736,4.28735632184,26.8030542347
129,2020-07-04,6.90042387341,5.0652173913,8.8504115275
130,2020-07-05,7.09205245339,3.47368421053,7.99527395845
131,2020-07-06,7.11076827074,7.22413793103,8.99206008188
132,2020-07-07,7.27342341741,4.50877192982,21.8191236176
133,2020-07-08,6.99112228366,4.98181818182,28.3611883329
134,2020-07-09,6.85105157827,5.35,24.5629085784
135,2020-07-10,6.7096958763,6.03703703704,27.9782126118
136,2020-07-11,6.45594428167,4.13793103448,12.1765294341
137,2020-07-12,6.13486329901,4.95,9.37503580299
138,2020-07-13,5.49489151085,5.14473684211,23.2093779476
139,2020-07-14,5.35766116443,5.03448275862,25.192457709
140,2020-07-15,5.47309411681,5.13235294118,24.6258634915
141,2020-07-16,5.64980331746,4.82432432432,24.8147282306
142,2020-07-17,5.62491932179,4.171875,24.7989895024
143,2020-07-18,5.71969398848,5.08571428571,12.2447305899
144,2020-07-19,5.85040951258,4.0625,9.60062424145
145,2020-07-20,6.05417151982,4.57575757576,30.349514337
146,2020-07-21,6.38025608389,4.42222222222,31.9443721345
147,2020-07-22,6.82750395713,4.16666666667,34.6724183671
148,2020-07-23,7.38086968081,4.26732673267,29.1533709889
149,2020-07-24,8.16011180047,4.02654867257,32.726062305
150,2020-07-25,8.49140861098,4.86666666667,17.5067120731
151,2020-07-26,8.81781206847,3.96428571429,9.34355834646
152,2020-07-27,9.15081990269,4.57608695652,34.2422264612
153,2020-07-28,9.77263207789,4.65942028986,41.3246541803
154,2020-07-29,10.4025816507,4.4,39.3048507196
155,2020-07-30,11.1257174734,4.0564516129,39.9239073647
156,2020-07-31,11.3458007423,3.69444444444,42.9037732495
157,2020-08-01,11.5322407726,3.42,24.6730796763
158,2020-08-02,11.624279865,4.04255319149,13.8868045722
159,2020-08-03,11.4922152587,4.5,40.495747825
160,2020-08-04,11.7373515084,5.73202614379,44.0317154418
161,2020-08-05,12.039227486,3.40860215054,36.3354773204
162,2020-08-06,12.1340876661,4.82608695652,38.5546380057
163,2020-08-07,12.388800909,,48.1919859464
164,2020-08-08,12.6246691542,,28.7913802388
165,2020-08-09,12.8683851723,,15.2927976305
166,2020-08-10,11.9389175327,,33.8592507401
167,2020-08-11,11.981884224,,44.8920992536
168,2020-08-12,12.0785474505,,40.7003512924
169,2020-08-13,12.3271613044,,37.7362241359
170,2020-08-14,12.4075256613,,40.8839697889
171,2020-08-15,12.6913660086,,25.9269316947
172,2020-08-16,12.9296987949,,15.067209192
173,2020-08-17,12.5949685054,,37.7309778932
174,2020-08-18,12.7222925682,,39.8661986944
175,2020-08-19,12.936414369,,39.7979975386
176,2020-08-20,13.0325992702,,43.1136229597
177,2020-08-21,13.8092400771,,50.7941223529
178,2020-08-22,14.3095345157,,26.8240392058
179,2020-08-23,14.4508159931,,12.5752438835
180,2020-08-24,14.3933373274,,38.8012114152
181,2020-08-25,14.8267651551,,45.9413478046
182,2020-08-26,15.3883904494,,46.4502333518
183,2020-08-27,15.3158460389,,48.2287096457
184,2020-08-28,16.1988087184,,56.6069593253
185,2020-08-29,17.2266370863,,34.4573224141
186,2020-08-30,17.789716822,,20.6911814253
187,2020-08-31,17.3961547179,,49.0681084865
188,2020-09-01,18.4614241915,,58.3644506482
189,2020-09-02,20.2314937868,,61.8951720222
190,2020-09-03,21.4502366779,,60.5259026632
191,2020-09-04,23.4235337236,,71.4013638941
192,2020-09-05,25.1458249373,,39.168448408
193,2020-09-06,26.0795489828,,23.7917108934
194,2020-09-07,26.8877498535,,60.7357523734
195,2020-09-08,30.0517451461,,84.43827714
196,2020-09-09,33.3530065293,,81.1803603892
197,2020-09-10,36.7518115204,,85.5032644192
198,2020-09-11,39.4795374761,,100.685890952
199,2020-09-12,42.9936342772,,69.4655003175
200,2020-09-13,43.1129219574,,37.1958611322
201,2020-09-14,43.0019456213,,91.7725245113
202,2020-09-15,48.3563666608,,106.514466653
203,2020-09-16,56.3793230665,,107.338126765
204,2020-09-17,65.2079577913,,122.908975262
205,2020-09-18,69.7022521931,,113.161456223
206,2020-09-19,73.0439163553,,79.8740459432
207,2020-09-20,71.6147338689,,53.4539674296
208,2020-09-21,71.1522237206,,101.803340659
209,2020-09-22,77.012711291,,117.416159097
210,2020-09-23,83.3816137222,,117.374189155
211,2020-09-24,88.6659881493,,121.434781047
212,2020-09-25,93.8781892261,,121.314117464
213,2020-09-26,95.7616585053,,80.713444784
214,2020-09-27,93.1957651837,,54.8756992162
215,2020-09-28,90.833689504,,64.0985939793
216,2020-09-29,92.6747564336,,96.0219811428
