datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,test,test_hodo,I_d,I_d_hodo
2020-02-26,0,0,0,135,23,0.120661433,0,0
2020-02-27,0,0,0,170,35,0.183615224,0,0
2020-02-28,0,0,0,193,23,0.120661433,0,0
2020-02-29,0,0,0,200,7,0.036723045,0,0
2020-03-01,3,0,0,211,11,0.057707642,3,0.015738448
2020-03-02,3,0,0,262,51,0.267553611,3,0.015738448
2020-03-03,5,0,0,340,78,0.409199641,5,0.026230746
2020-03-04,5,0,0,407,67,0.351491999,5,0.026230746
2020-03-05,8,0,0,483,76,0.398707343,8,0.041969194
2020-03-06,19,0,0,594,111,0.582322566,19,0.099676836
2020-03-07,26,0,0,787,193,1.012506804,26,0.13639988
2020-03-08,32,0,0,928,141,0.739707043,32,0.167876776
2020-03-09,38,0,0,1193,265,1.39022955,38,0.199353671
2020-03-10,63,0,0,1358,165,0.865614625,63,0.330507402
2020-03-11,94,0,0,1816,458,2.402736354,94,0.493138029
2020-03-12,116,0,0,2353,537,2.817182144,116,0.608553312
2020-03-13,141,0,0,3198,845,4.432996111,141,0.739707043
2020-03-14,189,0,0,4184,986,5.172703155,189,0.991522207
2020-03-15,298,3,0,5212,1028,5.393041423,295,1.547614027
2020-03-16,383,3,0,6531,1319,6.919670853,380,1.993536713
2020-03-17,450,3,0,7825,1294,6.788517122,447,2.345028712
2020-03-18,560,3,0,9581,1756,9.212238072,557,2.922105129
2020-03-19,765,4,0,11840,2259,11.85105114,761,3.992319575
2020-03-20,889,8,0,13961,2121,11.12708255,881,4.621857484
2020-03-21,1047,9,0,15843,1882,9.873252877,1038,5.445502915
2020-03-22,1161,9,1,17644,1801,9.448314788,1151,6.03831778
2020-03-23,1287,12,1,19935,2291,12.01892792,1274,6.683594137
2020-03-24,1472,13,3,22997,3062,16.06370899,1456,7.638393299
2020-03-25,1763,16,9,27104,4107,21.54593495,1738,9.117807386
2020-03-26,2022,23,10,31737,4633,24.30540945,1989,10.43459085
2020-03-27,2395,34,12,37096,5359,28.1141138,2349,12.32320457
2020-03-28,2657,38,17,41320,4224,22.15973441,2602,13.65048033
2020-03-29,2817,50,23,44168,2848,14.94103305,2744,14.39543353
2020-03-30,3001,75,28,49327,5159,27.06488395,2898,15.20334051
2020-03-31,3308,89,35,55988,6661,34.94460011,3184,16.70373919
2020-04-01,3589,129,43,62090,6102,32.01200269,3417,17.92609197
2020-04-02,3858,164,48,68763,6673,35.00755391,3646,19.12746014
2020-04-03,4190,220,57,76161,7398,38.81101211,3913,20.52818199
2020-04-04,4472,260,65,81998,5837,30.62177314,4147,21.75578091
2020-04-05,4587,299,76,86810,4812,25.24447016,4212,22.09678062
2020-04-06,4822,382,83,93245,6435,33.75897039,4357,22.85747226
2020-04-07,5017,492,92,101418,8173,42.87677777,4433,23.2561796
2020-04-08,5312,589,106,109887,8469,44.42963795,4617,24.22147106
2020-04-09,5569,753,117,118067,8180,42.91350082,4699,24.6516553
2020-04-10,5732,875,127,123769,5702,29.91354299,4730,24.81428592
2020-04-11,5902,995,137,128660,4891,25.65891595,4770,25.02413189
2020-04-12,5991,1093,147,131910,3250,17.04998504,4751,24.92445506
2020-04-13,6059,1190,157,135125,3215,16.86636982,4712,24.71985524
2020-04-14,6141,1370,165,141298,6173,32.38447928,4606,24.16376342
2020-04-15,6301,1555,165,149774,8476,44.46636099,4581,24.03260969
2020-04-16,6433,1803,167,158155,8381,43.96797681,4463,23.41356408
2020-04-17,6549,2093,174,166443,8288,43.48008493,4282,22.46401106
2020-04-18,6654,2229,179,172048,5605,29.40466651,4246,22.27514969
2020-04-19,6746,2367,188,176075,4027,21.12624301,4191,21.98661148
2020-04-20,6900,2586,196,182642,6567,34.45146209,4118,21.60364259
2020-04-21,7033,2794,205,190983,8341,43.75813084,4034,21.16296605
2020-04-22,7132,3080,207,199801,8818,46.26054403,3845,20.17144384
2020-04-23,7187,3304,212,207702,7901,41.44982518,3671,19.25861387
2020-04-24,7273,3536,219,214831,7129,37.39979796,3518,18.45595304
2020-04-25,7352,3665,223,219277,4446,23.32437954,3464,18.17266098
2020-04-26,7404,3741,226,222658,3381,17.73723059,3437,18.03101495
2020-04-27,7445,3914,227,230412,7754,40.67864124,3304,17.3332771
2020-04-28,7504,4043,231,239153,8741,45.85659054,3230,16.94506206
2020-04-29,7579,4205,234,246475,7322,38.41230476,3140,16.47290863
2020-04-30,7682,4385,244,253871,7396,38.80051981,3053,16.01649364
2020-05-01,7737,4492,250,258284,4413,23.15125661,2995,15.71221699
2020-05-02,7755,4584,252,262164,3880,20.35505907,2919,15.31350964
2020-05-03,7781,4640,255,266045,3881,20.36030522,2886,15.14038672
2020-05-04,7819,4777,260,273672,7627,40.01238028,2782,14.5947872
2020-05-05,7896,4924,262,283119,9447,49.56037191,2710,14.21706445
2020-05-06,7974,5081,266,291202,8083,42.40462434,2627,13.78163406
2020-05-07,8031,5226,271,298784,7582,39.77630357,2534,13.29374218
2020-05-08,8077,5284,275,303341,4557,23.9067021,2518,13.2098038
2020-05-09,8095,5351,279,307123,3782,19.84093644,2465,12.93175789
2020-05-10,8123,5394,282,311174,4051,21.25215059,2447,12.8373272
2020-05-11,8176,5515,284,318979,7805,40.94619485,2377,12.47009675
2020-05-12,8221,5597,287,327731,8752,45.91429818,2337,12.26025078
2020-05-13,8269,5722,291,335415,7684,40.31141079,2256,11.83531269
2020-05-14,8351,5809,294,342304,6889,36.14072214,2248,11.7933435
2020-05-15,8406,5878,296,349082,6778,35.55839958,2232,11.70940511
2020-05-16,8455,5914,297,353272,4190,21.98136533,2244,11.7723589
2020-05-17,8475,5961,299,356759,3487,18.29332241,2215,11.62022058
2020-05-18,8586,6035,302,364214,7455,39.11004261,2249,11.79858965
2020-05-19,8647,6078,304,372534,8320,43.64796171,2265,11.88252804
2020-05-20,8721,6159,309,380050,7516,39.43005772,2253,11.81957425
2020-05-21,8754,6230,312,387337,7287,38.22868954,2212,11.60448213
2020-05-22,8813,6280,314,395066,7729,40.54748751,2219,11.64120517
2020-05-23,8890,6313,315,400112,5046,26.47206909,2262,11.86678959
2020-05-24,8955,6336,317,403722,3610,18.93859877,2302,12.07663556
2020-05-25,9002,6403,318,411142,7420,38.92642739,2281,11.96646643
2020-05-26,9050,6460,318,418372,7230,37.92965903,2272,11.91925108
2020-05-27,9086,6513,318,425013,6641,34.83967713,2255,11.83006655
2020-05-28,9140,6527,319,430887,5874,30.81588066,2294,12.03466637
2020-05-29,9196,6532,319,436372,5485,28.7751286,2345,12.30221998
