datum,kumulativni_pocet_testu,I_d_cr,I_d,mean_waiting
2020-02-26,135,0,0.0,
2020-02-27,170,0,0.0,
2020-02-28,193,0,0.0,
2020-02-29,200,0,0.0,2.333333333333333
2020-03-01,211,3,0.015738447731934883,3.0
2020-03-02,262,3,0.015738447731934883,
2020-03-03,340,5,0.026230746219891472,
2020-03-04,407,6,0.03147689546386977,1.0
2020-03-05,483,9,0.04721534319580465,2.0
2020-03-06,594,20,0.10492298487956588,5.5
2020-03-07,787,27,0.14164602958741396,3.8333333333333335
2020-03-08,928,33,0.1731229250512837,3.375
2020-03-09,1193,39,0.2045998205151535,3.727272727272727
2020-03-10,1358,64,0.33575355161461085,3.9090909090909087
2020-03-11,1816,95,0.498384178177938,3.842105263157895
2020-03-12,2353,117,0.6137994615454605,4.125
2020-03-13,3198,142,0.7449531926449179,4.803571428571429
2020-03-14,4184,139,0.7292147449129829,3.875
2020-03-15,5212,245,1.2853065647746822,3.7931034482758617
2020-03-16,6531,330,1.7312292505128373,3.2155172413793105
2020-03-17,7825,398,2.0879673991033614,4.163636363636364
2020-03-18,9581,508,2.6650438159409737,3.7450980392156863
2020-03-19,11840,713,3.740504410956524,4.196850393700787
2020-03-20,13961,833,4.370042320233919,4.185628742514971
2020-03-21,15843,987,5.177949303806577,3.8933333333333335
2020-03-22,17644,1101,5.776010317620102,5.7023809523809526
2020-03-23,19935,1223,6.416040525385454,6.462222222222223
2020-03-24,22997,1402,7.355101240057569,5.58364312267658
2020-03-25,27104,1684,8.834515326859448,5.8584070796460175
2020-03-26,31737,1933,10.140806488610044,6.37984496124031
2020-03-27,37096,2293,12.02942021644223,6.641434262948208
2020-03-28,41320,2545,13.351449825924758,6.357615894039736
2020-03-29,44168,2683,14.075418421593767,7.760330578512398
2020-03-30,49327,2834,14.867586957434487,7.4034334763948495
2020-03-31,55988,3114,16.33650874574841,7.34
2020-04-01,62090,3346,17.553615370351373,6.966101694915254
2020-04-02,68763,3573,18.74449124873445,8.272058823529411
2020-04-03,76161,3834,20.11373620141278,8.067484662576687
2020-04-04,81998,4067,21.336088975259727,7.070422535211267
2020-04-05,86810,4133,21.68233482536229,7.9
2020-04-06,93245,4264,22.369580376323448,7.53125
2020-04-07,101418,4331,22.721072375669994,8.130434782608695
2020-04-08,109887,4500,23.607671597902325,7.1528662420382165
2020-04-09,118067,4565,23.948671298760914,8.503597122302159
2020-04-10,123769,4582,24.037855835908548,8.131868131868131
2020-04-11,128660,4614,24.205732611715852,6.267857142857142
2020-04-12,131910,4588,24.069332731372413,5.659574468085108
2020-04-13,135125,4535,23.79128682144157,6.7666666666666675
2020-04-14,141298,4415,23.161748912164175,8.718446601941748
2020-04-15,149774,4370,22.92567219618515,8.226666666666668
2020-04-16,158155,4227,22.175472854296245,8.64179104477612
2020-04-17,166443,4014,21.058043065328874,7.263888888888888
2020-04-18,172048,3963,20.790489453885986,8.73913043478261
2020-04-19,176075,3896,20.438997454539443,8.44
2020-04-20,182642,3804,19.956351724093434,7.720588235294117
2020-04-21,190983,3698,19.400259904231735,7.442857142857143
2020-04-22,199801,3493,18.324799309216186,6.647887323943663
2020-04-23,207702,3310,17.364753997568155,8.795454545454545
2020-04-24,214831,3129,16.415200984408084,8.051282051282051
2020-04-25,219277,3059,16.047970537329604,6.137931034482759
2020-04-26,222658,3028,15.885339910766275,8.571428571428571
2020-04-27,230412,2871,15.061694479461687,6.411764705882352
2020-04-28,239153,2764,14.500356510356006,4.615384615384615
2020-04-29,246475,2649,13.897049347298504,9.735294117647056
2020-04-30,253871,2544,13.346203676680783,5.705882352941178
2020-05-01,258368,2470,12.957988632626385,12.153846153846152
2020-05-02,262253,2392,12.548788991596082,3.333333333333333
2020-05-03,266134,2302,12.076635559638035,5.294117647058823
2020-05-04,273890,2171,11.389390008676877,5.093023255813954
2020-05-05,283273,2074,10.880513532010985,10.365853658536585
2020-05-06,291325,1971,10.34016015988122,8.9375
2020-05-07,298924,1857,9.742099146067693,8.885714285714286
2020-05-08,303434,1834,9.621437713456194,5.571428571428571
2020-05-09,307222,1776,9.317161057305453,2.642857142857143
2020-05-10,311274,1750,9.180761176962015,3.631578947368421
2020-05-11,319083,1673,8.776807685175687,6.448275862068965
2020-05-12,327838,1625,8.524992521464728,6.928571428571429
2020-05-13,335525,1536,8.05808523875066,7.866666666666666
2020-05-14,342427,1520,7.974146850847008,8.25
2020-05-15,349217,1493,7.832500821259594,6.954545454545454
2020-05-16,353414,1500,7.869223865967442,6.277777777777778
2020-05-17,356967,1470,7.711839388648093,3.3846153846153846
2020-05-18,364425,1490,7.816762373527659,4.190476190476192
2020-05-19,372761,1497,7.8534854182355085,3.7428571428571433
2020-05-20,380279,1479,7.759054731843897,3.736842105263158
2020-05-21,387569,1423,7.465270374181112,8.2
2020-05-22,395317,1419,7.4442857772052,3.1481481481481484
2020-05-23,400376,1456,7.638393299232397,4.0588235294117645
2020-05-24,404225,1491,7.822008522771638,4.636363636363637
2020-05-25,411733,1452,7.6174087022564825,6.0
2020-05-26,418974,1428,7.491501120401004,3.882352941176471
2020-05-27,425820,1385,7.265916702909937,3.807692307692308
2020-05-28,431833,1392,7.302639747617786,4.235294117647058
2020-05-29,437946,1384,7.260670553665959,6.882352941176472
2020-05-30,441494,1382,7.250178255178003,4.285714285714286
2020-05-31,443635,1402,7.355101240057569,1.8888888888888888
2020-06-01,449356,1362,7.1452552702984375,4.413793103448277
2020-06-02,455834,1352,7.092793777858653,5.833333333333332
2020-06-03,461147,1351,7.087547628614676,4.363636363636363
2020-06-04,466158,1353,7.098039927102633,5.375
2020-06-05,470331,1317,6.909178554319414,4.2
2020-06-06,472481,1326,6.956393897515218,5.36
2020-06-07,474608,1358,7.124270673322524,2.333333333333333
2020-06-08,479292,1375,7.213455210470156,3.8947368421052633
2020-06-09,483844,1385,7.265916702909937,3.4242424242424243
2020-06-10,487912,1379,7.234439807446067,5.5555555555555545
2020-06-11,491651,1400,7.3446089415696125,4.482758620689656
2020-06-12,495377,1395,7.318378195349722,5.727272727272728
2020-06-13,497029,1421,7.454778075693157,2.25
2020-06-14,498150,1439,7.549208762084767,5.533333333333332
2020-06-15,501823,1439,7.549208762084767,6.117647058823528
2020-06-16,505846,1439,7.549208762084767,4.3023255813953485
2020-06-17,509882,1433,7.517731866620897,3.947368421052632
2020-06-18,514285,1497,7.8534854182355085,4.088235294117647
2020-06-19,517859,1568,8.225962014557966,3.2432432432432434
2020-06-20,519558,1599,8.388592641121294,3.9375
2020-06-21,520871,1624,8.51974637222075,3.2857142857142856
2020-06-22,524781,1619,8.493515626000859,4.379310344827586
2020-06-23,529348,1655,8.682376998784077,4.264150943396227
2020-06-24,533635,1706,8.949930610226971,3.6101694915254243
2020-06-25,537682,1721,9.028622848886645,4.957446808510638
2020-06-26,542215,1813,9.511268579332649,3.513888888888889
2020-06-27,544769,2052,10.76509824864346,5.625
2020-06-28,547192,2341,12.281235380153186,2.845360824742268
2020-06-29,551677,2492,13.073403915993909,6.083333333333332
2020-06-30,556089,2574,13.50358815400013,5.54054054054054
2020-07-01,560682,2556,13.40915746760852,4.590163934426228
2020-07-02,565347,2612,13.702941825271303,4.407407407407407
2020-07-03,570456,2666,13.986233884446133,4.287356321839081
2020-07-04,572143,2732,14.3324797345487,5.065217391304348
2020-07-05,573667,2764,14.500356510356006,3.4736842105263164
2020-07-06,575381,2783,14.600033345991594,7.224137931034483
2020-07-07,579540,2799,14.683971733895245,4.508771929824562
2020-07-08,584946,2732,14.3324797345487,4.9818181818181815
2020-07-09,589628,2695,14.138372212521505,5.35
2020-07-10,594961,2724,14.290510540596877,6.037037037037037
2020-07-11,597282,2632,13.807864810150873,4.137931034482759
2020-07-12,599069,2541,13.330465228948846,4.95
