datum;kumulativni_pocet_nakazenych;kumulativni_pocet_vylecenych;kumulativni_pocet_umrti;kumulativni_pocet_testu;test;test_hodo;I_d;I_d_hodo;I_d_day;I_d_day_hodo
2020-01-27;0;0;0;20;20;0.104922985;0;0;0;0
2020-01-28;0;0;0;28;8;0.041969194;0;0;0;0
2020-01-29;0;0;0;33;5;0.026230746;0;0;0;0
2020-01-30;0;0;0;34;1;0.005246149;0;0;0;0
2020-01-31;0;0;0;37;3;0.015738448;0;0;0;0
2020-02-01;0;0;0;38;1;0.005246149;0;0;0;0
2020-02-02;0;0;0;43;5;0.026230746;0;0;0;0
2020-02-03;0;0;0;48;5;0.026230746;0;0;0;0
2020-02-04;0;0;0;53;5;0.026230746;0;0;0;0
2020-02-05;0;0;0;53;0;0;0;0;0;0
2020-02-06;0;0;0;56;3;0.015738448;0;0;0;0
2020-02-07;0;0;0;62;6;0.031476895;0;0;0;0
2020-02-08;0;0;0;62;0;0;0;0;0;0
2020-02-09;0;0;0;64;2;0.010492298;0;0;0;0
2020-02-10;0;0;0;72;8;0.041969194;0;0;0;0
2020-02-11;0;0;0;74;2;0.010492298;0;0;0;0
2020-02-12;0;0;0;75;1;0.005246149;0;0;0;0
2020-02-13;0;0;0;76;1;0.005246149;0;0;0;0
2020-02-14;0;0;0;76;0;0;0;0;0;0
2020-02-15;0;0;0;77;1;0.005246149;0;0;0;0
2020-02-16;0;0;0;78;1;0.005246149;0;0;0;0
2020-02-17;0;0;0;80;2;0.010492298;0;0;0;0
2020-02-18;0;0;0;80;0;0;0;0;0;0
2020-02-19;0;0;0;82;2;0.010492298;0;0;0;0
2020-02-20;0;0;0;82;0;0;0;0;0;0
2020-02-21;0;0;0;82;0;0;0;0;0;0
2020-02-22;0;0;0;83;1;0.005246149;0;0;0;0
2020-02-23;0;0;0;86;3;0.015738448;0;0;0;0
2020-02-24;0;0;0;98;12;0.062953791;0;0;0;0
2020-02-25;0;0;0;112;14;0.073446089;0;0;0;0
2020-02-26;0;0;0;135;23;0.120661433;0;0;0;0
2020-02-27;0;0;0;170;35;0.183615224;0;0;0;0
2020-02-28;0;0;0;193;23;0.120661433;0;0;0;0
