datum,Litovel,Lit_Hodo
2020-03-10,2,11.4
2020-03-11,2,11.4
2020-03-12,3,17.1
2020-03-13,5,28.5
2020-03-14,5,28.5
2020-03-15,13,74.1
2020-03-16,13,74.1
2020-03-17,13,74.1
2020-03-18,25,142.5
2020-03-19,29,165.3
2020-03-20,33,188.1
2020-03-21,37,210.9
2020-03-22,38,216.6
2020-03-23,46,262.2
2020-03-24,52,296.4
2020-03-25,52,296.4
2020-03-26,52,296.4
2020-03-27,72,410.4
2020-03-28,79,450.3
2020-03-29,79,450.3
2020-03-30,82,467.4
2020-03-31,92,524.4
2020-04-01,92,524.4
2020-04-02,98,558.6
2020-04-03,100,570.0
2020-04-04,103,587.1
2020-04-05,107,609.9
2020-04-06,107,609.9
2020-04-07,107,609.9
2020-04-09,114,649.8
2020-04-10,114,649.8
2020-04-11,115,655.5
2020-04-13,117,666.9
2020-04-15,117,666.9
2020-04-16,117,666.9
2020-04-19,117,666.9
2020-04-20,117,666.9
