id,name,weight
0,Layer.FAMILY_INSIDE,1
1,Layer.FAMILY_IN_HOUSE,1
2,Layer.FAMILY_VISITORS_TO_VISITED,1
3,Layer.NURSARY_CHILDREN_INCLASS,1
4,Layer.NURSARY_TEACHERS_TO_CHILDREN,1
5,Layer.LOWER_ELEMENTARY_CHILDREN_INCLASS,1
6,Layer.LOWER_ELEMENTARY_TEACHERS_TO_CHILDREN,1
7,Layer.HIGHER_ELEMENTARY_CHILDREN_INCLASS,1
8,Layer.HIGHER_ELEMENTARY_TEACHERS_TO_CHILDREN,1
9,Layer.HIGHSCHOOL_CHILDREN_INCLASS,1
10,Layer.HIGHSCHOOL_TEACHERS_TO_CHILDREN,1
11,Layer.NURSARY_CHILDREN_CORIDORS,1
12,Layer.ELEMENTARY_CHILDREN_CORIDORS,1
13,Layer.HIGHSCHOOL_CHILDREN_CORIDORS,1
14,Layer.NURSARY_TEACHERS,1
15,Layer.ELEMENTARY_TEACHERS,1
16,Layer.HIGHSCHOOL_TEACHERS,1
17,Layer.LEISURE_OUTDOOR,1
18,Layer.LEISURE_VISIT,1
19,Layer.LEISURE_PUB,1
20,Layer.WORK_CONTACTS,1
21,Layer.WORK_WORKERS_TO_CLIENTS_DISTANT,1
22,Layer.WORK_WORKERS_TO_CLIENTS_PHYSICAL_SHORT,1
23,Layer.WORK_WORKERS_TO_CLIENTS_PHYSICAL_LONG,1
24,Layer.PUBLIC_TRANSPORT,1
25,Layer.SHOPS_CUSTOMERS,1
26,Layer.SHOPS_WORKERS_TO_CLIENTS,1
27,Layer.PUBS_CUSTOMERS,1
28,Layer.PUBS_WORKERS_TO_CLIENTS,1
29,Layer.OTHER,1
30,Layer.SUPERSPREADER,1
31,Layer.FOOTBAL,1
32,Layer.PARTY_1,1
33,Layer.PARTY_2,1
34,Layer.PARTY_3,1
