id,x,y,town,type,data
0,1000699.8,784681.72,Raná,apartment,{}
1,1000707.43,784592.64,Raná,apartment,{}
2,1000741.34,784696.26,Raná,apartment,{}
3,1000718.09,784451.11,Raná,apartment,{}
4,1000880.11,783109.51,Raná,apartment,{}
5,1000851.63,783136.24,Raná,apartment,{}
6,1000830.02,783155.2,Raná,apartment,{}
7,1000809.54,783181.19,Raná,apartment,{}
8,1000780.75,783202.07,Raná,apartment,{}
9,1000770.3,783247.82,Raná,apartment,{}
10,1000747.14,783252.02,Raná,apartment,{}
11,1001032.44,783032.53,Raná,apartment,{}
12,1000688.5,783233.31,Raná,apartment,{}
13,1000754.05,783155.21,Raná,apartment,{}
14,1000723.83,782925.67,Raná,apartment,{}
15,1000723.83,782925.67,Raná,apartment,{}
16,1000723.83,782925.67,Raná,apartment,{}
17,1000803.19,783101.4,Raná,apartment,{}
18,1000776.25,783168.93,Raná,apartment,{}
19,1000848.16,783091.7,Raná,apartment,{}
20,1000833.97,783012.14,Raná,apartment,{}
21,1000895.95,783057.89,Raná,apartment,{}
22,1000952.95,783000.4,Raná,apartment,{}
23,1000955.1,783037.76,Raná,apartment,{}
24,1000955.1,783037.76,Raná,apartment,{}
25,1000959.95,783059.94,Raná,apartment,{}
26,1000960.84,783072.28,Raná,apartment,{}
27,1000983.61,783062.73,Raná,apartment,{}
28,1000965.56,783081.97,Raná,apartment,{}
29,1000975.42,782942.91,Raná,apartment,{}
30,1000749.3,783284.3,Raná,apartment,{}
31,1001049.81,783064.87,Raná,apartment,{}
32,1001070.33,783067.91,Raná,apartment,{}
33,1001125.95,783072.96,Raná,apartment,{}
34,1000949.14,783116.65,Raná,apartment,{}
35,1001199.58,783083.68,Raná,apartment,{}
36,1000980.33,782818.48,Raná,apartment,{}
37,1000980.33,782818.48,Raná,apartment,{}
38,1001049.36,782869.19,Raná,apartment,{}
39,1000772.54,783129.74,Raná,apartment,{}
40,1000990.0,782927.83,Raná,apartment,{}
41,1000886.26,783063.6,Raná,apartment,{}
42,1001097.33,783072.11,Raná,apartment,{}
43,1000994.48,782843.41,Raná,apartment,{}
44,1000994.48,782843.41,Raná,apartment,{}
45,1000757.28,783098.95,Raná,apartment,{}
46,1000771.18,783015.32,Raná,apartment,{}
47,1000771.18,783015.32,Raná,apartment,{}
48,1000770.14,783037.46,Raná,apartment,{}
49,1000771.15,782995.59,Raná,apartment,{}
50,1000771.15,782995.59,Raná,apartment,{}
51,1001066.89,782864.04,Raná,apartment,{}
52,1000845.08,783019.74,Raná,apartment,{}
53,1000817.3,782962.84,Raná,apartment,{}
54,1001058.67,782972.0,Raná,apartment,{}
55,1001086.66,782912.83,Raná,apartment,{}
56,1001188.77,782986.88,Raná,apartment,{}
57,1001149.86,782887.12,Raná,apartment,{}
58,1001149.86,782887.12,Raná,apartment,{}
59,1001189.0,782960.0,Raná,apartment,{}
60,1001168.69,782881.99,Raná,apartment,{}
61,1001152.0,782986.99,Raná,apartment,{}
62,1001156.58,782934.03,Raná,apartment,{}
63,1000872.36,782920.19,Raná,apartment,{}
64,1001079.91,782977.98,Raná,apartment,{}
65,1000653.42,783364.07,Raná,apartment,{}
66,1001204.98,782887.76,Raná,apartment,{}
67,1000897.84,782879.95,Raná,apartment,{}
68,1000925.15,782859.35,Raná,apartment,{}
69,1000709.81,783202.79,Raná,apartment,{}
70,1001042.7,783031.21,Raná,apartment,{}
71,1001095.17,782863.74,Raná,apartment,{}
72,1000713.07,783089.51,Raná,apartment,{}
73,1001204.16,783046.25,Raná,apartment,{}
74,1001029.17,782956.85,Raná,apartment,{}
75,1001081.49,783028.87,Raná,apartment,{}
76,1002100.54,781345.51,Raná,apartment,{}
77,1006667.21,788491.27,Postoloprty,apartment,{}
78,1006466.88,787337.58,Postoloprty,apartment,{}
79,1006466.88,787337.58,Postoloprty,apartment,{}
80,1006404.07,787268.99,Postoloprty,apartment,{}
81,1006654.81,788496.57,Postoloprty,apartment,{}
82,1006654.81,788496.57,Postoloprty,apartment,{}
83,1006400.48,787165.63,Postoloprty,apartment,{}
84,1006411.32,787053.27,Postoloprty,apartment,{}
85,1006479.78,787041.16,Postoloprty,apartment,{}
86,1006502.93,787015.67,Postoloprty,apartment,{}
87,1006512.38,787029.86,Postoloprty,apartment,{}
88,1006544.21,787045.96,Postoloprty,apartment,{}
89,1006546.82,787075.63,Postoloprty,apartment,{}
90,1006474.77,787145.53,Postoloprty,apartment,{}
91,1006457.66,787234.36,Postoloprty,apartment,{}
92,1006457.66,787234.36,Postoloprty,apartment,{}
93,1006495.69,787266.21,Postoloprty,apartment,{}
94,1006471.78,787281.21,Postoloprty,apartment,{}
95,1006471.78,787281.21,Postoloprty,apartment,{}
96,1006471.78,787281.21,Postoloprty,apartment,{}
97,1006495.11,787305.03,Postoloprty,apartment,{}
98,1006495.11,787305.03,Postoloprty,apartment,{}
99,1006509.35,787310.62,Postoloprty,apartment,{}
100,1006495.0,787381.8,Postoloprty,apartment,{}
101,1006574.27,787160.62,Postoloprty,apartment,{}
102,1006600.19,788557.33,Postoloprty,apartment,{}
103,1006600.19,788557.33,Postoloprty,apartment,{}
104,1006600.19,788557.33,Postoloprty,apartment,{}
105,1006600.19,788557.33,Postoloprty,apartment,{}
106,1006600.19,788557.33,Postoloprty,apartment,{}
107,1006560.42,788494.76,Postoloprty,apartment,{}
108,1006544.76,788426.25,Postoloprty,apartment,{}
109,1006514.93,787011.39,Postoloprty,apartment,{}
110,1006629.57,787394.49,Postoloprty,apartment,{}
111,1006460.84,787080.55,Postoloprty,apartment,{}
112,1006665.29,788782.26,Postoloprty,apartment,{}
113,1006662.51,788529.56,Postoloprty,apartment,{}
114,1006599.89,787418.2,Postoloprty,apartment,{}
115,1006487.99,787061.59,Postoloprty,apartment,{}
116,1006506.81,787359.2,Postoloprty,apartment,{}
117,1006655.29,788410.0,Postoloprty,apartment,{}
118,1006655.29,788410.0,Postoloprty,apartment,{}
119,1006671.3,788480.31,Postoloprty,apartment,{}
120,1006671.3,788480.31,Postoloprty,apartment,{}
121,1006646.14,788451.3,Postoloprty,apartment,{}
122,1006665.04,788541.96,Postoloprty,apartment,{}
123,1006630.01,788524.74,Postoloprty,apartment,{}
124,1006630.01,788524.74,Postoloprty,apartment,{}
125,1006630.01,788524.74,Postoloprty,apartment,{}
126,1006630.01,788524.74,Postoloprty,apartment,{}
127,1006630.01,788524.74,Postoloprty,apartment,{}
128,1006630.01,788524.74,Postoloprty,apartment,{}
129,1006630.01,788524.74,Postoloprty,apartment,{}
130,1006630.01,788524.74,Postoloprty,apartment,{}
131,1006630.01,788524.74,Postoloprty,apartment,{}
132,1006630.01,788524.74,Postoloprty,apartment,{}
133,1006630.01,788524.74,Postoloprty,apartment,{}
134,1006630.01,788524.74,Postoloprty,apartment,{}
135,1006630.01,788524.74,Postoloprty,apartment,{}
136,1006630.01,788524.74,Postoloprty,apartment,{}
137,1006647.58,788467.91,Postoloprty,apartment,{}
138,1006647.58,788467.91,Postoloprty,apartment,{}
139,1006874.49,788025.93,Postoloprty,apartment,{}
140,1006498.16,787331.73,Postoloprty,apartment,{}
141,1006527.16,787329.44,Postoloprty,apartment,{}
142,1006524.61,787345.72,Postoloprty,apartment,{}
143,1006457.77,787184.14,Postoloprty,apartment,{}
144,1006493.57,787187.67,Postoloprty,apartment,{}
145,1006471.07,787169.56,Postoloprty,apartment,{}
146,1006727.91,789060.31,Postoloprty,apartment,{}
147,1006598.62,787435.75,Postoloprty,apartment,{}
148,1006684.49,788328.4,Postoloprty,apartment,{}
149,1006671.79,788343.92,Postoloprty,apartment,{}
150,1006668.92,788352.41,Postoloprty,apartment,{}
151,1006575.87,787190.46,Postoloprty,apartment,{}
152,1006592.45,787198.99,Postoloprty,apartment,{}
153,1006592.79,787215.3,Postoloprty,apartment,{}
154,1006601.56,787229.15,Postoloprty,apartment,{}
155,1006701.64,788258.19,Postoloprty,apartment,{}
156,1006701.64,788258.19,Postoloprty,apartment,{}
157,1006560.66,787141.31,Postoloprty,apartment,{}
158,1006612.55,787263.95,Postoloprty,apartment,{}
159,1006719.88,789055.8,Postoloprty,apartment,{}
160,1006591.46,787466.15,Postoloprty,apartment,{}
161,1006570.46,787503.78,Postoloprty,apartment,{}
