id,sex,age,ecactivity,worktype,commutetime,town,x,y,apartment
221,F,39,at_home,undef,not commuting,566659,1000699.8,784681.72,0
222,M,9,student,undef,not commuting,566659,1000699.8,784681.72,0
223,M,39,working,public_sector,not commuting,566659,1000699.8,784681.72,0
224,F,81,retired,undef,not commuting,566659,1000699.8,784681.72,0
225,F,15,student,undef,15 to 30 min,566659,1000699.8,784681.72,0
48,F,43,working,construction,15 to 30 min,566659,1000707.43,784592.64,1
49,M,50,at_home,undef,not commuting,566659,1000707.43,784592.64,1
85,M,23,student,undef,less than 15min,566659,1000707.43,784592.64,1
86,M,20,student,undef,30 to 45 mins,566659,1000707.43,784592.64,1
87,F,48,working,construction,not commuting,566659,1000707.43,784592.64,1
38,F,8,student,undef,not commuting,566659,1000707.43,784592.64,1
39,F,29,working,industry,15 to 30 min,566659,1000707.43,784592.64,1
97,M,78,retired,undef,not commuting,566659,1000741.34,784696.26,2
98,M,56,working,industry,less than 15min,566659,1000741.34,784696.26,2
99,F,75,retired,undef,not commuting,566659,1000741.34,784696.26,2
62,M,26,working,public_sector,not commuting,566659,1000718.09,784451.11,3
63,M,59,working,construction,not commuting,566659,1000718.09,784451.11,3
129,F,52,working,construction,not commuting,566659,1000880.11,783109.51,4
130,M,74,retired,undef,not commuting,566659,1000880.11,783109.51,4
131,M,50,at_home,undef,not commuting,566659,1000880.11,783109.51,4
132,M,29,at_home,undef,not commuting,566659,1000880.11,783109.51,4
169,M,39,working,admin_etc,not commuting,566659,1000851.63,783136.24,5
170,M,6,student,undef,not commuting,566659,1000851.63,783136.24,5
171,F,39,at_home,undef,not commuting,566659,1000851.63,783136.24,5
172,M,10,student,undef,not commuting,566659,1000851.63,783136.24,5
8,F,9,student,undef,not commuting,566659,1000830.02,783155.2,6
14,F,29,at_home,undef,not commuting,566659,1000809.54,783181.19,7
13,F,65,retired,undef,not commuting,566659,1000780.75,783202.07,8
91,M,18,student,undef,less than 15min,566659,1000770.3,783247.82,9
92,F,49,at_home,undef,not commuting,566659,1000770.3,783247.82,9
93,M,24,working,health,not commuting,566659,1000770.3,783247.82,9
173,F,2,at_home,undef,not commuting,566659,1000770.3,783247.82,9
174,M,31,working,industry,not commuting,566659,1000770.3,783247.82,9
175,M,7,student,undef,not commuting,566659,1000770.3,783247.82,9
176,F,32,working,industry,less than 15min,566659,1000770.3,783247.82,9
44,F,74,retired,undef,not commuting,566659,1000747.14,783252.02,10
45,M,45,working,public_sector,not commuting,566659,1000747.14,783252.02,10
193,M,28,working,construction,15 to 30 min,566659,1001032.44,783032.53,11
194,F,0,at_home,undef,not commuting,566659,1001032.44,783032.53,11
195,F,3,at_home,undef,not commuting,566659,1001032.44,783032.53,11
196,F,28,at_home,undef,not commuting,566659,1001032.44,783032.53,11
21,M,57,working,public_sector,not commuting,566659,1000688.5,783233.31,12
22,F,71,retired,undef,not commuting,566659,1000688.5,783233.31,12
157,F,34,at_home,undef,not commuting,566659,1000754.05,783155.21,13
158,F,13,student,undef,not commuting,566659,1000754.05,783155.21,13
159,M,8,student,undef,not commuting,566659,1000754.05,783155.21,13
160,M,40,working,construction,15 to 30 min,566659,1000754.05,783155.21,13
185,M,58,working,admin_etc,less than 15min,566659,1000723.83,782925.67,14
186,M,28,working,public_sector,15 to 30 min,566659,1000723.83,782925.67,14
187,F,54,working,health,not commuting,566659,1000723.83,782925.67,14
188,M,31,working,construction,not commuting,566659,1000723.83,782925.67,14
216,F,67,retired,undef,not commuting,566659,1000723.83,782925.67,15
217,M,41,working,industry,not commuting,566659,1000723.83,782925.67,15
218,M,30,working,industry,not commuting,566659,1000723.83,782925.67,15
219,M,74,retired,undef,not commuting,566659,1000723.83,782925.67,15
220,M,35,working,trade_and_moto,not commuting,566659,1000723.83,782925.67,15
12,M,45,working,transportation,not commuting,566659,1000723.83,782925.67,16
68,F,50,working,industry,less than 15min,566659,1000803.19,783101.4,17
69,F,81,retired,undef,not commuting,566659,1000803.19,783101.4,17
226,M,32,working,transportation,not commuting,566659,1000776.25,783168.93,18
227,F,1,at_home,undef,not commuting,566659,1000776.25,783168.93,18
228,F,59,retired,undef,not commuting,566659,1000776.25,783168.93,18
229,M,3,at_home,undef,not commuting,566659,1000776.25,783168.93,18
230,F,31,working,industry,15 to 30 min,566659,1000776.25,783168.93,18
231,M,37,working,education,15 to 30 min,566659,1000776.25,783168.93,18
232,F,37,working,admin_etc,not commuting,566659,1000776.25,783168.93,18
206,F,15,student,undef,less than 15min,566659,1000848.16,783091.7,19
207,M,38,working,industry,not commuting,566659,1000848.16,783091.7,19
208,F,58,working,construction,not commuting,566659,1000848.16,783091.7,19
209,M,12,student,undef,not commuting,566659,1000848.16,783091.7,19
210,M,63,retired,undef,not commuting,566659,1000848.16,783091.7,19
64,F,39,working,admin_etc,not commuting,566659,1000833.97,783012.14,20
65,F,10,student,undef,not commuting,566659,1000833.97,783012.14,20
