id,sex, age, ecactivity, worktype, commutetime, town, x, y, apartment
0,F,52,working,tradeandmoto,not commuting,Ho,-564127,-1.20171e+06,1968
1,M,55,retired,undef,not commuting,Ho,-564127,-1.20171e+06,1968
2,M,50,at home,undef,not commuting,Ho,-564127,-1.20171e+06,1968
3,M,32,working,industry,not commuting,Ho,-564127,-1.20171e+06,1968
4,F,76,working,industry,not commuting,Ho,-563915,-1.2027e+06,9690
5,M,42,at home,undef,not commuting,Ho,-565830,-1.20221e+06,4998
6,F,45,working,eatinghousing,not commuting,Ho,-565255,-1.20153e+06,2713
7,M,18,student,undef,not commuting,Ho,-565255,-1.20153e+06,2713
8,M,47,working,adminetc,not commuting,Ho,-565255,-1.20153e+06,2713
9,M,25,at home,undef,not commuting,Ho,-565255,-1.20153e+06,2713
10,M,51,at home,undef,not commuting,Ho,-564420,-1.20171e+06,3676
11,M,32,working,education,not commuting,Ho,-563976,-1.20183e+06,1149
12,M,38,working,industry,not commuting,Ho,-563700,-1.20264e+06,8271
13,F,19,student,undef,not commuting,Ho,-565463,-1.20203e+06,2209
14,F,43,working,tradeandmoto,not commuting,Ho,-565463,-1.20203e+06,2209
15,M,21,working,construction,15 to 30 min,Ho,-565663,-1.20218e+06,4816
16,F,23,student,undef,15 to 30 min,Ho,-565663,-1.20218e+06,4816
17,F,81,retired,undef,not commuting,Ho,-563378,-1.20159e+06,5995
18,M,55,retired,undef,not commuting,Ho,-563378,-1.20159e+06,5995
19,F,70,retired,undef,not commuting,Ho,-563966,-1.2018e+06,1970
20,F,30,at home,undef,not commuting,Ho,-564354,-1.20314e+06,5183
21,M,83,retired,undef,not commuting,Ho,-564649,-1.20288e+06,1751
22,M,57,working,tradeandmoto,not commuting,Ho,-564649,-1.20288e+06,1751
23,M,81,retired,undef,not commuting,Ho,-563712,-1.2029e+06,9058
24,F,79,retired,undef,not commuting,Ho,-563712,-1.2029e+06,9058
25,F,40,working,industry,not commuting,Ho,-564584,-1.20153e+06,10533
26,M,21,working,tradeandmoto,not commuting,Ho,-564584,-1.20153e+06,10533
27,F,37,at home,undef,not commuting,Ho,-563708,-1.20295e+06,9152
28,M,48,at home,undef,not commuting,Ho,-563045,-1.20176e+06,1649
29,M,35,working,industry,not commuting,Ho,-564354,-1.20314e+06,5176
30,F,50,working,adminetc,not commuting,Ho,-564354,-1.20314e+06,5176
31,M,52,working,eatinghousing,not commuting,Ho,-563661,-1.20221e+06,7497
32,F,67,retired,undef,not commuting,Ho,-563644,-1.20265e+06,8817
33,M,65,retired,undef,not commuting,Ho,-563378,-1.20159e+06,5927
34,M,24,at home,undef,not commuting,Ho,-565603,-1.20173e+06,2376
