datum,pocet_den,pocet_celkem,I_d,pocet_celkem_hodo
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,3,3,0.015738728,0.015738728
2020-03-02,0,3,0,0.015738728
2020-03-03,2,5,0.010492486,0.026231214
2020-03-04,0,5,0,0.026231214
2020-03-05,3,8,0.015738728,0.041969942
2020-03-06,11,19,0.05770867,0.099678612
2020-03-07,7,26,0.036723699,0.136402312
2020-03-08,6,32,0.031477457,0.167879768
2020-03-09,6,38,0.031477457,0.199357225
2020-03-10,25,63,0.131156069,0.330513294
2020-03-11,31,94,0.162633525,0.493146819
2020-03-12,22,116,0.115417341,0.60856416
2020-03-13,25,141,0.131156069,0.739720228
2020-03-14,48,189,0.251819652,0.991539881
2020-03-15,109,298,0.57184046,1.563380341
2020-03-16,85,383,0.445930634,2.009310975
2020-03-17,67,450,0.351498265,2.36080924
2020-03-18,110,560,0.577086703,2.937895943
2020-03-19,205,765,1.075479765,4.013375707
2020-03-20,124,889,0.650534102,4.663909809
2020-03-21,158,1047,0.828906355,5.492816164
2020-03-22,114,1161,0.598071674,6.090887838
2020-03-23,126,1287,0.661026587,6.751914426
2020-03-24,185,1472,0.97055491,7.722469335
2020-03-25,291,1763,1.526656642,9.249125977
2020-03-26,259,2022,1.358776874,10.60790285
2020-03-27,373,2395,1.956848548,12.5647514
2020-03-28,262,2657,1.374515602,13.939267
2020-03-29,160,2817,0.839398841,14.77866584
2020-03-30,184,3001,0.965308667,15.74397451
2020-03-31,307,3308,1.610596526,17.35457103
2020-04-01,281,3589,1.474194214,18.82876525
2020-04-02,269,3858,1.411239301,20.24000455
2020-04-03,332,4190,1.741752595,21.98175714
2020-04-04,282,4472,1.479440457,23.4611976
2020-04-05,115,4587,0.603317917,24.06451552
2020-04-06,235,4822,1.232867047,25.29738256
2020-04-07,195,5017,1.023017337,26.3203999
2020-04-08,295,5312,1.547641613,27.86804151
2020-04-09,257,5569,1.348284388,29.2163259
2020-04-10,163,5732,0.855137569,30.07146347
2020-04-11,170,5902,0.891861268,30.96332474
2020-04-12,89,5991,0.466915605,31.43024034
2020-04-13,68,6059,0.356744507,31.78698485
2020-04-14,82,6141,0.430191906,32.21717676
2020-04-15,160,6301,0.839398841,33.0565756
2020-04-16,132,6433,0.692504044,33.74907964
2020-04-17,116,6549,0.60856416,34.3576438
2020-04-18,105,6654,0.550855489,34.90849929
2020-04-19,92,6746,0.482654333,35.39115362
2020-04-20,154,6900,0.807921384,36.19907501
2020-04-21,133,7033,0.697750286,36.8968253
2020-04-22,99,7132,0.519378033,37.41620333
2020-04-23,55,7187,0.288543352,37.70474668
2020-04-24,86,7273,0.451176877,38.15592356
2020-04-25,79,7352,0.414453178,38.57037673
2020-04-26,52,7404,0.272804623,38.84318136
2020-04-27,41,7445,0.215095953,39.05827731
2020-04-28,59,7504,0.309528323,39.36780563
2020-04-29,75,7579,0.393468207,39.76127384
2020-04-30,103,7682,0.540363004,40.30163684
2020-05-01,55,7737,0.288543352,40.59018019
2020-05-02,18,7755,0.09443237,40.68461256
2020-05-03,26,7781,0.136402312,40.82101488
2020-05-04,38,7819,0.199357225,41.0203721
2020-05-05,77,7896,0.403960692,41.42433279
2020-05-06,78,7974,0.409206935,41.83353973
2020-05-07,57,8031,0.299035837,42.13257556
2020-05-08,46,8077,0.241327167,42.37390273
2020-05-09,18,8095,0.09443237,42.4683351
2020-05-10,28,8123,0.146894797,42.6152299
2020-05-11,53,8176,0.278050866,42.89328076
