datum,Olomouc,Ol_Hodo
2020-03-10,1,0.6
2020-03-11,1,0.6
2020-03-12,1,0.6
2020-03-13,1,0.6
2020-03-14,2,1.1
2020-03-15,2,1.1
2020-03-16,2,1.1
2020-03-17,2,1.1
2020-03-18,2,1.1
2020-03-19,2,1.1
2020-03-20,2,1.1
2020-03-21,4,2.2
2020-03-22,4,2.2
2020-03-23,8,4.5
2020-03-24,16,9.0
2020-03-25,19,10.6
2020-03-26,50,28.0
2020-03-27,46,25.8
2020-03-28,66,37.0
2020-03-29,72,40.3
2020-03-30,93,52.1
2020-03-31,102,57.1
2020-04-01,116,65.0
2020-04-02,144,80.6
2020-04-03,157,87.9
2020-04-04,157,87.9
2020-04-05,182,101.9
2020-04-06,182,101.9
2020-04-07,196,109.8
2020-04-09,215,120.4
2020-04-10,229,128.2
2020-04-11,234,131.0
2020-04-13,237,132.7
2020-04-15,237,132.7
2020-04-16,240,134.4
2020-04-19,257,143.9
2020-04-20,258,144.5
