id,sex, age, ecactivity, worktype, commutetime, town, x, y, apartment
0,F,52,working,tradeandmoto,not commuting,Ho,-564818,-1.20172e+06,4456
1,M,55,retired,undef,not commuting,Ho,-564818,-1.20172e+06,4456
2,M,50,at home,undef,not commuting,Ho,-564818,-1.20172e+06,4456
3,M,32,working,industry,not commuting,Ho,-564818,-1.20172e+06,4456
4,F,76,working,industry,not commuting,Ho,-563611,-1.2024e+06,7883
5,M,42,at home,undef,not commuting,Ho,-563751,-1.20307e+06,9278
6,F,45,working,eatinghousing,not commuting,Ho,-564558,-1.20215e+06,1263
7,M,18,student,undef,not commuting,Ho,-564558,-1.20215e+06,1263
8,M,47,working,adminetc,not commuting,Ho,-564558,-1.20215e+06,1263
9,M,25,at home,undef,not commuting,Ho,-564558,-1.20215e+06,1263
10,M,51,at home,undef,not commuting,Ho,-564189,-1.20283e+06,154
11,M,32,working,education,not commuting,Ho,-563826,-1.20274e+06,8570
12,M,38,working,industry,not commuting,Ho,-565331,-1.20165e+06,2770
13,F,19,student,undef,not commuting,Ho,-564668,-1.20198e+06,320
14,F,43,working,tradeandmoto,not commuting,Ho,-564668,-1.20198e+06,320
15,M,21,working,construction,15 to 30 min,Ho,-565039,-1.20165e+06,4523
16,F,23,student,undef,15 to 30 min,Ho,-565039,-1.20165e+06,4523
17,F,81,retired,undef,not commuting,Ho,-563613,-1.2018e+06,5510
18,M,55,retired,undef,not commuting,Ho,-563613,-1.2018e+06,5510
19,F,70,retired,undef,not commuting,Ho,-563613,-1.2018e+06,5545
20,F,30,at home,undef,not commuting,Ho,-563232,-1.20163e+06,6932
21,M,83,retired,undef,not commuting,Ho,-563659,-1.20235e+06,7715
22,M,57,working,tradeandmoto,not commuting,Ho,-563659,-1.20235e+06,7715
23,M,81,retired,undef,not commuting,Ho,-564294,-1.20179e+06,2037
24,F,79,retired,undef,not commuting,Ho,-564294,-1.20179e+06,2037
25,F,40,working,industry,not commuting,Ho,-564917,-1.20184e+06,4199
26,M,21,working,tradeandmoto,not commuting,Ho,-564917,-1.20184e+06,4199
27,F,37,at home,undef,not commuting,Ho,-564631,-1.20218e+06,1109
28,M,48,at home,undef,not commuting,Ho,-564189,-1.20283e+06,156
29,M,35,working,industry,not commuting,Ho,-564008,-1.20251e+06,10328
30,F,50,working,adminetc,not commuting,Ho,-564008,-1.20251e+06,10328
31,M,52,working,eatinghousing,not commuting,Ho,-564690,-1.20221e+06,1199
32,F,67,retired,undef,not commuting,Ho,-565702,-1.20171e+06,2930
33,M,65,retired,undef,not commuting,Ho,-563614,-1.20255e+06,8047
34,M,24,at home,undef,not commuting,Ho,-564405,-1.20177e+06,2561
35,F,21,working,construction,not commuting,Ho,-564405,-1.20177e+06,2561
36,M,0,at home,undef,not commuting,Ho,-564405,-1.20177e+06,2561
37,F,52,working,health,not commuting,Ho,-563949,-1.20335e+06,90
38,F,21,at home,undef,not commuting,Ho,-563949,-1.20335e+06,90
39,M,43,at home,undef,not commuting,Ho,-563232,-1.20163e+06,6931
40,F,0,at home,undef,not commuting,Ho,-564354,-1.20314e+06,5184
41,F,22,student,undef,30 to 45 mins,Ho,-564354,-1.20314e+06,5184
42,F,31,working,construction,not commuting,Ho,-564791,-1.20187e+06,4376
43,M,10,student,undef,not commuting,Ho,-564791,-1.20187e+06,4376
44,M,40,working,construction,not commuting,Ho,-564791,-1.20187e+06,4376
45,M,50,working,tradeandmoto,15 to 30 min,Ho,-563862,-1.2024e+06,9826
46,F,44,working,education,not commuting,Ho,-564972,-1.20186e+06,4257
47,M,21,at home,undef,not commuting,Ho,-564972,-1.20186e+06,4257
48,M,24,student,undef,15 to 30 min,Ho,-564972,-1.20186e+06,4257
49,M,9,student,undef,not commuting,Ho,-564972,-1.20186e+06,4257
50,F,23,at home,undef,not commuting,Ho,-564972,-1.20186e+06,4257
51,F,61,retired,undef,not commuting,Ho,-563767,-1.20298e+06,9423
52,M,76,retired,undef,not commuting,Ho,-563663,-1.20281e+06,8710
53,F,27,working,education,not commuting,Ho,-564100,-1.20228e+06,380
54,M,2,at home,undef,not commuting,Ho,-564100,-1.20228e+06,380
55,M,13,student,undef,not commuting,Ho,-563477,-1.20168e+06,5767
56,F,33,at home,undef,not commuting,Ho,-563477,-1.20168e+06,5767
57,F,10,student,undef,not commuting,Ho,-563477,-1.20168e+06,5767
58,F,10,student,undef,not commuting,Ho,-563477,-1.20168e+06,5767
59,M,38,working,industry,not commuting,Ho,-563425,-1.20167e+06,5790
60,F,54,working,tradeandmoto,not commuting,Ho,-562092,-1.20165e+06,10223
61,M,33,at home,undef,not commuting,Ho,-562092,-1.20165e+06,10223
62,M,31,at home,undef,not commuting,Ho,-562092,-1.20165e+06,10223
63,F,30,working,health,not commuting,Ho,-563885,-1.20292e+06,9490
64,M,35,working,tradeandmoto,not commuting,Ho,-563885,-1.20292e+06,9490
65,M,12,student,undef,not commuting,Ho,-563885,-1.20292e+06,9490
66,F,11,student,undef,not commuting,Ho,-563885,-1.20292e+06,9490
67,F,49,working,industry,not commuting,Ho,-564791,-1.20187e+06,4373
68,M,55,working,adminetc,not commuting,Ho,-564791,-1.20187e+06,4373
69,F,47,working,publicsector,not commuting,Ho,-564694,-1.20265e+06,6989
70,F,20,working,eatinghousing,not commuting,Ho,-564694,-1.20265e+06,6989
71,M,22,at home,undef,not commuting,Ho,-564694,-1.20265e+06,6989
72,F,50,working,industry,not commuting,Ho,-563901,-1.2033e+06,10429
73,M,55,working,agriculture,60 to 90 mins,Ho,-563901,-1.2033e+06,10429
74,M,100,retired,undef,not commuting,Ho,-563616,-1.20226e+06,7656
75,F,20,student,undef,not commuting,Ho,-563414,-1.20148e+06,6147
76,F,18,student,undef,not commuting,Ho,-563414,-1.20148e+06,6147
77,F,13,student,undef,not commuting,Ho,-563414,-1.20148e+06,6147
78,F,42,working,publicsector,not commuting,Ho,-563414,-1.20148e+06,6147
79,M,30,working,transportation,not commuting,Ho,-564038,-1.20209e+06,6644
80,M,46,working,tradeandmoto,not commuting,Ho,-563679,-1.20256e+06,7975
81,F,79,retired,undef,not commuting,Ho,-563665,-1.20195e+06,6370
82,M,61,working,education,not commuting,Ho,-564628,-1.20269e+06,7077
83,F,58,working,tradeandmoto,not commuting,Ho,-564628,-1.20269e+06,7077
84,F,68,retired,undef,not commuting,Ho,-563383,-1.20153e+06,6023
85,F,20,student,undef,not commuting,Ho,-563843,-1.20262e+06,9857
86,F,22,working,industry,not commuting,Ho,-563843,-1.20262e+06,9857
87,F,2,at home,undef,not commuting,Ho,-563773,-1.20273e+06,8463
88,F,26,at home,undef,not commuting,Ho,-563773,-1.20273e+06,8463
89,M,25,at home,undef,not commuting,Ho,-563773,-1.20273e+06,8463
90,M,17,student,undef,not commuting,Ho,-565407,-1.20208e+06,6919
91,M,28,working,transportation,not commuting,Ho,-565798,-1.20175e+06,7130
92,F,24,student,undef,not commuting,Ho,-565798,-1.20175e+06,7130
93,F,2,at home,undef,not commuting,Ho,-565798,-1.20175e+06,7130
94,F,44,working,health,45 to 60 mins,Ho,-563697,-1.20248e+06,7783
95,M,2,at home,undef,not commuting,Ho,-564058,-1.20291e+06,381
96,F,28,at home,undef,not commuting,Ho,-564058,-1.20291e+06,381
97,M,20,student,undef,not commuting,Ho,-565256,-1.20168e+06,2805
98,F,43,working,adminetc,not commuting,Ho,-565256,-1.20168e+06,2805
99,M,24,student,undef,not commuting,Ho,-565256,-1.20168e+06,2805
100,M,22,at home,undef,not commuting,Ho,-565256,-1.20168e+06,2805
101,F,73,working,tradeandmoto,not commuting,Ho,-563956,-1.20191e+06,1040
102,M,65,retired,undef,not commuting,Ho,-565111,-1.20165e+06,10195
103,F,54,working,adminetc,not commuting,Ho,-565111,-1.20165e+06,10195
104,F,36,working,industry,not commuting,Ho,-565111,-1.20165e+06,10195
105,F,50,at home,undef,not commuting,Ho,-564289,-1.20234e+06,9939
106,M,11,student,undef,not commuting,Ho,-564289,-1.20234e+06,9939
107,F,22,working,industry,not commuting,Ho,-564289,-1.20234e+06,9939
108,M,51,working,tradeandmoto,not commuting,Ho,-564289,-1.20234e+06,9939
109,M,29,at home,undef,not commuting,Ho,-564289,-1.20234e+06,9939
110,F,67,retired,undef,not commuting,Ho,-564929,-1.2017e+06,4096
111,F,74,retired,undef,not commuting,Ho,-564917,-1.20184e+06,4174
112,M,43,at home,undef,not commuting,Ho,-564917,-1.20184e+06,4174
113,M,75,working,industry,not commuting,Ho,-564917,-1.20184e+06,4174
114,F,4,at home,undef,not commuting,Ho,-563767,-1.20298e+06,9395
115,F,29,at home,undef,not commuting,Ho,-563767,-1.20298e+06,9395
116,M,38,working,industry,not commuting,Ho,-565459,-1.20184e+06,2590
117,F,32,working,industry,30 to 45 mins,Ho,-565459,-1.20184e+06,2590
118,F,8,student,undef,not commuting,Ho,-565459,-1.20184e+06,2590
119,M,2,at home,undef,not commuting,Ho,-565459,-1.20184e+06,2590
120,F,37,at home,undef,not commuting,Ho,-565111,-1.20165e+06,10193
121,M,7,student,undef,not commuting,Ho,-565111,-1.20165e+06,10193
122,F,79,retired,undef,not commuting,Ho,-565111,-1.20165e+06,10193
123,M,25,working,education,not commuting,Ho,-565688,-1.20215e+06,8974
124,M,48,working,it,not commuting,Ho,-565688,-1.20215e+06,8974
