id,name,C
0,no_layer,1
1,family_inside,1
2,family_in_house,1
3,family_visitsors_to_visited,0.2
4,nursary_children_inclass,0
5,nursary_teachers_to_children,0
6,lower_elementary_children_inclass,0
7,lower_elementary_teachers_to_children,0
8,higher_elementary_children_inclass,0
9,higher_elementary_teachers_to_children,0
10,highschool_children_inclass,0
11,highschool_teachers_to_children,0
12,nursary_children_coridors,0
13,elementary_children_coridors,0
14,highschool_children_coridors,0
15,nursary_teachers,0
16,elementary_teachers,0
17,highschool_teachers,0
18,leasure_outdoor,0
19,leasure_visit,0
20,leasure_pub,0
21,work_contacts,0.5
22,work_workers_to_clients_distant,0.1
23,work_workers_to_clients_plysical_short,0.1
24,work_workers_to_clients_physical_long,0.1
25,public_transport,0.1
26,shops_customers,0.2
27,shops_workers_to_clients,0.2
28,pubs_customers,0
29,pubs_workers_to_clients,0
30,superspreader,0
