id,name,weight,intensity,Prem 1,Prem 2,
0,no_layer,0,,,,
1,prestavka,1,closerandomcontact,school,school,
2,obed,1,dininingcontact,school,school,
3,druzina,1,closerandomcontact,school,school,
4,lavice_hlavni,1,closelongtermcontact,school,school,
5,mimo_skolu,1,(closelongtermcontact+closeopenair+closerandomcontact)/3,other,other,
6,mimo_jine,1,(closelongtermcontact+closeopenair+closerandomcontact)/4,other,other,
7,lavice_trida,1,closelongtermcontact,school,school,
8,prestavka_jine,1,closelongtermcontact,school,school,
9,lavice_jine,1,(closelongtermcontact+closerandomcontact)/2,school,school,
10,kabinet,1,(closerandomcontact*4+closelongtermcontact)/5,work,work,
11,v_praci,1,closerandomcontact,work,work,
12,mimo_praci,1,(closelongtermcontact+closeopenair+closerandomcontact)/3,other,other,
13,pedagog1A,1,distantlongtermcontact,work,school,(work na straně pedagoga)
14,pedagog1B,1,distantlongtermcontact,work,school,
15,pedagog1C,1,distantlongtermcontact,work,school,
16,pedagog2A,1,distantlongtermcontact,work,school,
17,pedagog2B,1,distantlongtermcontact,work,school,
18,pedagog2C,1,distantlongtermcontact,work,school,
19,pedagog3A,1,distantlongtermcontact,work,school,
20,pedagog3B,1,distantlongtermcontact,work,school,
21,pedagog4A,1,distantlongtermcontact,work,school,
22,pedagog4B,1,distantlongtermcontact,work,school,
23,pedagog5A,1,distantlongtermcontact,work,school,
24,pedagog6A,1,distantlongtermcontact,work,school,
25,pedagog6B,1,distantlongtermcontact,work,school,
26,pedagog6C,1,distantlongtermcontact,work,school,
27,pedagog7A,1,distantlongtermcontact,work,school,
28,pedagog7B,1,distantlongtermcontact,work,school,
29,pedagog7C,1,distantlongtermcontact,work,school,
30,pedagog8A,1,distantlongtermcontact,work,school,
31,pedagog8B,1,distantlongtermcontact,work,school,
32,pedagog8C,1,distantlongtermcontact,work,school,
33,pedagog9A,1,distantlongtermcontact,work,school,
34,pedagog9B,1,distantlongtermcontact,work,school,
35,asistent_trida1A,1,closelongtermcontact,work,school,
36,asistent_trida5A,1,closelongtermcontact,work,school,
37,pedagog3C,1,distantlongtermcontact,work,school,
38,pedagog4C,1,distantlongtermcontact,work,school,
39,pedagog5B,1,distantlongtermcontact,work,school,
40,pedagog5C,1,distantlongtermcontact,work,school,
41,Atletika,1,closerandomcontact,other,other,
42,Basketbal,1,closerandomcontact,other,other,
43,Bricks 4 kidz,1,closerandomcontact,other,other,
44,Dílnička pro holky,1,closerandomcontact,other,other,
45,Florbal,1,closerandomcontact,other,other,
46,Fotbal,1,closerandomcontact,other,other,
47,Hollywood Club,1,closerandomcontact,other,other,
48,Inline bruslení,1,closerandomcontact,other,other,
49,Keramika,1,closerandomcontact,other,other,
50,Kroužky Toscool anglický jazyk,1,closerandomcontact,other,other,
51,Kutilská dílna,1,closerandomcontact,other,other,
52,Kytarový kroužek,1,closerandomcontact,other,other,
53,Latinskoamerické a standardní tance,1,physicalshortterm,other,other,
54,Malý kuchtík,1,closerandomcontact,other,other,
55,Origami,1,closerandomcontact,other,other,
56,Pěstitelské práce,1,closerandomcontact,other,other,
57,Počítačová grafika,1,closerandomcontact,other,other,
58,Pohybový kroužek,1,closerandomcontact,other,other,
59,Primavera (taneční kroužek),1,physicalshortterm,other,other,
60,Příprava k přijímacím zkouškám na SŠ - český jazyk,1,closerandomcontact,other,other,
61,Příprava k přijímacím zkouškám na SŠ - matematika,1,closerandomcontact,other,other,
62,Ragby,1,physicalshortterm,other,other,
63,Šachový kroužek,1,closerandomcontact,other,other,
64,Školní klub,1,closerandomcontact,other,other,
65,Sborový zpěv,1,physicalshortterm,other,other,
66,Taekwon-do,1,physicalshortterm,other,other,
67,Umělecká Výtvarná Výchova,1,closerandomcontact,other,other,
68,Vaření,1,closerandomcontact,other,other,
69,Věda nás baví,1,closerandomcontact,other,other,
70,Vědecké pokusy,1,closerandomcontact,other,other,
71,Volejbal,1,closerandomcontact,other,other,
72,1A,1,closerandomcontact,,
73,1B,1,closerandomcontact,,
74,1C,1,closerandomcontact,,
75,2A,1,closerandomcontact,,
76,2B,1,closerandomcontact,,
77,2C,1,closerandomcontact,,
78,3A,1,closerandomcontact,,
79,3B,1,closerandomcontact,,
80,3C,1,closerandomcontact,,
81,4A,1,closerandomcontact,,
82,4B,1,closerandomcontact,,
83,4C,1,closerandomcontact,,
84,5A,1,closerandomcontact,,
85,5B,1,closerandomcontact,,
86,5C,1,closerandomcontact,,
87,6A,1,closerandomcontact,,
88,6B,1,closerandomcontact,,
89,6C,1,closerandomcontact,,
90,7A,1,closerandomcontact,,
91,7B,1,closerandomcontact,,
92,7C,1,closerandomcontact,,
93,8A,1,closerandomcontact,,
94,8B,1,closerandomcontact,,
95,8C,1,closerandomcontact,,
96,9A,1,closerandomcontact,,
97,9B,1,closerandomcontact,,
