layer,sublayer,vertex1,vertex2,vertex1_class,vertex2_class,proba_text,proba_value,hours_a_week,intensity
1,0,25,8,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,25,9,1A,1A,Občas,1.0,,0.031870115278543
1,0,25,12,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,25,17,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,25,18,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,25,21,1A,1A,Občas,1.0,,0.031870115278543
1,0,25,26,1A,1A,Občas,1.0,,0.031870115278543
1,0,25,29,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,25,30,1A,1A,Občas,1.0,,0.031870115278543
1,0,28,20,1A,1A,Občas,1.0,,0.031870115278543
1,0,28,22,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,28,24,1A,1A,Občas,1.0,,0.031870115278543
1,0,27,2,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,27,5,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,27,6,1A,1A,Občas,1.0,,0.031870115278543
1,0,27,7,1A,1A,Občas,1.0,,0.031870115278543
1,0,27,9,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,27,10,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,27,11,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,27,12,1A,1A,Občas,1.0,,0.031870115278543
1,0,27,16,1A,1A,Občas,1.0,,0.031870115278543
1,0,27,17,1A,1A,Občas,1.0,,0.031870115278543
1,0,27,26,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,27,33,1A,1A,Občas,1.0,,0.031870115278543
1,0,9,2,1A,1A,Občas,1.0,,0.031870115278543
1,0,9,3,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,9,5,1A,1A,Občas,1.0,,0.031870115278543
1,0,9,6,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,9,7,1A,1A,Občas,1.0,,0.031870115278543
1,0,10,9,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,11,9,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,9,12,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,9,14,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,9,15,1A,1A,Občas,1.0,,0.031870115278543
1,0,9,16,1A,1A,Občas,1.0,,0.031870115278543
1,0,17,9,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,21,9,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,9,23,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,9,26,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,9,29,1A,1A,Občas,1.0,,0.031870115278543
1,0,9,30,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,9,33,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,2,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,3,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,4,1,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,5,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,6,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,7,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,8,1A,1A,Občas,1.0,,0.031870115278543
1,0,1,9,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,10,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,11,1,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,1,12,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,13,1A,1A,Občas,1.0,,0.031870115278543
1,0,1,14,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,15,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,16,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,17,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,18,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,19,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,20,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,21,1,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,22,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,23,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,24,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,25,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,26,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,27,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,28,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,29,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,30,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,1,31,1A,1A,Občas,1.0,,0.031870115278543
1,0,32,1,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,33,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,23,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,15,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,1,2,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,17,6,1A,1A,Občas,1.0,,0.031870115278543
1,0,17,7,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,17,10,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,17,11,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,17,12,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,17,16,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,17,18,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,17,26,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,17,29,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,17,33,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,31,8,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,24,20,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,24,22,1A,1A,Málo kdy,1.0,,0.031870115278543
1,0,21,2,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,21,3,1A,1A,Několikrát za den,3.0,,0.031870115278543
1,0,21,4,1A,1A,Občas,1.0,,0.031870115278543
1,0,21,5,1A,1A,Občas,1.0,,0.031870115278543
1,0,21,6,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,21,7,1A,1A,Jednou za den,2.0,,0.031870115278543
1,0,21,8,1A,1A,Občas,1.0,,0.031870115278543
