layer,sublayer,vertex1,vertex2,probability,intensity
1,0,25,8,0.2,1.0
1,0,25,9,0.2,1.0
1,0,25,12,0.2,1.0
1,0,25,17,1.0,1.0
1,0,25,18,1.0,4.0
1,0,25,21,0.2,1.0
1,0,25,26,0.2,1.0
1,0,25,29,1.0,4.0
1,0,25,30,0.2,1.0
1,0,28,20,0.2,1.0
1,0,28,22,0.2,1.0
1,0,28,24,0.2,1.0
1,0,27,2,1.0,1.0
1,0,27,5,1.0,1.0
1,0,27,6,0.2,1.0
1,0,27,7,0.2,1.0
1,0,27,9,1.0,4.0
1,0,27,10,1.0,4.0
1,0,27,11,1.0,4.0
1,0,27,12,0.2,1.0
1,0,27,16,0.2,1.0
1,0,27,17,0.2,1.0
1,0,27,26,0.2,1.0
1,0,27,33,0.2,1.0
1,0,9,2,0.2,1.0
1,0,9,3,1.0,1.0
1,0,9,5,0.2,1.0
1,0,9,6,1.0,4.0
1,0,9,7,0.2,1.0
1,0,10,9,1.0,4.0
1,0,11,9,1.0,4.0
1,0,9,12,1.0,4.0
1,0,9,14,0.2,1.0
1,0,9,15,0.2,1.0
1,0,9,16,0.2,1.0
1,0,17,9,0.2,1.0
1,0,21,9,1.0,1.0
1,0,9,23,0.2,1.0
1,0,9,26,1.0,4.0
1,0,9,29,0.2,1.0
1,0,9,30,0.2,1.0
1,0,9,33,1.0,1.0
1,0,1,2,1.0,4.0
1,0,1,3,1.0,4.0
1,0,4,1,1.0,4.0
1,0,1,5,1.0,4.0
1,0,1,6,1.0,4.0
1,0,1,7,1.0,4.0
1,0,1,8,0.2,1.0
1,0,1,9,1.0,4.0
1,0,1,10,1.0,4.0
1,0,11,1,0.2,1.0
1,0,1,12,1.0,1.0
1,0,1,13,0.2,1.0
1,0,1,14,1.0,4.0
1,0,1,15,1.0,4.0
1,0,1,16,1.0,1.0
1,0,1,17,1.0,4.0
1,0,1,18,1.0,1.0
1,0,1,19,1.0,4.0
1,0,1,20,1.0,1.0
1,0,21,1,1.0,4.0
1,0,1,22,1.0,1.0
1,0,1,23,1.0,4.0
1,0,1,24,1.0,1.0
1,0,1,25,1.0,1.0
