layer,sublayer,vertex1,vertex2,probability,intensity
1,0,25,8,0.1,0.031870115278543
1,0,25,9,0.4,0.031870115278543
1,0,25,12,0.1,0.031870115278543
1,0,25,17,1.0,0.031870115278543
1,0,25,18,1.0,0.04146397594265338
1,0,25,21,0.4,0.031870115278543
1,0,25,26,0.4,0.031870115278543
1,0,25,29,1.0,0.04146397594265338
1,0,25,30,0.4,0.031870115278543
1,0,28,20,0.4,0.031870115278543
1,0,28,22,0.1,0.031870115278543
1,0,28,24,0.4,0.031870115278543
1,0,27,2,1.0,0.031870115278543
1,0,27,5,1.0,0.031870115278543
1,0,27,6,0.4,0.031870115278543
1,0,27,7,0.4,0.031870115278543
1,0,27,9,1.0,0.04146397594265338
1,0,27,10,1.0,0.04146397594265338
1,0,27,11,1.0,0.04146397594265338
1,0,27,12,0.4,0.031870115278543
1,0,27,16,0.4,0.031870115278543
1,0,27,17,0.4,0.031870115278543
1,0,27,26,0.1,0.031870115278543
1,0,27,33,0.4,0.031870115278543
1,0,9,2,0.4,0.031870115278543
1,0,9,3,1.0,0.031870115278543
1,0,9,5,0.4,0.031870115278543
1,0,9,6,1.0,0.04146397594265338
1,0,9,7,0.4,0.031870115278543
1,0,10,9,1.0,0.04146397594265338
1,0,11,9,1.0,0.04146397594265338
1,0,9,12,1.0,0.04146397594265338
1,0,9,14,0.1,0.031870115278543
1,0,9,15,0.4,0.031870115278543
1,0,9,16,0.4,0.031870115278543
1,0,17,9,0.1,0.031870115278543
1,0,21,9,1.0,0.031870115278543
1,0,9,23,0.1,0.031870115278543
1,0,9,26,1.0,0.04146397594265338
1,0,9,29,0.4,0.031870115278543
1,0,9,30,0.1,0.031870115278543
1,0,9,33,1.0,0.031870115278543
1,0,1,2,1.0,0.04146397594265338
1,0,1,3,1.0,0.04146397594265338
1,0,4,1,1.0,0.04146397594265338
1,0,1,5,1.0,0.04146397594265338
1,0,1,6,1.0,0.04146397594265338
1,0,1,7,1.0,0.04146397594265338
1,0,1,8,0.4,0.031870115278543
1,0,1,9,1.0,0.04146397594265338
1,0,1,10,1.0,0.04146397594265338
1,0,11,1,0.1,0.031870115278543
1,0,1,12,1.0,0.031870115278543
1,0,1,13,0.4,0.031870115278543
1,0,1,14,1.0,0.04146397594265338
1,0,1,15,1.0,0.04146397594265338
1,0,1,16,1.0,0.031870115278543
1,0,1,17,1.0,0.04146397594265338
1,0,1,18,1.0,0.031870115278543
1,0,1,19,1.0,0.04146397594265338
1,0,1,20,1.0,0.031870115278543
1,0,21,1,1.0,0.04146397594265338
1,0,1,22,1.0,0.031870115278543
1,0,1,23,1.0,0.04146397594265338
1,0,1,24,1.0,0.031870115278543
1,0,1,25,1.0,0.031870115278543
1,0,1,26,1.0,0.031870115278543
1,0,1,27,1.0,0.04146397594265338
1,0,1,28,1.0,0.031870115278543
1,0,1,29,1.0,0.04146397594265338
1,0,1,30,1.0,0.031870115278543
1,0,1,31,0.4,0.031870115278543
1,0,32,1,1.0,0.04146397594265338
1,0,1,33,1.0,0.04146397594265338
1,0,1,23,1.0,0.04146397594265338
1,0,1,15,1.0,0.04146397594265338
1,0,1,2,1.0,0.04146397594265338
1,0,17,6,0.4,0.031870115278543
1,0,17,7,1.0,0.04146397594265338
1,0,17,10,1.0,0.031870115278543
1,0,17,11,1.0,0.031870115278543
1,0,17,12,1.0,0.04146397594265338
1,0,17,16,1.0,0.04146397594265338
1,0,17,18,1.0,0.031870115278543
1,0,17,26,1.0,0.04146397594265338
1,0,17,29,1.0,0.04146397594265338
1,0,17,33,1.0,0.04146397594265338
1,0,31,8,1.0,0.04146397594265338
1,0,24,20,1.0,0.04146397594265338
1,0,24,22,0.1,0.031870115278543
1,0,21,2,1.0,0.031870115278543
1,0,21,3,1.0,0.04146397594265338
1,0,21,4,0.4,0.031870115278543
1,0,21,5,0.4,0.031870115278543
1,0,21,6,1.0,0.031870115278543
1,0,21,7,1.0,0.031870115278543
1,0,21,8,0.4,0.031870115278543
1,0,21,10,1.0,0.031870115278543
1,0,21,11,1.0,0.031870115278543
1,0,21,12,0.4,0.031870115278543
1,0,21,13,0.4,0.031870115278543
1,0,21,14,0.4,0.031870115278543
1,0,21,15,1.0,0.04146397594265338
1,0,21,16,0.4,0.031870115278543
1,0,21,17,1.0,0.031870115278543
1,0,21,18,1.0,0.031870115278543
1,0,21,19,0.4,0.031870115278543
1,0,21,23,1.0,0.04146397594265338
1,0,21,26,1.0,0.031870115278543
1,0,21,27,1.0,0.031870115278543
1,0,21,29,1.0,0.031870115278543
1,0,21,30,1.0,0.031870115278543
1,0,21,31,0.1,0.031870115278543
1,0,32,21,1.0,0.04146397594265338
1,0,21,33,0.4,0.031870115278543
1,0,32,2,0.1,0.031870115278543
1,0,32,3,0.1,0.031870115278543
1,0,32,4,1.0,0.04146397594265338
1,0,32,5,0.4,0.031870115278543
1,0,32,10,0.1,0.031870115278543
1,0,32,11,0.1,0.031870115278543
1,0,32,12,0.4,0.031870115278543
1,0,32,15,0.4,0.031870115278543
1,0,32,17,0.4,0.031870115278543
1,0,32,23,1.0,0.04146397594265338
1,0,32,27,0.1,0.031870115278543
1,0,32,30,0.1,0.031870115278543
1,0,32,33,0.1,0.031870115278543
1,0,11,2,1.0,0.04146397594265338
1,0,11,3,1.0,0.04146397594265338
1,0,11,4,1.0,0.031870115278543
1,0,11,5,1.0,0.04146397594265338
1,0,11,6,1.0,0.04146397594265338
1,0,11,7,1.0,0.031870115278543
1,0,11,8,0.4,0.031870115278543
1,0,11,10,1.0,0.04146397594265338
1,0,11,12,1.0,0.04146397594265338
1,0,11,13,0.1,0.031870115278543
1,0,11,14,0.4,0.031870115278543
1,0,11,15,1.0,0.031870115278543
1,0,11,16,1.0,0.031870115278543
1,0,11,18,1.0,0.031870115278543
1,0,11,19,0.1,0.031870115278543
1,0,11,20,0.1,0.031870115278543
1,0,11,22,0.1,0.031870115278543
1,0,11,23,1.0,0.031870115278543
1,0,11,24,0.1,0.031870115278543
1,0,11,25,0.4,0.031870115278543
1,0,11,26,1.0,0.04146397594265338
1,0,11,28,0.4,0.031870115278543
1,0,11,29,1.0,0.04146397594265338
1,0,11,30,0.4,0.031870115278543
1,0,11,31,0.1,0.031870115278543
1,0,11,33,1.0,0.04146397594265338
1,0,4,2,1.0,0.031870115278543
1,0,4,3,1.0,0.04146397594265338
1,0,4,5,0.1,0.031870115278543
1,0,4,6,0.4,0.031870115278543
1,0,4,7,0.1,0.031870115278543
1,0,4,9,0.4,0.031870115278543
1,0,10,4,0.1,0.031870115278543
1,0,4,12,0.4,0.031870115278543
1,0,4,13,0.1,0.031870115278543
1,0,4,14,0.1,0.031870115278543
1,0,4,15,1.0,0.031870115278543
1,0,4,16,0.1,0.031870115278543
1,0,4,17,0.4,0.031870115278543
1,0,4,18,0.4,0.031870115278543
1,0,4,23,1.0,0.04146397594265338
1,0,4,24,0.1,0.031870115278543
1,0,4,25,0.1,0.031870115278543
1,0,4,26,0.1,0.031870115278543
1,0,4,27,1.0,0.031870115278543
1,0,4,29,0.1,0.031870115278543
1,0,4,30,0.4,0.031870115278543
1,0,4,31,0.4,0.031870115278543
1,0,4,33,1.0,0.031870115278543
1,0,10,2,0.1,0.031870115278543
1,0,10,3,0.4,0.031870115278543
1,0,10,5,0.1,0.031870115278543
1,0,10,6,1.0,0.04146397594265338
1,0,10,7,1.0,0.031870115278543
1,0,10,8,0.1,0.031870115278543
1,0,10,12,1.0,0.031870115278543
1,0,10,13,0.4,0.031870115278543
1,0,10,14,0.1,0.031870115278543
1,0,10,15,0.4,0.031870115278543
1,0,10,16,0.4,0.031870115278543
1,0,10,18,1.0,0.031870115278543
1,0,10,25,0.1,0.031870115278543
1,0,10,26,1.0,0.04146397594265338
1,0,10,29,1.0,0.031870115278543
1,0,10,30,0.4,0.031870115278543
1,0,10,33,0.4,0.031870115278543
1,0,46,36,0.4,0.031870115278543
1,0,46,39,0.4,0.031870115278543
1,0,46,41,0.4,0.031870115278543
1,0,46,42,0.4,0.031870115278543
1,0,55,46,0.1,0.031870115278543
1,0,39,34,0.1,0.031870115278543
1,0,39,35,0.1,0.031870115278543
1,0,39,36,1.0,0.04146397594265338
1,0,39,37,0.1,0.031870115278543
1,0,39,38,0.4,0.031870115278543
1,0,39,40,0.1,0.031870115278543
1,0,41,39,0.1,0.031870115278543
1,0,42,39,1.0,0.031870115278543
1,0,39,43,0.1,0.031870115278543
1,0,39,44,0.1,0.031870115278543
1,0,39,45,0.4,0.031870115278543
1,0,39,48,0.1,0.031870115278543
1,0,39,49,0.1,0.031870115278543
1,0,39,51,0.1,0.031870115278543
1,0,39,52,0.1,0.031870115278543
1,0,39,53,0.1,0.031870115278543
1,0,39,54,0.4,0.031870115278543
1,0,55,39,0.1,0.031870115278543
1,0,39,56,0.4,0.031870115278543
1,0,39,57,0.4,0.031870115278543
1,0,58,39,0.4,0.031870115278543
1,0,39,59,1.0,0.04146397594265338
1,0,39,60,0.4,0.031870115278543
1,0,39,61,0.4,0.031870115278543
1,0,39,62,0.1,0.031870115278543
1,0,39,63,0.1,0.031870115278543
1,0,36,34,0.1,0.031870115278543
1,0,37,36,1.0,0.031870115278543
1,0,38,36,0.4,0.031870115278543
1,0,41,36,0.1,0.031870115278543
1,0,42,36,1.0,0.031870115278543
1,0,36,45,1.0,0.04146397594265338
1,0,36,47,1.0,0.031870115278543
1,0,36,49,0.4,0.031870115278543
1,0,55,36,0.1,0.031870115278543
1,0,58,36,0.4,0.031870115278543
1,0,36,59,1.0,0.04146397594265338
1,0,36,60,0.4,0.031870115278543
1,0,36,61,0.1,0.031870115278543
1,0,36,62,0.4,0.031870115278543
1,0,36,63,0.4,0.031870115278543
1,0,36,65,1.0,0.031870115278543
1,0,63,35,0.4,0.031870115278543
1,0,63,38,1.0,0.04146397594265338
1,0,63,41,0.1,0.031870115278543
1,0,63,45,1.0,0.031870115278543
1,0,63,50,1.0,0.04146397594265338
1,0,63,52,0.4,0.031870115278543
1,0,63,53,0.4,0.031870115278543
1,0,63,55,0.1,0.031870115278543
1,0,63,56,0.1,0.031870115278543
1,0,63,57,0.4,0.031870115278543
1,0,63,59,0.1,0.031870115278543
1,0,63,61,0.4,0.031870115278543
1,0,63,64,0.1,0.031870115278543
1,0,65,63,0.1,0.031870115278543
1,0,43,35,0.1,0.031870115278543
1,0,43,36,0.1,0.031870115278543
1,0,43,38,0.1,0.031870115278543
1,0,43,41,0.1,0.031870115278543
1,0,43,42,0.4,0.031870115278543
1,0,43,45,0.1,0.031870115278543
1,0,43,47,1.0,0.04146397594265338
1,0,43,52,0.1,0.031870115278543
1,0,43,53,0.1,0.031870115278543
1,0,43,56,0.1,0.031870115278543
1,0,43,61,0.4,0.031870115278543
1,0,48,38,0.1,0.031870115278543
1,0,48,41,1.0,0.04146397594265338
1,0,48,42,1.0,0.04146397594265338
1,0,48,45,1.0,0.031870115278543
1,0,48,54,0.4,0.031870115278543
1,0,48,61,1.0,0.04146397594265338
1,0,38,34,0.4,0.031870115278543
1,0,38,35,1.0,0.04146397594265338
1,0,38,37,0.4,0.031870115278543
1,0,38,40,1.0,0.031870115278543
1,0,41,38,1.0,0.04146397594265338
1,0,42,38,1.0,0.04146397594265338
1,0,38,44,0.4,0.031870115278543
1,0,38,46,0.4,0.031870115278543
1,0,38,47,0.4,0.031870115278543
1,0,38,49,1.0,0.031870115278543
1,0,38,50,1.0,0.031870115278543
1,0,38,51,1.0,0.031870115278543
1,0,38,52,0.4,0.031870115278543
1,0,38,53,0.4,0.031870115278543
1,0,38,54,0.4,0.031870115278543
1,0,55,38,1.0,0.031870115278543
1,0,38,56,0.4,0.031870115278543
1,0,38,57,1.0,0.04146397594265338
1,0,58,38,1.0,0.04146397594265338
1,0,38,59,0.4,0.031870115278543
1,0,38,60,1.0,0.031870115278543
1,0,38,61,1.0,0.031870115278543
1,0,38,62,1.0,0.031870115278543
1,0,38,64,1.0,0.04146397594265338
1,0,38,65,0.1,0.031870115278543
1,0,35,34,0.1,0.031870115278543
1,0,35,36,1.0,0.031870115278543
1,0,37,35,1.0,0.031870115278543
1,0,35,40,0.4,0.031870115278543
1,0,41,35,1.0,0.031870115278543
1,0,42,35,1.0,0.04146397594265338
1,0,35,44,0.4,0.031870115278543
1,0,35,45,0.4,0.031870115278543
1,0,35,46,0.4,0.031870115278543
1,0,35,47,0.4,0.031870115278543
1,0,35,48,0.4,0.031870115278543
1,0,35,49,1.0,0.04146397594265338
1,0,35,50,1.0,0.04146397594265338
1,0,35,51,0.4,0.031870115278543
1,0,35,52,0.4,0.031870115278543
1,0,35,53,0.4,0.031870115278543
1,0,35,54,0.4,0.031870115278543
1,0,55,35,1.0,0.031870115278543
1,0,35,56,1.0,0.031870115278543
1,0,35,57,1.0,0.04146397594265338
1,0,58,35,1.0,0.04146397594265338
1,0,35,59,1.0,0.031870115278543
1,0,35,60,0.4,0.031870115278543
1,0,35,61,0.4,0.031870115278543
1,0,35,62,0.4,0.031870115278543
1,0,35,64,1.0,0.04146397594265338
1,0,35,65,0.4,0.031870115278543
1,0,35,622,1.0,0.031870115278543
1,0,35,311,1.0,0.031870115278543
1,0,35,146,0.4,0.031870115278543
1,0,37,34,1.0,0.04146397594265338
1,0,37,40,1.0,0.031870115278543
1,0,37,41,1.0,0.031870115278543
1,0,42,37,1.0,0.031870115278543
1,0,37,43,1.0,0.031870115278543
1,0,37,44,1.0,0.031870115278543
1,0,37,45,1.0,0.04146397594265338
1,0,37,46,1.0,0.031870115278543
1,0,37,47,1.0,0.031870115278543
1,0,37,48,1.0,0.031870115278543
1,0,37,49,1.0,0.031870115278543
1,0,37,50,1.0,0.031870115278543
1,0,37,51,1.0,0.031870115278543
1,0,37,52,1.0,0.031870115278543
1,0,37,53,1.0,0.04146397594265338
1,0,37,54,1.0,0.031870115278543
1,0,55,37,0.1,0.031870115278543
1,0,37,56,1.0,0.031870115278543
1,0,37,57,1.0,0.031870115278543
1,0,58,37,0.1,0.031870115278543
1,0,37,59,1.0,0.04146397594265338
1,0,37,60,1.0,0.031870115278543
1,0,37,61,1.0,0.031870115278543
1,0,37,62,1.0,0.031870115278543
1,0,37,63,1.0,0.031870115278543
1,0,37,64,1.0,0.04146397594265338
1,0,37,65,1.0,0.031870115278543
1,0,65,44,0.4,0.031870115278543
1,0,65,45,0.4,0.031870115278543
1,0,65,46,0.1,0.031870115278543
1,0,65,47,0.4,0.031870115278543
1,0,65,53,0.1,0.031870115278543
1,0,65,56,0.4,0.031870115278543
1,0,65,59,0.4,0.031870115278543
1,0,65,60,1.0,0.04146397594265338
1,0,65,61,0.4,0.031870115278543
1,0,65,62,0.1,0.031870115278543
1,0,55,34,0.1,0.031870115278543
1,0,55,40,0.1,0.031870115278543
1,0,55,41,0.4,0.031870115278543
1,0,55,42,0.4,0.031870115278543
1,0,55,43,0.1,0.031870115278543
1,0,55,44,0.1,0.031870115278543
1,0,55,45,0.1,0.031870115278543
1,0,55,47,0.1,0.031870115278543
1,0,55,48,0.1,0.031870115278543
1,0,55,49,1.0,0.031870115278543
1,0,55,50,1.0,0.031870115278543
1,0,55,51,0.4,0.031870115278543
1,0,55,52,0.1,0.031870115278543
1,0,55,53,0.4,0.031870115278543
1,0,55,54,1.0,0.031870115278543
1,0,55,56,1.0,0.031870115278543
1,0,55,57,1.0,0.031870115278543
1,0,58,55,1.0,0.04146397594265338
1,0,55,59,0.1,0.031870115278543
1,0,55,60,0.1,0.031870115278543
1,0,55,61,0.4,0.031870115278543
1,0,55,62,0.1,0.031870115278543
1,0,55,64,1.0,0.031870115278543
1,0,55,65,0.1,0.031870115278543
1,0,58,34,0.1,0.031870115278543
1,0,58,40,0.1,0.031870115278543
1,0,58,41,1.0,0.04146397594265338
1,0,58,42,1.0,0.04146397594265338
1,0,58,46,0.1,0.031870115278543
1,0,58,48,0.1,0.031870115278543
1,0,58,49,1.0,0.04146397594265338
1,0,58,50,1.0,0.04146397594265338
1,0,58,52,0.1,0.031870115278543
1,0,58,54,0.1,0.031870115278543
1,0,58,56,1.0,0.031870115278543
1,0,58,57,1.0,0.04146397594265338
1,0,58,59,0.1,0.031870115278543
1,0,58,61,0.4,0.031870115278543
1,0,58,62,0.4,0.031870115278543
1,0,58,64,1.0,0.04146397594265338
1,0,58,65,1.0,0.031870115278543
1,0,41,40,0.4,0.031870115278543
1,0,42,41,1.0,0.04146397594265338
1,0,41,44,1.0,0.031870115278543
1,0,41,45,0.4,0.031870115278543
1,0,41,49,1.0,0.031870115278543
1,0,41,50,1.0,0.031870115278543
1,0,41,56,0.4,0.031870115278543
1,0,41,61,1.0,0.031870115278543
1,0,41,64,0.1,0.031870115278543
1,0,42,34,1.0,0.04146397594265338
1,0,42,40,1.0,0.04146397594265338
1,0,42,44,1.0,0.04146397594265338
1,0,42,45,0.1,0.031870115278543
1,0,42,47,1.0,0.031870115278543
1,0,42,49,1.0,0.04146397594265338
1,0,42,50,1.0,0.031870115278543
1,0,42,51,0.4,0.031870115278543
1,0,42,53,0.4,0.031870115278543
1,0,42,54,0.4,0.031870115278543
1,0,42,56,1.0,0.04146397594265338
1,0,42,57,1.0,0.031870115278543
1,0,42,59,1.0,0.031870115278543
1,0,42,61,1.0,0.04146397594265338
1,0,42,63,0.1,0.031870115278543
1,0,42,64,1.0,0.031870115278543
1,0,42,65,0.1,0.031870115278543
1,0,79,73,0.4,0.031870115278543
1,0,80,79,0.4,0.031870115278543
1,0,81,79,0.1,0.031870115278543
1,0,82,79,0.1,0.031870115278543
1,0,79,83,0.4,0.031870115278543
1,0,90,79,0.1,0.031870115278543
1,0,72,66,0.4,0.031870115278543
1,0,72,68,1.0,0.031870115278543
1,0,72,69,0.1,0.031870115278543
1,0,72,71,1.0,0.04146397594265338
1,0,72,73,0.1,0.031870115278543
1,0,72,74,1.0,0.04146397594265338
1,0,72,75,1.0,0.04146397594265338
1,0,76,72,0.1,0.031870115278543
1,0,77,72,0.4,0.031870115278543
1,0,72,78,0.1,0.031870115278543
1,0,80,72,1.0,0.031870115278543
1,0,72,83,0.1,0.031870115278543
1,0,86,72,1.0,0.04146397594265338
1,0,87,72,0.1,0.031870115278543
1,0,88,72,0.4,0.031870115278543
1,0,72,89,0.4,0.031870115278543
1,0,91,72,0.1,0.031870115278543
1,0,92,72,1.0,0.031870115278543
1,0,93,72,0.4,0.031870115278543
1,0,72,94,0.1,0.031870115278543
1,0,72,95,0.1,0.031870115278543
1,0,72,96,0.4,0.031870115278543
1,0,72,97,0.4,0.031870115278543
1,0,72,98,1.0,0.031870115278543
1,0,76,66,1.0,0.04146397594265338
1,0,76,67,0.1,0.031870115278543
1,0,76,68,0.4,0.031870115278543
1,0,76,69,0.1,0.031870115278543
1,0,76,71,0.1,0.031870115278543
1,0,76,74,1.0,0.04146397594265338
1,0,76,75,0.1,0.031870115278543
1,0,76,78,0.1,0.031870115278543
1,0,80,76,1.0,0.031870115278543
1,0,76,82,0.1,0.031870115278543
1,0,76,83,0.1,0.031870115278543
1,0,76,84,0.1,0.031870115278543
1,0,86,76,1.0,0.031870115278543
1,0,76,88,1.0,0.031870115278543
1,0,76,89,0.1,0.031870115278543
1,0,90,76,0.1,0.031870115278543
1,0,92,76,0.1,0.031870115278543
1,0,94,76,0.4,0.031870115278543
1,0,76,95,0.1,0.031870115278543
1,0,76,96,1.0,0.04146397594265338
1,0,76,97,0.1,0.031870115278543
1,0,71,66,0.1,0.031870115278543
1,0,71,67,0.1,0.031870115278543
1,0,71,68,1.0,0.04146397594265338
1,0,71,69,0.1,0.031870115278543
1,0,71,70,0.1,0.031870115278543
1,0,71,73,0.1,0.031870115278543
1,0,71,74,0.1,0.031870115278543
1,0,71,75,1.0,0.04146397594265338
1,0,77,71,1.0,0.031870115278543
1,0,71,78,0.1,0.031870115278543
1,0,71,79,0.1,0.031870115278543
1,0,80,71,0.4,0.031870115278543
1,0,81,71,0.1,0.031870115278543
1,0,82,71,0.1,0.031870115278543
1,0,71,83,0.1,0.031870115278543
1,0,71,84,0.1,0.031870115278543
1,0,71,85,0.1,0.031870115278543
1,0,86,71,1.0,0.04146397594265338
1,0,87,71,0.1,0.031870115278543
1,0,88,71,1.0,0.04146397594265338
1,0,71,89,0.1,0.031870115278543
1,0,90,71,0.1,0.031870115278543
1,0,91,71,0.1,0.031870115278543
1,0,92,71,1.0,0.04146397594265338
1,0,93,71,0.4,0.031870115278543
1,0,71,94,0.1,0.031870115278543
1,0,95,71,0.1,0.031870115278543
1,0,71,96,0.1,0.031870115278543
1,0,71,97,0.1,0.031870115278543
1,0,71,98,0.1,0.031870115278543
1,0,91,66,0.1,0.031870115278543
1,0,91,67,0.1,0.031870115278543
1,0,91,68,0.1,0.031870115278543
1,0,91,69,0.4,0.031870115278543
1,0,91,70,0.1,0.031870115278543
1,0,91,73,0.1,0.031870115278543
1,0,91,74,0.1,0.031870115278543
1,0,91,75,0.1,0.031870115278543
1,0,91,76,0.1,0.031870115278543
1,0,91,77,1.0,0.04146397594265338
1,0,91,78,0.1,0.031870115278543
1,0,91,79,0.1,0.031870115278543
1,0,91,80,0.1,0.031870115278543
1,0,91,81,0.1,0.031870115278543
1,0,91,82,0.1,0.031870115278543
1,0,91,83,0.1,0.031870115278543
1,0,91,84,0.1,0.031870115278543
1,0,91,85,0.1,0.031870115278543
1,0,91,86,0.1,0.031870115278543
1,0,91,87,0.1,0.031870115278543
1,0,91,88,0.1,0.031870115278543
1,0,91,89,1.0,0.031870115278543
1,0,91,90,0.1,0.031870115278543
1,0,92,91,0.1,0.031870115278543
1,0,93,91,0.4,0.031870115278543
1,0,91,94,0.1,0.031870115278543
1,0,91,95,0.1,0.031870115278543
1,0,91,96,0.1,0.031870115278543
1,0,91,97,0.1,0.031870115278543
1,0,91,98,0.1,0.031870115278543
1,0,69,66,1.0,0.031870115278543
1,0,69,67,0.1,0.031870115278543
1,0,69,68,1.0,0.04146397594265338
1,0,69,74,1.0,0.031870115278543
1,0,69,75,0.1,0.031870115278543
1,0,77,69,1.0,0.031870115278543
1,0,69,78,0.1,0.031870115278543
1,0,80,69,0.4,0.031870115278543
1,0,81,69,0.4,0.031870115278543
1,0,69,83,0.4,0.031870115278543
1,0,69,84,0.1,0.031870115278543
1,0,86,69,0.4,0.031870115278543
1,0,69,92,1.0,0.031870115278543
1,0,93,69,0.4,0.031870115278543
1,0,69,95,0.4,0.031870115278543
1,0,69,97,0.4,0.031870115278543
1,0,82,66,0.4,0.031870115278543
1,0,82,67,0.4,0.031870115278543
1,0,82,68,0.1,0.031870115278543
1,0,82,73,1.0,0.031870115278543
1,0,82,77,0.1,0.031870115278543
1,0,82,78,0.1,0.031870115278543
1,0,82,80,0.4,0.031870115278543
1,0,82,81,1.0,0.031870115278543
1,0,82,83,0.4,0.031870115278543
1,0,82,89,1.0,0.031870115278543
1,0,90,82,1.0,0.04146397594265338
1,0,82,92,0.1,0.031870115278543
1,0,93,82,0.4,0.031870115278543
1,0,95,82,0.4,0.031870115278543
1,0,82,97,1.0,0.031870115278543
1,0,90,66,0.1,0.031870115278543
1,0,90,67,0.1,0.031870115278543
1,0,90,68,0.1,0.031870115278543
1,0,90,69,0.1,0.031870115278543
1,0,90,70,0.1,0.031870115278543
1,0,90,72,0.1,0.031870115278543
1,0,90,73,0.4,0.031870115278543
1,0,90,74,0.1,0.031870115278543
1,0,90,75,0.1,0.031870115278543
1,0,90,77,0.1,0.031870115278543
1,0,90,78,0.1,0.031870115278543
1,0,90,80,0.1,0.031870115278543
1,0,90,81,0.1,0.031870115278543
1,0,90,83,0.4,0.031870115278543
1,0,90,84,0.1,0.031870115278543
1,0,90,85,0.4,0.031870115278543
1,0,90,86,0.1,0.031870115278543
1,0,90,87,0.1,0.031870115278543
1,0,90,88,0.1,0.031870115278543
1,0,90,89,0.4,0.031870115278543
1,0,90,92,0.1,0.031870115278543
1,0,93,90,0.4,0.031870115278543
1,0,90,94,0.1,0.031870115278543
1,0,90,95,0.1,0.031870115278543
1,0,90,96,0.1,0.031870115278543
1,0,90,97,0.1,0.031870115278543
1,0,90,98,0.1,0.031870115278543
1,0,68,66,0.4,0.031870115278543
1,0,68,67,0.4,0.031870115278543
1,0,68,70,0.1,0.031870115278543
1,0,68,73,0.1,0.031870115278543
1,0,68,74,0.4,0.031870115278543
1,0,68,75,1.0,0.04146397594265338
1,0,77,68,1.0,0.031870115278543
1,0,68,78,0.1,0.031870115278543
1,0,68,79,0.1,0.031870115278543
1,0,80,68,0.4,0.031870115278543
1,0,68,81,0.1,0.031870115278543
1,0,68,83,0.1,0.031870115278543
1,0,68,84,0.1,0.031870115278543
1,0,68,85,0.1,0.031870115278543
1,0,86,68,1.0,0.04146397594265338
1,0,87,68,0.1,0.031870115278543
1,0,88,68,1.0,0.04146397594265338
1,0,68,89,0.1,0.031870115278543
1,0,92,68,1.0,0.04146397594265338
1,0,93,68,0.4,0.031870115278543
1,0,68,94,0.1,0.031870115278543
1,0,68,95,0.1,0.031870115278543
1,0,68,96,1.0,0.04146397594265338
1,0,68,97,0.1,0.031870115278543
1,0,68,98,0.4,0.031870115278543
1,0,80,66,1.0,0.04146397594265338
1,0,80,67,1.0,0.04146397594265338
1,0,80,70,0.4,0.031870115278543
1,0,80,73,0.1,0.031870115278543
1,0,80,74,1.0,0.04146397594265338
1,0,80,75,0.4,0.031870115278543
1,0,80,77,1.0,0.031870115278543
1,0,80,78,0.4,0.031870115278543
1,0,81,80,1.0,0.031870115278543
1,0,80,83,0.1,0.031870115278543
1,0,80,84,0.4,0.031870115278543
1,0,86,80,0.4,0.031870115278543
1,0,87,80,0.1,0.031870115278543
1,0,88,80,0.1,0.031870115278543
1,0,80,89,1.0,0.031870115278543
1,0,80,92,0.4,0.031870115278543
1,0,93,80,0.4,0.031870115278543
1,0,94,80,1.0,0.04146397594265338
1,0,95,80,1.0,0.031870115278543
1,0,80,96,1.0,0.031870115278543
1,0,80,97,1.0,0.031870115278543
1,0,80,98,0.4,0.031870115278543
1,0,77,66,1.0,0.031870115278543
1,0,77,67,0.4,0.031870115278543
1,0,77,70,0.4,0.031870115278543
1,0,77,73,0.4,0.031870115278543
1,0,77,74,0.4,0.031870115278543
1,0,77,75,1.0,0.04146397594265338
1,0,77,76,0.4,0.031870115278543
1,0,77,78,1.0,0.04146397594265338
1,0,77,79,0.4,0.031870115278543
1,0,81,77,0.1,0.031870115278543
1,0,77,83,0.4,0.031870115278543
1,0,77,84,0.4,0.031870115278543
1,0,77,85,0.4,0.031870115278543
1,0,86,77,1.0,0.031870115278543
1,0,87,77,0.4,0.031870115278543
1,0,88,77,0.1,0.031870115278543
1,0,77,89,1.0,0.031870115278543
1,0,92,77,0.1,0.031870115278543
1,0,93,77,0.4,0.031870115278543
1,0,77,94,0.4,0.031870115278543
1,0,95,77,0.4,0.031870115278543
1,0,77,96,0.4,0.031870115278543
1,0,77,97,0.4,0.031870115278543
