,datum,theta_mult
2020-02-26,2/26/2020,0.001059427908929
2020-02-27,2/27/2020,0.001759050112939
2020-02-28,2/28/2020,0.002218801847003
2020-02-29,2/29/2020,0.002338737081976
2020-03-01,3/1/2020,0.002498650728607
2020-03-02,3/2/2020,0.003278229755932
2020-03-03,3/3/2020,0.004557538928978
2020-03-04,3/4/2020,0.005437063985448
2020-03-05,3/5/2020,0.006256621424431
2020-03-06,3/6/2020,0.00801567153737
2020-03-07,3/7/2020,0.011733663821536
2020-03-08,3/8/2020,0.014332260579287
2020-03-09,3/9/2020,0.018609950626662
2020-03-10,3/10/2020,0.020349011533772
2020-03-11,3/11/2020,0.028164791012853
2020-03-12,3/12/2020,0.037379814899954
2020-03-13,3/13/2020,0.052051891978332
2020-03-14,3/14/2020,0.067903332200612
2020-03-15,3/15/2020,0.085633757770804
2020-03-16,3/16/2020,0.106702380714414
2020-03-17,3/17/2020,0.129270194095189
2020-03-18,3/18/2020,0.155216183261039
2020-03-19,3/19/2020,0.189637595698323
2020-03-20,3/20/2020,0.215143822335939
2020-03-21,3/21/2020,0.23305415075859
2020-03-22,3/22/2020,0.248505806864293
2020-03-23,3/23/2020,0.267935314929938
2020-03-24,3/24/2020,0.303276230835349
2020-03-25,3/25/2020,0.350270853738981
2020-03-26,3/26/2020,0.397725228376677
2020-03-27,3/27/2020,0.462450276850501
2020-03-28,3/28/2020,0.509264996901673
2020-03-29,3/29/2020,0.530193695404482
2020-03-30,3/30/2020,0.58752273772163
2020-03-31,3/31/2020,0.65946388949967
2020-04-01,4/1/2020,0.699342355128231
2020-04-02,4/2/2020,0.74012033501909
2020-04-03,4/3/2020,0.78087832570412
2020-04-04,4/4/2020,0.813120914706059
2020-04-05,4/5/2020,0.852379714953925
2020-04-06,4/6/2020,0.877885941591541
2020-04-07,4/7/2020,0.908109620804765
2020-04-08,4/8/2020,0.955424071001659
2020-04-09,4/9/2020,0.98554780418574
2020-04-10,4/10/2020,0.951646111100006
2020-04-11,4/11/2020,0.932736322385912
2020-04-12,4/12/2020,0.901513182881244
2020-04-13,4/13/2020,0.837147940112339
2020-04-14,4/14/2020,0.797169528454635
2020-04-15,4/15/2020,0.797309452895436
2020-04-16,4/16/2020,0.801327283267036
2020-04-17,4/17/2020,0.853019369540448
2020-04-18,4/18/2020,0.867291662502249
2020-04-19,4/19/2020,0.882823275431267
2020-04-20,4/20/2020,0.949827093369581
